"","Cidade","Registros","Ano","Mês","Região","Estado"
"1","Brasiléia",6,"2015","Janeiro","Todas","Acre"
"2","Bujari",1,"2015","Janeiro","Todas","Acre"
"3","Cruzeiro do Sul",38,"2015","Janeiro","Todas","Acre"
"4","Epitaciolândia",3,"2015","Janeiro","Todas","Acre"
"5","Feijó",8,"2015","Janeiro","Todas","Acre"
"6","Mâncio Lima",3,"2015","Janeiro","Todas","Acre"
"7","Manoel Urbano",2,"2015","Janeiro","Todas","Acre"
"8","Plácido de Castro",1,"2015","Janeiro","Todas","Acre"
"9","Rio Branco",163,"2015","Janeiro","Todas","Acre"
"10","Rodrigues Alves",3,"2015","Janeiro","Todas","Acre"
"11","Sena Madureira",9,"2015","Janeiro","Todas","Acre"
"12","Senador Guiomard",7,"2015","Janeiro","Todas","Acre"
"13","Xapuri",5,"2015","Janeiro","Todas","Acre"
"14","Brasiléia",12,"2016","Janeiro","Todas","Acre"
"15","Capixaba",6,"2016","Janeiro","Todas","Acre"
"16","Cruzeiro do Sul",40,"2016","Janeiro","Todas","Acre"
"17","Epitaciolândia",1,"2016","Janeiro","Todas","Acre"
"18","Feijó",8,"2016","Janeiro","Todas","Acre"
"19","Mâncio Lima",2,"2016","Janeiro","Todas","Acre"
"20","Manoel Urbano",1,"2016","Janeiro","Todas","Acre"
"21","Plácido de Castro",6,"2016","Janeiro","Todas","Acre"
"22","Porto Walter",3,"2016","Janeiro","Todas","Acre"
"23","Rio Branco",83,"2016","Janeiro","Todas","Acre"
"24","Rodrigues Alves",1,"2016","Janeiro","Todas","Acre"
"25","Senador Guiomard",3,"2016","Janeiro","Todas","Acre"
"26","Xapuri",3,"2016","Janeiro","Todas","Acre"
"27","Acrelândia",3,"2017","Janeiro","Todas","Acre"
"28","Brasiléia",11,"2017","Janeiro","Todas","Acre"
"29","Bujari",1,"2017","Janeiro","Todas","Acre"
"30","Cruzeiro do Sul",38,"2017","Janeiro","Todas","Acre"
"31","Epitaciolândia",4,"2017","Janeiro","Todas","Acre"
"32","Feijó",9,"2017","Janeiro","Todas","Acre"
"33","Mâncio Lima",4,"2017","Janeiro","Todas","Acre"
"34","Manoel Urbano",6,"2017","Janeiro","Todas","Acre"
"35","Plácido de Castro",1,"2017","Janeiro","Todas","Acre"
"36","Porto Acre",5,"2017","Janeiro","Todas","Acre"
"37","Rio Branco",160,"2017","Janeiro","Todas","Acre"
"38","Rodrigues Alves",2,"2017","Janeiro","Todas","Acre"
"39","Sena Madureira",4,"2017","Janeiro","Todas","Acre"
"40","Senador Guiomard",4,"2017","Janeiro","Todas","Acre"
"41","Tarauacá",11,"2017","Janeiro","Todas","Acre"
"42","Xapuri",4,"2017","Janeiro","Todas","Acre"
"43","Assis Brasil",1,"2018","Janeiro","Todas","Acre"
"44","Brasiléia",8,"2018","Janeiro","Todas","Acre"
"45","Bujari",3,"2018","Janeiro","Todas","Acre"
"46","Cruzeiro do Sul",60,"2018","Janeiro","Todas","Acre"
"47","Epitaciolândia",6,"2018","Janeiro","Todas","Acre"
"48","Feijó",11,"2018","Janeiro","Todas","Acre"
"49","Mâncio Lima",2,"2018","Janeiro","Todas","Acre"
"50","Manoel Urbano",4,"2018","Janeiro","Todas","Acre"
"51","Plácido de Castro",4,"2018","Janeiro","Todas","Acre"
"52","Porto Acre",3,"2018","Janeiro","Todas","Acre"
"53","Porto Walter",1,"2018","Janeiro","Todas","Acre"
"54","Rio Branco",159,"2018","Janeiro","Todas","Acre"
"55","Rodrigues Alves",8,"2018","Janeiro","Todas","Acre"
"56","Sena Madureira",15,"2018","Janeiro","Todas","Acre"
"57","Senador Guiomard",5,"2018","Janeiro","Todas","Acre"
"58","Tarauacá",13,"2018","Janeiro","Todas","Acre"
"59","Xapuri",8,"2018","Janeiro","Todas","Acre"
"60","Acrelândia",3,"2019","Janeiro","Todas","Acre"
"61","Brasiléia",12,"2019","Janeiro","Todas","Acre"
"62","Bujari",1,"2019","Janeiro","Todas","Acre"
"63","Capixaba",1,"2019","Janeiro","Todas","Acre"
"64","Cruzeiro do Sul",43,"2019","Janeiro","Todas","Acre"
"65","Epitaciolândia",4,"2019","Janeiro","Todas","Acre"
"66","Feijó",10,"2019","Janeiro","Todas","Acre"
"67","Mâncio Lima",6,"2019","Janeiro","Todas","Acre"
"68","Manoel Urbano",2,"2019","Janeiro","Todas","Acre"
"69","Plácido de Castro",8,"2019","Janeiro","Todas","Acre"
"70","Porto Acre",3,"2019","Janeiro","Todas","Acre"
"71","Porto Walter",1,"2019","Janeiro","Todas","Acre"
"72","Rio Branco",154,"2019","Janeiro","Todas","Acre"
"73","Rodrigues Alves",2,"2019","Janeiro","Todas","Acre"
"74","Sena Madureira",16,"2019","Janeiro","Todas","Acre"
"75","Senador Guiomard",6,"2019","Janeiro","Todas","Acre"
"76","Tarauacá",13,"2019","Janeiro","Todas","Acre"
"77","Xapuri",11,"2019","Janeiro","Todas","Acre"
"78","Acrelândia",3,"2020","Janeiro","Todas","Acre"
"79","Assis Brasil",2,"2020","Janeiro","Todas","Acre"
"80","Brasiléia",10,"2020","Janeiro","Todas","Acre"
"81","Bujari",5,"2020","Janeiro","Todas","Acre"
"82","Cruzeiro do Sul",45,"2020","Janeiro","Todas","Acre"
"83","Epitaciolândia",7,"2020","Janeiro","Todas","Acre"
"84","Feijó",9,"2020","Janeiro","Todas","Acre"
"85","Mâncio Lima",7,"2020","Janeiro","Todas","Acre"
"86","Manoel Urbano",6,"2020","Janeiro","Todas","Acre"
"87","Plácido de Castro",4,"2020","Janeiro","Todas","Acre"
"88","Porto Acre",3,"2020","Janeiro","Todas","Acre"
"89","Porto Walter",1,"2020","Janeiro","Todas","Acre"
"90","Rio Branco",213,"2020","Janeiro","Todas","Acre"
"91","Santa Rosa do Purus",3,"2020","Janeiro","Todas","Acre"
"92","Sena Madureira",16,"2020","Janeiro","Todas","Acre"
"93","Senador Guiomard",10,"2020","Janeiro","Todas","Acre"
"94","Tarauacá",13,"2020","Janeiro","Todas","Acre"
"95","Xapuri",16,"2020","Janeiro","Todas","Acre"
"96","Arapiraca",44,"2015","Janeiro","Todas","Alagoas"
"97","Atalaia",13,"2015","Janeiro","Todas","Alagoas"
"98","Barra de São Miguel",1,"2015","Janeiro","Todas","Alagoas"
"99","Belém",1,"2015","Janeiro","Todas","Alagoas"
"100","Canapi",3,"2015","Janeiro","Todas","Alagoas"
"101","Craíbas",5,"2015","Janeiro","Todas","Alagoas"
"102","Jacuípe",1,"2015","Janeiro","Todas","Alagoas"
"103","Jaramataia",1,"2015","Janeiro","Todas","Alagoas"
"104","Jundiá",3,"2015","Janeiro","Todas","Alagoas"
"105","Junqueiro",3,"2015","Janeiro","Todas","Alagoas"
"106","Lagoa da Canoa",13,"2015","Janeiro","Todas","Alagoas"
"107","Maceio",598,"2015","Janeiro","Todas","Alagoas"
"108","Major Isidoro",1,"2015","Janeiro","Todas","Alagoas"
"109","Maragogi",7,"2015","Janeiro","Todas","Alagoas"
"110","Matriz de Camaragibe",12,"2015","Janeiro","Todas","Alagoas"
"111","Olho D'água das Flores",1,"2015","Janeiro","Todas","Alagoas"
"112","Olho D'água do Casado",1,"2015","Janeiro","Todas","Alagoas"
"113","Palmeira dos Índios",45,"2015","Janeiro","Todas","Alagoas"
"114","Pão de Açúcar",2,"2015","Janeiro","Todas","Alagoas"
"115","Penedo",34,"2015","Janeiro","Todas","Alagoas"
"116","Piranhas",7,"2015","Janeiro","Todas","Alagoas"
"117","Poço das Trincheiras",1,"2015","Janeiro","Todas","Alagoas"
"118","Porto Calvo",4,"2015","Janeiro","Todas","Alagoas"
"119","Porto de Pedras",1,"2015","Janeiro","Todas","Alagoas"
"120","Porto Real do Colégio",1,"2015","Janeiro","Todas","Alagoas"
"121","Roteiro",1,"2015","Janeiro","Todas","Alagoas"
"122","Santana do Ipanema",45,"2015","Janeiro","Todas","Alagoas"
"123","São José da Laje",5,"2015","Janeiro","Todas","Alagoas"
"124","São Luís do Quitunde",4,"2015","Janeiro","Todas","Alagoas"
"125","Satuba",3,"2015","Janeiro","Todas","Alagoas"
"126","Teotônio Vilela",1,"2015","Janeiro","Todas","Alagoas"
"127","União dos Palmares",19,"2015","Janeiro","Todas","Alagoas"
"128","Água Branca",5,"2016","Janeiro","Todas","Alagoas"
"129","Arapiraca",53,"2016","Janeiro","Todas","Alagoas"
"130","Atalaia",9,"2016","Janeiro","Todas","Alagoas"
"131","Barra de São Miguel",3,"2016","Janeiro","Todas","Alagoas"
"132","Belém",2,"2016","Janeiro","Todas","Alagoas"
"133","Boca da Mata",11,"2016","Janeiro","Todas","Alagoas"
"134","Campestre",2,"2016","Janeiro","Todas","Alagoas"
"135","Campo Alegre",2,"2016","Janeiro","Todas","Alagoas"
"136","Canapi",3,"2016","Janeiro","Todas","Alagoas"
"137","Craíbas",8,"2016","Janeiro","Todas","Alagoas"
"138","Dois Riachos",2,"2016","Janeiro","Todas","Alagoas"
"139","Feira Grande",6,"2016","Janeiro","Todas","Alagoas"
"140","Jacuípe",1,"2016","Janeiro","Todas","Alagoas"
"141","Jaramataia",1,"2016","Janeiro","Todas","Alagoas"
"142","Jequiá da Praia",1,"2016","Janeiro","Todas","Alagoas"
"143","Jundiá",1,"2016","Janeiro","Todas","Alagoas"
"144","Junqueiro",4,"2016","Janeiro","Todas","Alagoas"
"145","Maceio",654,"2016","Janeiro","Todas","Alagoas"
"146","Maragogi",4,"2016","Janeiro","Todas","Alagoas"
"147","Mata Grande",6,"2016","Janeiro","Todas","Alagoas"
"148","Matriz de Camaragibe",6,"2016","Janeiro","Todas","Alagoas"
"149","Messias",5,"2016","Janeiro","Todas","Alagoas"
"150","Olho D'água do Casado",1,"2016","Janeiro","Todas","Alagoas"
"151","Ouro Branco",4,"2016","Janeiro","Todas","Alagoas"
"152","Palmeira dos Índios",63,"2016","Janeiro","Todas","Alagoas"
"153","Pão de Açúcar",5,"2016","Janeiro","Todas","Alagoas"
"154","Penedo",17,"2016","Janeiro","Todas","Alagoas"
"155","Piranhas",7,"2016","Janeiro","Todas","Alagoas"
"156","Poço das Trincheiras",3,"2016","Janeiro","Todas","Alagoas"
"157","Porto Calvo",4,"2016","Janeiro","Todas","Alagoas"
"158","Porto de Pedras",1,"2016","Janeiro","Todas","Alagoas"
"159","Porto Real do Colégio",2,"2016","Janeiro","Todas","Alagoas"
"160","Roteiro",1,"2016","Janeiro","Todas","Alagoas"
"161","Santana do Ipanema",62,"2016","Janeiro","Todas","Alagoas"
"162","São Brás",1,"2016","Janeiro","Todas","Alagoas"
"163","São José da Laje",6,"2016","Janeiro","Todas","Alagoas"
"164","Satuba",3,"2016","Janeiro","Todas","Alagoas"
"165","Teotônio Vilela",1,"2016","Janeiro","Todas","Alagoas"
"166","União dos Palmares",1,"2016","Janeiro","Todas","Alagoas"
"167","Viçosa",8,"2016","Janeiro","Todas","Alagoas"
"168","Água Branca",7,"2017","Janeiro","Todas","Alagoas"
"169","Arapiraca",51,"2017","Janeiro","Todas","Alagoas"
"170","Atalaia",14,"2017","Janeiro","Todas","Alagoas"
"171","Barra de São Miguel",3,"2017","Janeiro","Todas","Alagoas"
"172","Boca da Mata",6,"2017","Janeiro","Todas","Alagoas"
"173","Branquinha",3,"2017","Janeiro","Todas","Alagoas"
"174","Cajueiro",6,"2017","Janeiro","Todas","Alagoas"
"175","Campestre",2,"2017","Janeiro","Todas","Alagoas"
"176","Campo Grande",4,"2017","Janeiro","Todas","Alagoas"
"177","Canapi",2,"2017","Janeiro","Todas","Alagoas"
"178","Capela",8,"2017","Janeiro","Todas","Alagoas"
"179","Carneiros",2,"2017","Janeiro","Todas","Alagoas"
"180","Coruripe",4,"2017","Janeiro","Todas","Alagoas"
"181","Craíbas",1,"2017","Janeiro","Todas","Alagoas"
"182","Delmiro Gouveia",16,"2017","Janeiro","Todas","Alagoas"
"183","Dois Riachos",1,"2017","Janeiro","Todas","Alagoas"
"184","Feira Grande",5,"2017","Janeiro","Todas","Alagoas"
"185","Flexeiras",6,"2017","Janeiro","Todas","Alagoas"
"186","Girau do Ponciano",1,"2017","Janeiro","Todas","Alagoas"
"187","Ibateguara",5,"2017","Janeiro","Todas","Alagoas"
"188","Japaratinga",1,"2017","Janeiro","Todas","Alagoas"
"189","Jaramataia",3,"2017","Janeiro","Todas","Alagoas"
"190","Jequiá da Praia",4,"2017","Janeiro","Todas","Alagoas"
"191","Junqueiro",2,"2017","Janeiro","Todas","Alagoas"
"192","Lagoa da Canoa",8,"2017","Janeiro","Todas","Alagoas"
"193","Limoeiro de Anadia",1,"2017","Janeiro","Todas","Alagoas"
"194","Maceio",809,"2017","Janeiro","Todas","Alagoas"
"195","Maragogi",3,"2017","Janeiro","Todas","Alagoas"
"196","Mata Grande",4,"2017","Janeiro","Todas","Alagoas"
"197","Messias",2,"2017","Janeiro","Todas","Alagoas"
"198","Olho D'água do Casado",4,"2017","Janeiro","Todas","Alagoas"
"199","Olho D'água Grande",1,"2017","Janeiro","Todas","Alagoas"
