"","Estado","Registros","Ano","Mês","Região"
"1","Acre",2564,"2015","Todos","Todas"
"2","Alagoas",8076,"2015","Todos","Todas"
"3","Amapá",2344,"2015","Todos","Todas"
"4","Amazonas",3064,"2015","Todos","Todas"
"5","Bahia",44099,"2015","Todos","Todas"
"6","Ceará",8863,"2015","Todos","Todas"
"7","Distrito Federal",13975,"2015","Todos","Todas"
"8","Espírito Santo",22729,"2015","Todos","Todas"
"9","Goiás",25008,"2015","Todos","Todas"
"10","Maranhão",2469,"2015","Todos","Todas"
"11","Mato Grosso",16805,"2015","Todos","Todas"
"12","Mato Grosso do Sul",8038,"2015","Todos","Todas"
"13","Minas Gerais",120525,"2015","Todos","Todas"
"14","Pará",4166,"2015","Todos","Todas"
"15","Paraíba",18902,"2015","Todos","Todas"
"16","Paraná",72832,"2015","Todos","Todas"
"17","Pernambuco",52179,"2015","Todos","Todas"
"18","Piauí",2711,"2015","Todos","Todas"
"19","Rio de Janeiro",45423,"2015","Todos","Todas"
"20","Rio Grande do Norte",4692,"2015","Todos","Todas"
"21","Rio Grande do Sul",61487,"2015","Todos","Todas"
"22","Rondônia",5941,"2015","Todos","Todas"
"23","Roraima",880,"2015","Todos","Todas"
"24","Santa Catarina",31204,"2015","Todos","Todas"
"25","São Paulo",289551,"2015","Todos","Todas"
"26","Sergipe",11203,"2015","Todos","Todas"
"27","Tocantins",3549,"2015","Todos","Todas"
"28","Acre",2774,"2016","Todos","Todas"
"29","Alagoas",12484,"2016","Todos","Todas"
"30","Amapá",2251,"2016","Todos","Todas"
"31","Amazonas",4183,"2016","Todos","Todas"
"32","Bahia",49071,"2016","Todos","Todas"
"33","Ceará",28082,"2016","Todos","Todas"
"34","Distrito Federal",14102,"2016","Todos","Todas"
"35","Espírito Santo",23359,"2016","Todos","Todas"
"36","Goiás",26853,"2016","Todos","Todas"
"37","Maranhão",5898,"2016","Todos","Todas"
"38","Mato Grosso",16037,"2016","Todos","Todas"
"39","Mato Grosso do Sul",15120,"2016","Todos","Todas"
"40","Minas Gerais",134896,"2016","Todos","Todas"
"41","Pará",10883,"2016","Todos","Todas"
"42","Paraíba",21977,"2016","Todos","Todas"
"43","Paraná",76898,"2016","Todos","Todas"
"44","Pernambuco",58695,"2016","Todos","Todas"
"45","Piauí",7350,"2016","Todos","Todas"
"46","Rio de Janeiro",60198,"2016","Todos","Todas"
"47","Rio Grande do Norte",8918,"2016","Todos","Todas"
"48","Rio Grande do Sul",60123,"2016","Todos","Todas"
"49","Rondônia",7214,"2016","Todos","Todas"
"50","Roraima",1718,"2016","Todos","Todas"
"51","Santa Catarina",34882,"2016","Todos","Todas"
"52","São Paulo",301732,"2016","Todos","Todas"
