"","Cidade","Registros","Ano","Mês","Região","Estado"
"1","Assis Brasil",1,"2015","Dezembro","Todas","Acre"
"2","Brasiléia",7,"2015","Dezembro","Todas","Acre"
"3","Bujari",1,"2015","Dezembro","Todas","Acre"
"4","Cruzeiro do Sul",36,"2015","Dezembro","Todas","Acre"
"5","Epitaciolândia",1,"2015","Dezembro","Todas","Acre"
"6","Feijó",7,"2015","Dezembro","Todas","Acre"
"7","Manoel Urbano",4,"2015","Dezembro","Todas","Acre"
"8","Mâncio Lima",2,"2015","Dezembro","Todas","Acre"
"9","Plácido de Castro",3,"2015","Dezembro","Todas","Acre"
"10","Porto Walter",3,"2015","Dezembro","Todas","Acre"
"11","Rio Branco",75,"2015","Dezembro","Todas","Acre"
"12","Rodrigues Alves",3,"2015","Dezembro","Todas","Acre"
"13","Senador Guiomard",4,"2015","Dezembro","Todas","Acre"
"14","Xapuri",3,"2015","Dezembro","Todas","Acre"
