"","Cidade","Registros","Ano","Mês","Região","Estado"
"1","Sousa",53,"2015","Janeiro","Todas","Paraíba"
"2","São Bento",11,"2015","Janeiro","Todas","Paraíba"
"3","São Domingos do Cariri",2,"2015","Janeiro","Todas","Paraíba"
"4","São Francisco",2,"2015","Janeiro","Todas","Paraíba"
"5","São José da Lagoa Tapada",3,"2015","Janeiro","Todas","Paraíba"
"6","São José de Caiana",2,"2015","Janeiro","Todas","Paraíba"
"7","São José de Piranhas",13,"2015","Janeiro","Todas","Paraíba"
"8","São José dos Cordeiros",1,"2015","Janeiro","Todas","Paraíba"
"9","São José dos Ramos",2,"2015","Janeiro","Todas","Paraíba"
"10","São João do Rio do Peixe",5,"2015","Janeiro","Todas","Paraíba"
"11","São Mamede",7,"2015","Janeiro","Todas","Paraíba"
"12","São Miguel de Taipu",3,"2015","Janeiro","Todas","Paraíba"
"13","São Sebastião de Lagoa de Roça",2,"2015","Janeiro","Todas","Paraíba"
"14","Taperoá",6,"2015","Janeiro","Todas","Paraíba"
"15","Tavares",3,"2015","Janeiro","Todas","Paraíba"
"16","Tenório",1,"2015","Janeiro","Todas","Paraíba"
"17","Triunfo",4,"2015","Janeiro","Todas","Paraíba"
"18","Umbuzeiro",1,"2015","Janeiro","Todas","Paraíba"
"19","Pilõezinhos",1,"2015","Janeiro","Todas","Paraíba"
"20","Pirpirituba",3,"2015","Janeiro","Todas","Paraíba"
"21","Pitimbu",3,"2015","Janeiro","Todas","Paraíba"
"22","Poço Dantas",1,"2015","Janeiro","Todas","Paraíba"
"23","Poço de José de Moura",2,"2015","Janeiro","Todas","Paraíba"
"24","Remígio",9,"2015","Janeiro","Todas","Paraíba"
"25","Riachão",1,"2015","Janeiro","Todas","Paraíba"
"26","Salgado de São Félix",4,"2015","Janeiro","Todas","Paraíba"
"27","Santa Cecília",2,"2015","Janeiro","Todas","Paraíba"
"28","Santa Helena",2,"2015","Janeiro","Todas","Paraíba"
"29","Santa Luzia",9,"2015","Janeiro","Todas","Paraíba"
"30","Santa Rita",57,"2015","Janeiro","Todas","Paraíba"
"31","Santana dos Garrotes",2,"2015","Janeiro","Todas","Paraíba"
"32","Santo André",1,"2015","Janeiro","Todas","Paraíba"
"33","Serra Grande",1,"2015","Janeiro","Todas","Paraíba"
"34","Serraria",4,"2015","Janeiro","Todas","Paraíba"
"35","Sobrado",1,"2015","Janeiro","Todas","Paraíba"
"36","Soledade",4,"2015","Janeiro","Todas","Paraíba"
"37","Solânea",15,"2015","Janeiro","Todas","Paraíba"
"38","Sossêgo",1,"2015","Janeiro","Todas","Paraíba"
"39","Manaíra",4,"2015","Janeiro","Todas","Paraíba"
"40","Marcação",2,"2015","Janeiro","Todas","Paraíba"
"41","Mari",4,"2015","Janeiro","Todas","Paraíba"
"42","Massaranduba",4,"2015","Janeiro","Todas","Paraíba"
"43","Maturéia",2,"2015","Janeiro","Todas","Paraíba"
"44","Montadas",2,"2015","Janeiro","Todas","Paraíba"
"45","Monte Horebe",3,"2015","Janeiro","Todas","Paraíba"
