"","Cidade","Registros","Ano","Mês","Região","Estado"
"1","Uruaçu",10,"2015","Junho","Todas","Goiás"
"2","Valparaíso de Goiás",32,"2015","Junho","Todas","Goiás"
"3","Vianópolis",6,"2015","Junho","Todas","Goiás"
"4","Vicentinópolis",6,"2015","Junho","Todas","Goiás"
"5","Vila Propício",1,"2015","Junho","Todas","Goiás"
"6","Águas Lindas de Goiás",33,"2015","Junho","Todas","Goiás"
"7","Nazário",5,"2015","Junho","Todas","Goiás"
"8","Niquelandia",15,"2015","Junho","Todas","Goiás"
"9","Nova Roma",1,"2015","Junho","Todas","Goiás"
"10","Novo Gama",9,"2015","Junho","Todas","Goiás"
"11","Ouro Verde de Goiás",1,"2015","Junho","Todas","Goiás"
"12","Palmeiras de Goiás",10,"2015","Junho","Todas","Goiás"
"13","Planaltina",3,"2015","Junho","Todas","Goiás"
"14","Pontalina",14,"2015","Junho","Todas","Goiás"
"15","Porangatu",26,"2015","Junho","Todas","Goiás"
"16","Rianápolis",2,"2015","Junho","Todas","Goiás"
"17","Rio Quente",1,"2015","Junho","Todas","Goiás"
"18","Santa Fé de Goiás",1,"2015","Junho","Todas","Goiás"
"19","Santa Rita do Novo Destino",2,"2015","Junho","Todas","Goiás"
"20","Santo Antônio de Goiás",1,"2015","Junho","Todas","Goiás"
"21","Santo Antônio do Descoberto",13,"2015","Junho","Todas","Goiás"
"22","Serranópolis",4,"2015","Junho","Todas","Goiás"
"23","São Francisco de Goiás",2,"2015","Junho","Todas","Goiás"
"24","Teresina de Goiás",1,"2015","Junho","Todas","Goiás"
"25","Trombas",2,"2015","Junho","Todas","Goiás"
"26","Turvânia",3,"2015","Junho","Todas","Goiás"
"27","Cromínia",1,"2015","Junho","Todas","Goiás"
"28","Fazenda Nova",3,"2015","Junho","Todas","Goiás"
"29","Formosa",55,"2015","Junho","Todas","Goiás"
"30","Formoso",1,"2015","Junho","Todas","Goiás"
"31","Goianira",7,"2015","Junho","Todas","Goiás"
"32","Goianésia",33,"2015","Junho","Todas","Goiás"
"33","Goiânia",1142,"2015","Junho","Todas","Goiás"
"34","Inaciolândia",1,"2015","Junho","Todas","Goiás"
"35","Inhumas",15,"2015","Junho","Todas","Goiás"
"36","Iporá",4,"2015","Junho","Todas","Goiás"
"37","Itaguaru",2,"2015","Junho","Todas","Goiás"
"38","Itapirapuã",4,"2015","Junho","Todas","Goiás"
"39","Itapuranga",1,"2015","Junho","Todas","Goiás"
"40","Itumbiara",10,"2015","Junho","Todas","Goiás"
"41","Jaraguá",13,"2015","Junho","Todas","Goiás"
"42","Mara Rosa",3,"2015","Junho","Todas","Goiás"
"43","Marzagão",1,"2015","Junho","Todas","Goiás"
"44","Matrinchã",1,"2015","Junho","Todas","Goiás"
"45","Maurilândia",3,"2015","Junho","Todas","Goiás"
"46","Mineiros",1,"2015","Junho","Todas","Goiás"
"47","Abadia de Goiás",2,"2015","Junho","Todas","Goiás"
"48","Alexania",16,"2015","Junho","Todas","Goiás"
"49","Aloândia",2,"2015","Junho","Todas","Goiás"
"50","Anapolis",237,"2015","Junho","Todas","Goiás"
"51","Aparecida de Goiania",112,"2015","Junho","Todas","Goiás"
"52","Aporé",2,"2015","Junho","Todas","Goiás"
"53","Aragoiânia",1,"2015","Junho","Todas","Goiás"
"54","Arenópolis",1,"2015","Junho","Todas","Goiás"
"55","Bom Jesus de Goiás",1,"2015","Junho","Todas","Goiás"
"56","Cachoeira Dourada",2,"2015","Junho","Todas","Goiás"
"57","Caldas Novas",34,"2015","Junho","Todas","Goiás"
"58","Campinaçu",2,"2015","Junho","Todas","Goiás"
"59","Campo Alegre de Goiás",3,"2015","Junho","Todas","Goiás"
"60","Campo Limpo de Goiás",3,"2015","Junho","Todas","Goiás"
"61","Catalao",60,"2015","Junho","Todas","Goiás"
"62","Cezarina",5,"2015","Junho","Todas","Goiás"
"63","Cidade Ocidental",8,"2015","Junho","Todas","Goiás"
"64","Cocalzinho de Goias",5,"2015","Junho","Todas","Goiás"
"65","Corumbá de Goiás",7,"2015","Junho","Todas","Goiás"
"66","Cristalina",25,"2015","Junho","Todas","Goiás"
