"","Cidade","Registros","Ano","Mês","Região","Estado"
"1","Santana do Ipanema",41,"2015","Março","Todas","Alagoas"
"2","Satuba",3,"2015","Março","Todas","Alagoas"
"3","São José da Laje",6,"2015","Março","Todas","Alagoas"
"4","União dos Palmares",26,"2015","Março","Todas","Alagoas"
"5","Arapiraca",42,"2015","Março","Todas","Alagoas"
"6","Atalaia",5,"2015","Março","Todas","Alagoas"
"7","Belém",2,"2015","Março","Todas","Alagoas"
"8","Canapi",4,"2015","Março","Todas","Alagoas"
"9","Craíbas",6,"2015","Março","Todas","Alagoas"
"10","Feira Grande",7,"2015","Março","Todas","Alagoas"
"11","Jundiá",2,"2015","Março","Todas","Alagoas"
"12","Junqueiro",4,"2015","Março","Todas","Alagoas"
"13","Maceio",218,"2015","Março","Todas","Alagoas"
"14","Maragogi",9,"2015","Março","Todas","Alagoas"
"15","Marechal Deodoro",1,"2015","Março","Todas","Alagoas"
"16","Matriz de Camaragibe",8,"2015","Março","Todas","Alagoas"
"17","Olho D'água do Casado",1,"2015","Março","Todas","Alagoas"
"18","Palmeira dos Índios",44,"2015","Março","Todas","Alagoas"
"19","Piaçabuçu",1,"2015","Março","Todas","Alagoas"
"20","Piranhas",2,"2015","Março","Todas","Alagoas"
"21","Porto Calvo",1,"2015","Março","Todas","Alagoas"
"22","Porto Real do Colégio",4,"2015","Março","Todas","Alagoas"
"23","Poço das Trincheiras",3,"2015","Março","Todas","Alagoas"
"24","Roteiro",1,"2015","Março","Todas","Alagoas"
