"","Cidade","Registros","Ano","Mês","Região","Estado"
"1","São João do Soter",2,"2015","Novembro","Todas","Maranhão"
"2","São Luís Gonzaga do Maranhão",5,"2015","Novembro","Todas","Maranhão"
"3","Tuntum",8,"2015","Novembro","Todas","Maranhão"
"4","Vila Nova dos Martírios",2,"2015","Novembro","Todas","Maranhão"
"5","Jatobá",3,"2015","Novembro","Todas","Maranhão"
"6","Junco do Maranhão",1,"2015","Novembro","Todas","Maranhão"
"7","Lagoa do Mato",3,"2015","Novembro","Todas","Maranhão"
"8","Lajeado Novo",2,"2015","Novembro","Todas","Maranhão"
"9","Maracaçumé",2,"2015","Novembro","Todas","Maranhão"
"10","Mirador",1,"2015","Novembro","Todas","Maranhão"
"11","Miranda do Norte",3,"2015","Novembro","Todas","Maranhão"
"12","Olinda Nova do Maranhão",2,"2015","Novembro","Todas","Maranhão"
"13","Paraibano",4,"2015","Novembro","Todas","Maranhão"
"14","Parnarama",6,"2015","Novembro","Todas","Maranhão"
"15","Pio Xii",1,"2015","Novembro","Todas","Maranhão"
"16","Porto Franco",9,"2015","Novembro","Todas","Maranhão"
"17","Raposa",4,"2015","Novembro","Todas","Maranhão"
"18","Ribamar Fiquene",1,"2015","Novembro","Todas","Maranhão"
"19","Santa Helena",7,"2015","Novembro","Todas","Maranhão"
"20","Senador La Roque",3,"2015","Novembro","Todas","Maranhão"
"21","Sucupira do Norte",3,"2015","Novembro","Todas","Maranhão"
"22","São Domingos do Maranhão",10,"2015","Novembro","Todas","Maranhão"
"23","São Félix de Balsas",2,"2015","Novembro","Todas","Maranhão"
"24","São João do Paraíso",2,"2015","Novembro","Todas","Maranhão"
"25","Alcântara",2,"2015","Novembro","Todas","Maranhão"
"26","Araguanã",2,"2015","Novembro","Todas","Maranhão"
"27","Arari",7,"2015","Novembro","Todas","Maranhão"
"28","Açailandia",24,"2015","Novembro","Todas","Maranhão"
"29","Bom Lugar",1,"2015","Novembro","Todas","Maranhão"
"30","Buriti",4,"2015","Novembro","Todas","Maranhão"
"31","Buritirana",2,"2015","Novembro","Todas","Maranhão"
"32","Campestre do Maranhão",2,"2015","Novembro","Todas","Maranhão"
"33","Cidelândia",2,"2015","Novembro","Todas","Maranhão"
"34","Conceição do Lago-Açu",3,"2015","Novembro","Todas","Maranhão"
"35","Feira Nova do Maranhão",4,"2015","Novembro","Todas","Maranhão"
"36","Formosa da Serra Negra",2,"2015","Novembro","Todas","Maranhão"
"37","Governador Edson Lobão",4,"2015","Novembro","Todas","Maranhão"
"38","Governador Luiz Rocha",3,"2015","Novembro","Todas","Maranhão"
"39","Governador Newton Bello",1,"2015","Novembro","Todas","Maranhão"
"40","Governador Nunes Freire",17,"2015","Novembro","Todas","Maranhão"
"41","Humberto de Campos",1,"2015","Novembro","Todas","Maranhão"
"42","Igarapé Grande",3,"2015","Novembro","Todas","Maranhão"
"43","Itaipava do Grajaú",3,"2015","Novembro","Todas","Maranhão"
"44","Itinga do Maranhão",4,"2015","Novembro","Todas","Maranhão"
