"","Cidade","Registros","Ano","Mês","Região","Estado"
"1","Teutônia",19,"2015","Novembro","Todas","Rio Grande do Sul"
"2","Tramandaí",44,"2015","Novembro","Todas","Rio Grande do Sul"
"3","Triunfo",10,"2015","Novembro","Todas","Rio Grande do Sul"
"4","Três Cachoeiras",1,"2015","Novembro","Todas","Rio Grande do Sul"
"5","Três Coroas",11,"2015","Novembro","Todas","Rio Grande do Sul"
"6","Três Passos",16,"2015","Novembro","Todas","Rio Grande do Sul"
"7","Três de Maio",17,"2015","Novembro","Todas","Rio Grande do Sul"
"8","Tunas",2,"2015","Novembro","Todas","Rio Grande do Sul"
"9","Tupanciretã",9,"2015","Novembro","Todas","Rio Grande do Sul"
"10","Tuparendi",8,"2015","Novembro","Todas","Rio Grande do Sul"
"11","Uruguaiana",2,"2015","Novembro","Todas","Rio Grande do Sul"
"12","Vacaria",3,"2015","Novembro","Todas","Rio Grande do Sul"
"13","Vale do Sol",11,"2015","Novembro","Todas","Rio Grande do Sul"
"14","Venâncio Aires",3,"2015","Novembro","Todas","Rio Grande do Sul"
"15","Vera Cruz",15,"2015","Novembro","Todas","Rio Grande do Sul"
"16","Viamao",1,"2015","Novembro","Todas","Rio Grande do Sul"
"17","Victor Graeff",3,"2015","Novembro","Todas","Rio Grande do Sul"
"18","Vila Maria",4,"2015","Novembro","Todas","Rio Grande do Sul"
"19","Água Santa",1,"2015","Novembro","Todas","Rio Grande do Sul"
"20","Sinimbu",7,"2015","Novembro","Todas","Rio Grande do Sul"
"21","Soledade",20,"2015","Novembro","Todas","Rio Grande do Sul"
"22","São Borja",36,"2015","Novembro","Todas","Rio Grande do Sul"
"23","São Gabriel",39,"2015","Novembro","Todas","Rio Grande do Sul"
"24","São Jorge",3,"2015","Novembro","Todas","Rio Grande do Sul"
"25","São José do Norte",12,"2015","Novembro","Todas","Rio Grande do Sul"
"26","São José do Ouro",2,"2015","Novembro","Todas","Rio Grande do Sul"
"27","São Leopoldo",8,"2015","Novembro","Todas","Rio Grande do Sul"
"28","São Martinho",2,"2015","Novembro","Todas","Rio Grande do Sul"
"29","São Nicolau",2,"2015","Novembro","Todas","Rio Grande do Sul"
"30","São Pedro do Butiá",1,"2015","Novembro","Todas","Rio Grande do Sul"
"31","São Pedro do Sul",10,"2015","Novembro","Todas","Rio Grande do Sul"
"32","São Sebastião do Caí",11,"2015","Novembro","Todas","Rio Grande do Sul"
"33","São Sepé",17,"2015","Novembro","Todas","Rio Grande do Sul"
"34","São Valentim",5,"2015","Novembro","Todas","Rio Grande do Sul"
"35","São Vicente do Sul",5,"2015","Novembro","Todas","Rio Grande do Sul"
"36","Tapejara",15,"2015","Novembro","Todas","Rio Grande do Sul"
"37","Taquara",1,"2015","Novembro","Todas","Rio Grande do Sul"
"38","Tenente Portela",13,"2015","Novembro","Todas","Rio Grande do Sul"
"39","Terra de Areia",2,"2015","Novembro","Todas","Rio Grande do Sul"
"40","Santa Clara do Sul",1,"2015","Novembro","Todas","Rio Grande do Sul"
"41","Santa Maria",191,"2015","Novembro","Todas","Rio Grande do Sul"
"42","Santa Rosa",59,"2015","Novembro","Todas","Rio Grande do Sul"
"43","Santa Tereza",1,"2015","Novembro","Todas","Rio Grande do Sul"
"44","Santa Vitória do Palmar",19,"2015","Novembro","Todas","Rio Grande do Sul"
"45","Santana do Livramento",43,"2015","Novembro","Todas","Rio Grande do Sul"
"46","Santo Angelo",2,"2015","Novembro","Todas","Rio Grande do Sul"
"47","Santo Antônio da Patrulha",21,"2015","Novembro","Todas","Rio Grande do Sul"
"48","Santo Antônio das Missões",2,"2015","Novembro","Todas","Rio Grande do Sul"
"49","Santo Cristo",8,"2015","Novembro","Todas","Rio Grande do Sul"
"50","Sao Jeronimo",20,"2015","Novembro","Todas","Rio Grande do Sul"
"51","Sao Marcos",1,"2015","Novembro","Todas","Rio Grande do Sul"
"52","Sapiranga",40,"2015","Novembro","Todas","Rio Grande do Sul"
"53","Sapucaia do Sul",46,"2015","Novembro","Todas","Rio Grande do Sul"
"54","Sarandi",7,"2015","Novembro","Todas","Rio Grande do Sul"
"55","Seberi",7,"2015","Novembro","Todas","Rio Grande do Sul"
"56","Selbach",4,"2015","Novembro","Todas","Rio Grande do Sul"
"57","Serafina Correa",2,"2015","Novembro","Todas","Rio Grande do Sul"
"58","Sertão Santana",4,"2015","Novembro","Todas","Rio Grande do Sul"
"59","Severiano de Almeida",2,"2015","Novembro","Todas","Rio Grande do Sul"
"60","Pedro Osório",9,"2015","Novembro","Todas","Rio Grande do Sul"
"61","Pelotas",14,"2015","Novembro","Todas","Rio Grande do Sul"
"62","Picada Cafe",2,"2015","Novembro","Todas","Rio Grande do Sul"
"63","Pinheiro Machado",13,"2015","Novembro","Todas","Rio Grande do Sul"
"64","Piratini",15,"2015","Novembro","Todas","Rio Grande do Sul"
"65","Planalto",5,"2015","Novembro","Todas","Rio Grande do Sul"
"66","Porto Alegre",88,"2015","Novembro","Todas","Rio Grande do Sul"
"67","Porto Xavier",8,"2015","Novembro","Todas","Rio Grande do Sul"
"68","Portão",13,"2015","Novembro","Todas","Rio Grande do Sul"
"69","Poço das Antas",1,"2015","Novembro","Todas","Rio Grande do Sul"
"70","Restinga Seca",4,"2015","Novembro","Todas","Rio Grande do Sul"
"71","Rio Grande",15,"2015","Novembro","Todas","Rio Grande do Sul"
"72","Rio Pardo",17,"2015","Novembro","Todas","Rio Grande do Sul"
"73","Rodeio Bonito",6,"2015","Novembro","Todas","Rio Grande do Sul"
"74","Rolante",11,"2015","Novembro","Todas","Rio Grande do Sul"
"75","Ronda Alta",10,"2015","Novembro","Todas","Rio Grande do Sul"
"76","Rosário do Sul",8,"2015","Novembro","Todas","Rio Grande do Sul"
"77","Salvador do Sul",4,"2015","Novembro","Todas","Rio Grande do Sul"
"78","Sananduva",1,"2015","Novembro","Todas","Rio Grande do Sul"
"79","Santa Bárbara do Sul",4,"2015","Novembro","Todas","Rio Grande do Sul"
"80","Muçum",3,"2015","Novembro","Todas","Rio Grande do Sul"
"81","Nonoai",6,"2015","Novembro","Todas","Rio Grande do Sul"
"82","Nova Bassano",1,"2015","Novembro","Todas","Rio Grande do Sul"
"83","Nova Petropolis",4,"2015","Novembro","Todas","Rio Grande do Sul"
"84","Nova Pádua",2,"2015","Novembro","Todas","Rio Grande do Sul"
"85","Nova Santa Rita",2,"2015","Novembro","Todas","Rio Grande do Sul"
"86","Novo Hamburgo",98,"2015","Novembro","Todas","Rio Grande do Sul"
"87","Não-Me-Toque",10,"2015","Novembro","Todas","Rio Grande do Sul"
"88","Osorio",24,"2015","Novembro","Todas","Rio Grande do Sul"
"89","Paim Filho",1,"2015","Novembro","Todas","Rio Grande do Sul"
"90","Palmares do Sul",11,"2015","Novembro","Todas","Rio Grande do Sul"
"91","Palmeira das Missões",22,"2015","Novembro","Todas","Rio Grande do Sul"
"92","Palmitinho",1,"2015","Novembro","Todas","Rio Grande do Sul"
"93","Panambi",18,"2015","Novembro","Todas","Rio Grande do Sul"
"94","Pantano Grande",2,"2015","Novembro","Todas","Rio Grande do Sul"
"95","Paraí",4,"2015","Novembro","Todas","Rio Grande do Sul"
"96","Parobé",22,"2015","Novembro","Todas","Rio Grande do Sul"
"97","Passo Fundo",207,"2015","Novembro","Todas","Rio Grande do Sul"
"98","Passo do Sobrado",1,"2015","Novembro","Todas","Rio Grande do Sul"
"99","Paverama",2,"2015","Novembro","Todas","Rio Grande do Sul"
"100","Humaitá",4,"2015","Novembro","Todas","Rio Grande do Sul"
"101","Ibarama",1,"2015","Novembro","Todas","Rio Grande do Sul"
"102","Ibiaçá",4,"2015","Novembro","Todas","Rio Grande do Sul"
"103","Ibiraiaras",1,"2015","Novembro","Todas","Rio Grande do Sul"
"104","Ibirubá",5,"2015","Novembro","Todas","Rio Grande do Sul"
"105","Ijui",67,"2015","Novembro","Todas","Rio Grande do Sul"
"106","Ilópolis",6,"2015","Novembro","Todas","Rio Grande do Sul"
"107","Imigrante",1,"2015","Novembro","Todas","Rio Grande do Sul"
"108","Independência",2,"2015","Novembro","Todas","Rio Grande do Sul"
"109","Itatiba do Sul",1,"2015","Novembro","Todas","Rio Grande do Sul"
"110","Ivoti",20,"2015","Novembro","Todas","Rio Grande do Sul"
"111","Jaguarão",13,"2015","Novembro","Todas","Rio Grande do Sul"
"112","Lagoão",2,"2015","Novembro","Todas","Rio Grande do Sul"
"113","Lajeado",1,"2015","Novembro","Todas","Rio Grande do Sul"
"114","Lavras do Sul",2,"2015","Novembro","Todas","Rio Grande do Sul"
"115","Liberato Salzano",2,"2015","Novembro","Todas","Rio Grande do Sul"
"116","Maquiné",2,"2015","Novembro","Todas","Rio Grande do Sul"
"117","Mariano Moro",1,"2015","Novembro","Todas","Rio Grande do Sul"
"118","Marques de Souza",9,"2015","Novembro","Todas","Rio Grande do Sul"
"119","Maximiliano de Almeida",6,"2015","Novembro","Todas","Rio Grande do Sul"
"120","Doutor Maurício Cardoso",3,"2015","Novembro","Todas","Rio Grande do Sul"
"121","Eldorado do Sul",2,"2015","Novembro","Todas","Rio Grande do Sul"
"122","Encantado",11,"2015","Novembro","Todas","Rio Grande do Sul"
"123","Encruzilhada do Sul",2,"2015","Novembro","Todas","Rio Grande do Sul"
"124","Erechim",11,"2015","Novembro","Todas","Rio Grande do Sul"
"125","Erval Seco",2,"2015","Novembro","Todas","Rio Grande do Sul"
"126","Esmeralda",1,"2015","Novembro","Todas","Rio Grande do Sul"
"127","Estancia Velha",8,"2015","Novembro","Todas","Rio Grande do Sul"
"128","Farroupilha",25,"2015","Novembro","Todas","Rio Grande do Sul"
"129","Frederico Westphalen",11,"2015","Novembro","Todas","Rio Grande do Sul"
"130","Garibaldi",12,"2015","Novembro","Todas","Rio Grande do Sul"
"131","Gaurama",2,"2015","Novembro","Todas","Rio Grande do Sul"
"132","Getúlio Vargas",1,"2015","Novembro","Todas","Rio Grande do Sul"
"133","Giruá",10,"2015","Novembro","Todas","Rio Grande do Sul"
"134","Gramado",24,"2015","Novembro","Todas","Rio Grande do Sul"
"135","Gravatai",76,"2015","Novembro","Todas","Rio Grande do Sul"
"136","Guaiba",20,"2015","Novembro","Todas","Rio Grande do Sul"
"137","Guaporé",1,"2015","Novembro","Todas","Rio Grande do Sul"
"138","Guarani das Missões",8,"2015","Novembro","Todas","Rio Grande do Sul"
"139","Hulha Negra",1,"2015","Novembro","Todas","Rio Grande do Sul"
"140","Caxias do Sul",22,"2015","Novembro","Todas","Rio Grande do Sul"
"141","Caçapava do Sul",30,"2015","Novembro","Todas","Rio Grande do Sul"
"142","Cerro Branco",1,"2015","Novembro","Todas","Rio Grande do Sul"
