"","Cidade","Registros","Ano","Mês","Região","Estado"
"1","Vargem",3,"2016","Abril","Todas","São Paulo"
"2","Vargem Grande Paulista",5,"2016","Abril","Todas","São Paulo"
"3","Vargem Grande do Sul",19,"2016","Abril","Todas","São Paulo"
"4","Varzea Paulista",14,"2016","Abril","Todas","São Paulo"
"5","Vera Cruz",6,"2016","Abril","Todas","São Paulo"
"6","Vinhedo",20,"2016","Abril","Todas","São Paulo"
"7","Viradouro",3,"2016","Abril","Todas","São Paulo"
"8","Vista Alegre do Alto",2,"2016","Abril","Todas","São Paulo"
"9","Votorantim",52,"2016","Abril","Todas","São Paulo"
"10","Votuporanga",53,"2016","Abril","Todas","São Paulo"
"11","Águas da Prata",3,"2016","Abril","Todas","São Paulo"
"12","Águas de Lindóia",16,"2016","Abril","Todas","São Paulo"
"13","Álvares Florence",1,"2016","Abril","Todas","São Paulo"
"14","Álvares Machado",7,"2016","Abril","Todas","São Paulo"
"15","Taubate",248,"2016","Abril","Todas","São Paulo"
"16","Teodoro Sampaio",7,"2016","Abril","Todas","São Paulo"
"17","Terra Roxa",1,"2016","Abril","Todas","São Paulo"
"18","Tiete",13,"2016","Abril","Todas","São Paulo"
"19","Timburi",2,"2016","Abril","Todas","São Paulo"
"20","Torre de Pedra",1,"2016","Abril","Todas","São Paulo"
"21","Torrinha",5,"2016","Abril","Todas","São Paulo"
"22","Tremembé",14,"2016","Abril","Todas","São Paulo"
"23","Três Fronteiras",1,"2016","Abril","Todas","São Paulo"
"24","Tupa",75,"2016","Abril","Todas","São Paulo"
"25","Tupi Paulista",10,"2016","Abril","Todas","São Paulo"
"26","Ubarana",3,"2016","Abril","Todas","São Paulo"
"27","Ubatuba",44,"2016","Abril","Todas","São Paulo"
"28","Ubirajara",2,"2016","Abril","Todas","São Paulo"
"29","Uchoa",2,"2016","Abril","Todas","São Paulo"
"30","União Paulista",1,"2016","Abril","Todas","São Paulo"
"31","Urupês",2,"2016","Abril","Todas","São Paulo"
"32","Urânia",3,"2016","Abril","Todas","São Paulo"
"33","Valinhos",93,"2016","Abril","Todas","São Paulo"
"34","Valparaíso",10,"2016","Abril","Todas","São Paulo"
"35","São Sebastião",53,"2016","Abril","Todas","São Paulo"
"36","São Sebastião da Grama",5,"2016","Abril","Todas","São Paulo"
"37","São Simão",8,"2016","Abril","Todas","São Paulo"
"38","São Vicente",127,"2016","Abril","Todas","São Paulo"
"39","Tabapuã",5,"2016","Abril","Todas","São Paulo"
"40","Tabatinga",7,"2016","Abril","Todas","São Paulo"
"41","Taboão da Serra",114,"2016","Abril","Todas","São Paulo"
"42","Taciba",1,"2016","Abril","Todas","São Paulo"
"43","Taguaí",3,"2016","Abril","Todas","São Paulo"
"44","Taiaçu",1,"2016","Abril","Todas","São Paulo"
"45","Taiúva",1,"2016","Abril","Todas","São Paulo"
"46","Tambaú",5,"2016","Abril","Todas","São Paulo"
