"","Cidade","Registros","Ano","Mês","Região","Estado"
"1","Ubiratã",11,"2016","Agosto","Todas","Paraná"
"2","Umuarama",140,"2016","Agosto","Todas","Paraná"
"3","União da Vitória",43,"2016","Agosto","Todas","Paraná"
"4","Uraí",6,"2016","Agosto","Todas","Paraná"
"5","Ventania",3,"2016","Agosto","Todas","Paraná"
"6","Vera Cruz do Oeste",1,"2016","Agosto","Todas","Paraná"
"7","Verê",4,"2016","Agosto","Todas","Paraná"
"8","Virmond",1,"2016","Agosto","Todas","Paraná"
"9","Vitorino",1,"2016","Agosto","Todas","Paraná"
"10","Wenceslau Braz",11,"2016","Agosto","Todas","Paraná"
"11","Xambrê",2,"2016","Agosto","Todas","Paraná"
"12","São Pedro do Ivaí",2,"2016","Agosto","Todas","Paraná"
"13","São Sebastião da Amoreira",2,"2016","Agosto","Todas","Paraná"
"14","São Tomé",2,"2016","Agosto","Todas","Paraná"
"15","Tamarana",7,"2016","Agosto","Todas","Paraná"
"16","Tamboara",1,"2016","Agosto","Todas","Paraná"
"17","Tapejara",10,"2016","Agosto","Todas","Paraná"
"18","Teixeira Soares",2,"2016","Agosto","Todas","Paraná"
"19","Telemaco Borba",50,"2016","Agosto","Todas","Paraná"
"20","Terra Boa",7,"2016","Agosto","Todas","Paraná"
"21","Terra Rica",11,"2016","Agosto","Todas","Paraná"
"22","Terra Roxa",6,"2016","Agosto","Todas","Paraná"
"23","Tibagi",9,"2016","Agosto","Todas","Paraná"
"24","Tijucas do Sul",9,"2016","Agosto","Todas","Paraná"
"25","Toledo",98,"2016","Agosto","Todas","Paraná"
"26","Tomazina",2,"2016","Agosto","Todas","Paraná"
"27","Três Barras do Paraná",2,"2016","Agosto","Todas","Paraná"
"28","Tunas do Paraná",3,"2016","Agosto","Todas","Paraná"
"29","Tuneiras do Oeste",2,"2016","Agosto","Todas","Paraná"
"30","Tupãssi",2,"2016","Agosto","Todas","Paraná"
"31","Turvo",4,"2016","Agosto","Todas","Paraná"
"32","Sarandi",56,"2016","Agosto","Todas","Paraná"
"33","Sengés",3,"2016","Agosto","Todas","Paraná"
"34","Sertanópolis",6,"2016","Agosto","Todas","Paraná"
"35","Siqueira Campos",7,"2016","Agosto","Todas","Paraná"
"36","São Carlos do Ivaí",1,"2016","Agosto","Todas","Paraná"
"37","São Jerônimo da Serra",4,"2016","Agosto","Todas","Paraná"
"38","São Jorge D'oeste",2,"2016","Agosto","Todas","Paraná"
"39","São Jorge do Ivaí",3,"2016","Agosto","Todas","Paraná"
"40","São Jorge do Patrocínio",4,"2016","Agosto","Todas","Paraná"
"41","São José da Boa Vista",1,"2016","Agosto","Todas","Paraná"
"42","São José das Palmeiras",1,"2016","Agosto","Todas","Paraná"
"43","São José dos Pinhais",99,"2016","Agosto","Todas","Paraná"
"44","São João",5,"2016","Agosto","Todas","Paraná"
"45","São João do Caiuá",1,"2016","Agosto","Todas","Paraná"
