"","Cidade","Registros","Ano","Mês","Região","Estado"
"1","Volta Redonda",40,"2016","Agosto","Todas","Rio de Janeiro"
"2","Niteroi",33,"2016","Agosto","Todas","Rio de Janeiro"
"3","Nova Friburgo",1,"2016","Agosto","Todas","Rio de Janeiro"
"4","Nova Iguaçu",3,"2016","Agosto","Todas","Rio de Janeiro"
"5","Paraiba do Sul",17,"2016","Agosto","Todas","Rio de Janeiro"
"6","Paty do Alferes",3,"2016","Agosto","Todas","Rio de Janeiro"
"7","Petropolis",7,"2016","Agosto","Todas","Rio de Janeiro"
"8","Porciúncula",3,"2016","Agosto","Todas","Rio de Janeiro"
"9","Quatis",1,"2016","Agosto","Todas","Rio de Janeiro"
"10","Rio Claro",19,"2016","Agosto","Todas","Rio de Janeiro"
"11","Rio das Ostras",22,"2016","Agosto","Todas","Rio de Janeiro"
"12","Rio de Janeiro",487,"2016","Agosto","Todas","Rio de Janeiro"
"13","Sapucaia",6,"2016","Agosto","Todas","Rio de Janeiro"
"14","Saquarema",57,"2016","Agosto","Todas","Rio de Janeiro"
"15","Seropedica",46,"2016","Agosto","Todas","Rio de Janeiro"
"16","Sumidouro",3,"2016","Agosto","Todas","Rio de Janeiro"
"17","São João da Barra",3,"2016","Agosto","Todas","Rio de Janeiro"
"18","São João de Meriti",215,"2016","Agosto","Todas","Rio de Janeiro"
"19","Tanguá",9,"2016","Agosto","Todas","Rio de Janeiro"
"20","Teresopolis",3,"2016","Agosto","Todas","Rio de Janeiro"
"21","Vassouras",58,"2016","Agosto","Todas","Rio de Janeiro"
"22","Angra dos Reis",2,"2016","Agosto","Todas","Rio de Janeiro"
"23","Araruama",1,"2016","Agosto","Todas","Rio de Janeiro"
"24","Armação dos Búzios",1,"2016","Agosto","Todas","Rio de Janeiro"
"25","Barra do Pirai",4,"2016","Agosto","Todas","Rio de Janeiro"
"26","Bom Jardim",27,"2016","Agosto","Todas","Rio de Janeiro"
"27","Bom Jesus do Itabapoana",27,"2016","Agosto","Todas","Rio de Janeiro"
"28","Cabo Frio",2,"2016","Agosto","Todas","Rio de Janeiro"
"29","Campos dos Goytacazes",211,"2016","Agosto","Todas","Rio de Janeiro"
"30","Cantagalo",9,"2016","Agosto","Todas","Rio de Janeiro"
"31","Casimiro de Abreu",9,"2016","Agosto","Todas","Rio de Janeiro"
"32","Cordeiro",1,"2016","Agosto","Todas","Rio de Janeiro"
"33","Duque de Caxias",25,"2016","Agosto","Todas","Rio de Janeiro"
"34","Itaborai",90,"2016","Agosto","Todas","Rio de Janeiro"
"35","Itaguai",71,"2016","Agosto","Todas","Rio de Janeiro"
"36","Itaperuna",134,"2016","Agosto","Todas","Rio de Janeiro"
"37","Japeri",38,"2016","Agosto","Todas","Rio de Janeiro"
"38","Macae",111,"2016","Agosto","Todas","Rio de Janeiro"
"39","Mangaratiba",20,"2016","Agosto","Todas","Rio de Janeiro"
"40","Maricá",5,"2016","Agosto","Todas","Rio de Janeiro"
"41","Miguel Pereira",38,"2016","Agosto","Todas","Rio de Janeiro"
