"","Cidade","Registros","Ano","Mês","Região","Estado"
"1","Vargem Grande do Sul",23,"2016","Agosto","Todas","São Paulo"
"2","Varzea Paulista",23,"2016","Agosto","Todas","São Paulo"
"3","Vera Cruz",3,"2016","Agosto","Todas","São Paulo"
"4","Vinhedo",31,"2016","Agosto","Todas","São Paulo"
"5","Viradouro",6,"2016","Agosto","Todas","São Paulo"
"6","Votorantim",67,"2016","Agosto","Todas","São Paulo"
"7","Votuporanga",79,"2016","Agosto","Todas","São Paulo"
"8","Águas da Prata",2,"2016","Agosto","Todas","São Paulo"
"9","Águas de Lindóia",18,"2016","Agosto","Todas","São Paulo"
"10","Álvares Machado",4,"2016","Agosto","Todas","São Paulo"
"11","Tatui",75,"2016","Agosto","Todas","São Paulo"
"12","Taubate",227,"2016","Agosto","Todas","São Paulo"
"13","Tejupá",2,"2016","Agosto","Todas","São Paulo"
"14","Teodoro Sampaio",4,"2016","Agosto","Todas","São Paulo"
"15","Terra Roxa",3,"2016","Agosto","Todas","São Paulo"
"16","Tiete",24,"2016","Agosto","Todas","São Paulo"
"17","Torrinha",2,"2016","Agosto","Todas","São Paulo"
"18","Tremembé",14,"2016","Agosto","Todas","São Paulo"
"19","Três Fronteiras",2,"2016","Agosto","Todas","São Paulo"
"20","Tupa",62,"2016","Agosto","Todas","São Paulo"
"21","Tupi Paulista",14,"2016","Agosto","Todas","São Paulo"
"22","Turiúba",1,"2016","Agosto","Todas","São Paulo"
"23","Ubatuba",46,"2016","Agosto","Todas","São Paulo"
"24","Uchoa",3,"2016","Agosto","Todas","São Paulo"
"25","Urupês",4,"2016","Agosto","Todas","São Paulo"
"26","Urânia",2,"2016","Agosto","Todas","São Paulo"
"27","Valentim Gentil",4,"2016","Agosto","Todas","São Paulo"
"28","Valinhos",87,"2016","Agosto","Todas","São Paulo"
"29","Valparaíso",11,"2016","Agosto","Todas","São Paulo"
"30","Vargem Grande Paulista",5,"2016","Agosto","Todas","São Paulo"
"31","São Sebastião",36,"2016","Agosto","Todas","São Paulo"
"32","São Sebastião da Grama",4,"2016","Agosto","Todas","São Paulo"
"33","São Simão",7,"2016","Agosto","Todas","São Paulo"
"34","São Vicente",123,"2016","Agosto","Todas","São Paulo"
"35","Tabapuã",3,"2016","Agosto","Todas","São Paulo"
"36","Tabatinga",6,"2016","Agosto","Todas","São Paulo"
"37","Taboão da Serra",131,"2016","Agosto","Todas","São Paulo"
