"","Cidade","Registros","Ano","Mês","Região","Estado"
"1","Brasília",416,"2016","Julho","Todas","Distrito Federal"
"2","Brazlândia",20,"2016","Julho","Todas","Distrito Federal"
"3","Ceilandia",115,"2016","Julho","Todas","Distrito Federal"
"4","Gama",143,"2016","Julho","Todas","Distrito Federal"
"5","Guará",36,"2016","Julho","Todas","Distrito Federal"
"6","Núcleo Bandeirantes",198,"2016","Julho","Todas","Distrito Federal"
"7","Paranoá",39,"2016","Julho","Todas","Distrito Federal"
"8","Planaltina",30,"2016","Julho","Todas","Distrito Federal"
"9","Samambaia",39,"2016","Julho","Todas","Distrito Federal"
"10","Sobradinho",50,"2016","Julho","Todas","Distrito Federal"
"11","Taguatinga",128,"2016","Julho","Todas","Distrito Federal"
