"","Cidade","Registros","Ano","Mês","Região","Estado"
"1","Santo Antônio do Descoberto",8,"2016","Março","Todas","Goiás"
"2","São Francisco de Goiás",1,"2016","Março","Todas","Goiás"
"3","São João D'aliança",3,"2016","Março","Todas","Goiás"
"4","Terezópolis de Goiás",6,"2016","Março","Todas","Goiás"
"5","Trombas",1,"2016","Março","Todas","Goiás"
"6","Turvânia",5,"2016","Março","Todas","Goiás"
"7","Uruaçu",17,"2016","Março","Todas","Goiás"
"8","Valparaíso de Goiás",28,"2016","Março","Todas","Goiás"
"9","Varjão",1,"2016","Março","Todas","Goiás"
"10","Vianópolis",10,"2016","Março","Todas","Goiás"
"11","Vicentinópolis",1,"2016","Março","Todas","Goiás"
"12","Vila Propício",2,"2016","Março","Todas","Goiás"
"13","Águas Lindas de Goiás",27,"2016","Março","Todas","Goiás"
"14","Jaraguá",12,"2016","Março","Todas","Goiás"
"15","Mara Rosa",5,"2016","Março","Todas","Goiás"
"16","Matrinchã",1,"2016","Março","Todas","Goiás"
"17","Maurilândia",1,"2016","Março","Todas","Goiás"
"18","Nazário",9,"2016","Março","Todas","Goiás"
"19","Niquelandia",17,"2016","Março","Todas","Goiás"
"20","Nova Gloria",4,"2016","Março","Todas","Goiás"
"21","Nova Roma",1,"2016","Março","Todas","Goiás"
"22","Nova Veneza",6,"2016","Março","Todas","Goiás"
"23","Novo Gama",10,"2016","Março","Todas","Goiás"
"24","Ouro Verde de Goiás",2,"2016","Março","Todas","Goiás"
"25","Palmeiras de Goiás",13,"2016","Março","Todas","Goiás"
"26","Piracanjuba",13,"2016","Março","Todas","Goiás"
"27","Planaltina",16,"2016","Março","Todas","Goiás"
"28","Pontalina",12,"2016","Março","Todas","Goiás"
"29","Porangatu",20,"2016","Março","Todas","Goiás"
"30","Rio Verde",108,"2016","Março","Todas","Goiás"
"31","Santa Rita do Araguaia",2,"2016","Março","Todas","Goiás"
"32","Santa Rita do Novo Destino",3,"2016","Março","Todas","Goiás"
"33","Santa Terezinha de Goiás",8,"2016","Março","Todas","Goiás"
"34","Cezarina",4,"2016","Março","Todas","Goiás"
"35","Cidade Ocidental",8,"2016","Março","Todas","Goiás"
"36","Cocalzinho de Goias",4,"2016","Março","Todas","Goiás"
"37","Corumbá de Goiás",1,"2016","Março","Todas","Goiás"
"38","Cristalina",21,"2016","Março","Todas","Goiás"
"39","Cristianópolis",1,"2016","Março","Todas","Goiás"
"40","Cromínia",3,"2016","Março","Todas","Goiás"
"41","Córrego do Ouro",2,"2016","Março","Todas","Goiás"
"42","Fazenda Nova",2,"2016","Março","Todas","Goiás"
"43","Firminópolis",2,"2016","Março","Todas","Goiás"
"44","Formosa",43,"2016","Março","Todas","Goiás"
"45","Formoso",5,"2016","Março","Todas","Goiás"
"46","Goiandira",1,"2016","Março","Todas","Goiás"
"47","Goianira",10,"2016","Março","Todas","Goiás"
"48","Goianésia",24,"2016","Março","Todas","Goiás"
"49","Goiânia",1122,"2016","Março","Todas","Goiás"
"50","Inhumas",15,"2016","Março","Todas","Goiás"
"51","Itaguaru",4,"2016","Março","Todas","Goiás"
"52","Itapirapuã",1,"2016","Março","Todas","Goiás"
"53","Itumbiara",8,"2016","Março","Todas","Goiás"
"54","Abadia de Goiás",2,"2016","Março","Todas","Goiás"
"55","Abadiânia",6,"2016","Março","Todas","Goiás"
"56","Alexania",8,"2016","Março","Todas","Goiás"
"57","Aloândia",1,"2016","Março","Todas","Goiás"
"58","Alto Paraíso de Goiás",1,"2016","Março","Todas","Goiás"
"59","Anapolis",76,"2016","Março","Todas","Goiás"
"60","Aparecida de Goiania",174,"2016","Março","Todas","Goiás"
"61","Aparecida do Rio Doce",1,"2016","Março","Todas","Goiás"
"62","Aporé",1,"2016","Março","Todas","Goiás"
"63","Aragarças",1,"2016","Março","Todas","Goiás"
"64","Aragoiânia",1,"2016","Março","Todas","Goiás"
"65","Aruanã",3,"2016","Março","Todas","Goiás"
"66","Bonópolis",1,"2016","Março","Todas","Goiás"
"67","Buriti Alegre",5,"2016","Março","Todas","Goiás"
"68","Cachoeira Dourada",3,"2016","Março","Todas","Goiás"
"69","Caldas Novas",20,"2016","Março","Todas","Goiás"
"70","Campinaçu",2,"2016","Março","Todas","Goiás"
"71","Campo Alegre de Goiás",1,"2016","Março","Todas","Goiás"
"72","Castelândia",3,"2016","Março","Todas","Goiás"
"73","Catalao",35,"2016","Março","Todas","Goiás"
