"","Cidade","Registros","Ano","Mês","Região","Estado"
"1","Palmeirândia",2,"2016","Março","Todas","Maranhão"
"2","Paraibano",2,"2016","Março","Todas","Maranhão"
"3","Parnarama",12,"2016","Março","Todas","Maranhão"
"4","Porto Franco",6,"2016","Março","Todas","Maranhão"
"5","Raposa",3,"2016","Março","Todas","Maranhão"
"6","Santa Helena",8,"2016","Março","Todas","Maranhão"
"7","Santo Antônio dos Lopes",4,"2016","Março","Todas","Maranhão"
"8","Sucupira do Norte",1,"2016","Março","Todas","Maranhão"
"9","São Domingos do Maranhão",10,"2016","Março","Todas","Maranhão"
"10","São Francisco do Brejão",3,"2016","Março","Todas","Maranhão"
"11","São Félix de Balsas",1,"2016","Março","Todas","Maranhão"
"12","São João do Paraíso",2,"2016","Março","Todas","Maranhão"
"13","São João do Soter",2,"2016","Março","Todas","Maranhão"
"14","São Luís",64,"2016","Março","Todas","Maranhão"
"15","São Luís Gonzaga do Maranhão",3,"2016","Março","Todas","Maranhão"
"16","Tasso Fragoso",4,"2016","Março","Todas","Maranhão"
"17","Tuntum",6,"2016","Março","Todas","Maranhão"
"18","Vila Nova dos Martírios",2,"2016","Março","Todas","Maranhão"
"19","Cidelândia",3,"2016","Março","Todas","Maranhão"
"20","Conceição do Lago-Açu",3,"2016","Março","Todas","Maranhão"
"21","Feira Nova do Maranhão",3,"2016","Março","Todas","Maranhão"
"22","Formosa da Serra Negra",3,"2016","Março","Todas","Maranhão"
"23","Governador Edson Lobão",4,"2016","Março","Todas","Maranhão"
"24","Governador Luiz Rocha",1,"2016","Março","Todas","Maranhão"
"25","Governador Newton Bello",1,"2016","Março","Todas","Maranhão"
"26","Governador Nunes Freire",11,"2016","Março","Todas","Maranhão"
"27","Grajaú",1,"2016","Março","Todas","Maranhão"
"28","Humberto de Campos",3,"2016","Março","Todas","Maranhão"
"29","Igarapé Grande",7,"2016","Março","Todas","Maranhão"
"30","Itinga do Maranhão",10,"2016","Março","Todas","Maranhão"
"31","Lago Verde",7,"2016","Março","Todas","Maranhão"
"32","Lagoa do Mato",3,"2016","Março","Todas","Maranhão"
"33","Matões do Norte",1,"2016","Março","Todas","Maranhão"
"34","Mirador",9,"2016","Março","Todas","Maranhão"
"35","Miranda do Norte",14,"2016","Março","Todas","Maranhão"
"36","Monção",9,"2016","Março","Todas","Maranhão"
"37","Morros",1,"2016","Março","Todas","Maranhão"
"38","Olinda Nova do Maranhão",4,"2016","Março","Todas","Maranhão"
"39","Alcântara",2,"2016","Março","Todas","Maranhão"
"40","Alto Alegre do Maranhão",6,"2016","Março","Todas","Maranhão"
"41","Alto Parnaíba",6,"2016","Março","Todas","Maranhão"
"42","Amapá do Maranhão",1,"2016","Março","Todas","Maranhão"
"43","Apicum-Açu",4,"2016","Março","Todas","Maranhão"
"44","Arame",2,"2016","Março","Todas","Maranhão"
"45","Arari",5,"2016","Março","Todas","Maranhão"
"46","Açailandia",34,"2016","Março","Todas","Maranhão"
"47","Bacabal",28,"2016","Março","Todas","Maranhão"
"48","Bacabeira",1,"2016","Março","Todas","Maranhão"
"49","Barreirinhas",12,"2016","Março","Todas","Maranhão"
"50","Benedito Leite",3,"2016","Março","Todas","Maranhão"
"51","Bom Jesus das Selvas",6,"2016","Março","Todas","Maranhão"
"52","Bom Lugar",1,"2016","Março","Todas","Maranhão"
"53","Buriti",3,"2016","Março","Todas","Maranhão"
"54","Buritirana",3,"2016","Março","Todas","Maranhão"
"55","Cachoeira Grande",3,"2016","Março","Todas","Maranhão"
"56","Campestre do Maranhão",2,"2016","Março","Todas","Maranhão"
"57","Carolina",12,"2016","Março","Todas","Maranhão"
"58","Chapadinha",18,"2016","Março","Todas","Maranhão"
