"","Cidade","Registros","Ano","Mês","Região","Estado"
"1","São José de Piranhas",14,"2016","Novembro","Todas","Paraíba"
"2","São José do Sabugi",1,"2016","Novembro","Todas","Paraíba"
"3","São José dos Cordeiros",1,"2016","Novembro","Todas","Paraíba"
"4","São José dos Ramos",1,"2016","Novembro","Todas","Paraíba"
"5","São João do Cariri",1,"2016","Novembro","Todas","Paraíba"
"6","São João do Rio do Peixe",3,"2016","Novembro","Todas","Paraíba"
"7","São João do Tigre",3,"2016","Novembro","Todas","Paraíba"
"8","São Mamede",6,"2016","Novembro","Todas","Paraíba"
"9","São Sebastião de Lagoa de Roça",3,"2016","Novembro","Todas","Paraíba"
"10","Taperoá",5,"2016","Novembro","Todas","Paraíba"
"11","Tavares",6,"2016","Novembro","Todas","Paraíba"
"12","Tenório",2,"2016","Novembro","Todas","Paraíba"
"13","Triunfo",1,"2016","Novembro","Todas","Paraíba"
"14","Umbuzeiro",1,"2016","Novembro","Todas","Paraíba"
"15","Vieirópolis",4,"2016","Novembro","Todas","Paraíba"
"16","Zabelê",2,"2016","Novembro","Todas","Paraíba"
"17","Santa Luzia",11,"2016","Novembro","Todas","Paraíba"
"18","Santa Rita",58,"2016","Novembro","Todas","Paraíba"
"19","Santana dos Garrotes",3,"2016","Novembro","Todas","Paraíba"
"20","Santarém",1,"2016","Novembro","Todas","Paraíba"
"21","Santo André",2,"2016","Novembro","Todas","Paraíba"
"22","Sapé",24,"2016","Novembro","Todas","Paraíba"
"23","Seridó",4,"2016","Novembro","Todas","Paraíba"
"24","Sertãozinho",3,"2016","Novembro","Todas","Paraíba"
"25","Sobrado",2,"2016","Novembro","Todas","Paraíba"
"26","Soledade",7,"2016","Novembro","Todas","Paraíba"
"27","Solânea",10,"2016","Novembro","Todas","Paraíba"
"28","Sossêgo",2,"2016","Novembro","Todas","Paraíba"
"29","Sousa",56,"2016","Novembro","Todas","Paraíba"
"30","Sumé",13,"2016","Novembro","Todas","Paraíba"
"31","São Bentinho",4,"2016","Novembro","Todas","Paraíba"
"32","São Bento",11,"2016","Novembro","Todas","Paraíba"
"33","São Domingos do Cariri",2,"2016","Novembro","Todas","Paraíba"
"34","São José da Lagoa Tapada",1,"2016","Novembro","Todas","Paraíba"
"35","São José de Caiana",1,"2016","Novembro","Todas","Paraíba"
"36","São José de Espinharas",1,"2016","Novembro","Todas","Paraíba"
"37","Passagem",1,"2016","Novembro","Todas","Paraíba"
"38","Patos",104,"2016","Novembro","Todas","Paraíba"
"39","Paulista",7,"2016","Novembro","Todas","Paraíba"
"40","Pedra Lavrada",2,"2016","Novembro","Todas","Paraíba"
"41","Piancó",10,"2016","Novembro","Todas","Paraíba"
"42","Picuí",10,"2016","Novembro","Todas","Paraíba"
"43","Pilõezinhos",3,"2016","Novembro","Todas","Paraíba"
"44","Pirpirituba",2,"2016","Novembro","Todas","Paraíba"
"45","Pitimbu",3,"2016","Novembro","Todas","Paraíba"
"46","Pocinhos",6,"2016","Novembro","Todas","Paraíba"
"47","Pombal",20,"2016","Novembro","Todas","Paraíba"
"48","Prata",2,"2016","Novembro","Todas","Paraíba"
"49","Princesa Isabel",12,"2016","Novembro","Todas","Paraíba"
"50","Queimadas",21,"2016","Novembro","Todas","Paraíba"
"51","Remígio",4,"2016","Novembro","Todas","Paraíba"
"52","Rio Tinto",2,"2016","Novembro","Todas","Paraíba"
"53","Salgado de São Félix",6,"2016","Novembro","Todas","Paraíba"
"54","Santa Cecília",1,"2016","Novembro","Todas","Paraíba"
"55","Santa Helena",2,"2016","Novembro","Todas","Paraíba"
