"","Cidade","Registros","Ano","Mês","Região","Estado"
"1","Varzea da Palma",10,"2016","Setembro","Todas","Minas Gerais"
"2","Varzelândia",9,"2016","Setembro","Todas","Minas Gerais"
"3","Vazante",10,"2016","Setembro","Todas","Minas Gerais"
"4","Verdelândia",1,"2016","Setembro","Todas","Minas Gerais"
"5","Vespasiano",29,"2016","Setembro","Todas","Minas Gerais"
"6","Virginópolis",3,"2016","Setembro","Todas","Minas Gerais"
"7","Virgolândia",1,"2016","Setembro","Todas","Minas Gerais"
"8","Virgínia",1,"2016","Setembro","Todas","Minas Gerais"
"9","Visconde do Rio Branco",21,"2016","Setembro","Todas","Minas Gerais"
"10","Viçosa",58,"2016","Setembro","Todas","Minas Gerais"
"11","Volta Grande",4,"2016","Setembro","Todas","Minas Gerais"
"12","Água Boa",8,"2016","Setembro","Todas","Minas Gerais"
"13","Água Comprida",1,"2016","Setembro","Todas","Minas Gerais"
"14","Águas Formosas",11,"2016","Setembro","Todas","Minas Gerais"
"15","Águas Vermelhas",6,"2016","Setembro","Todas","Minas Gerais"
"16","Tombos",3,"2016","Setembro","Todas","Minas Gerais"
"17","Três Corações",54,"2016","Setembro","Todas","Minas Gerais"
"18","Três Marias",6,"2016","Setembro","Todas","Minas Gerais"
"19","Três Pontas",32,"2016","Setembro","Todas","Minas Gerais"
"20","Tumiritinga",2,"2016","Setembro","Todas","Minas Gerais"
"21","Tupaciguara",12,"2016","Setembro","Todas","Minas Gerais"
"22","Turmalina",10,"2016","Setembro","Todas","Minas Gerais"
"23","Ubaporanga",2,"2016","Setembro","Todas","Minas Gerais"
"24","Ubaí",2,"2016","Setembro","Todas","Minas Gerais"
"25","Uberaba",248,"2016","Setembro","Todas","Minas Gerais"
"26","Uberlandia",363,"2016","Setembro","Todas","Minas Gerais"
"27","Ubá",87,"2016","Setembro","Todas","Minas Gerais"
"28","Umburatiba",1,"2016","Setembro","Todas","Minas Gerais"
"29","Unaí",33,"2016","Setembro","Todas","Minas Gerais"
"30","União de Minas",1,"2016","Setembro","Todas","Minas Gerais"
"31","Urucania",3,"2016","Setembro","Todas","Minas Gerais"
"32","Vargem Alegre",2,"2016","Setembro","Todas","Minas Gerais"
"33","Vargem Grande do Rio Pardo",1,"2016","Setembro","Todas","Minas Gerais"
"34","Varginha",113,"2016","Setembro","Todas","Minas Gerais"
"35","Varjão de Minas",1,"2016","Setembro","Todas","Minas Gerais"
"36","São Roque de Minas",2,"2016","Setembro","Todas","Minas Gerais"
"37","São Sebastião da Bela Vista",1,"2016","Setembro","Todas","Minas Gerais"
"38","São Sebastião do Anta",2,"2016","Setembro","Todas","Minas Gerais"
"39","São Sebastião do Maranhão",5,"2016","Setembro","Todas","Minas Gerais"
"40","São Sebastião do Oeste",1,"2016","Setembro","Todas","Minas Gerais"
"41","São Sebastião do Paraíso",54,"2016","Setembro","Todas","Minas Gerais"
"42","São Sebastião do Rio Verde",1,"2016","Setembro","Todas","Minas Gerais"
"43","São Thomé das Letras",2,"2016","Setembro","Todas","Minas Gerais"
"44","São Tiago",3,"2016","Setembro","Todas","Minas Gerais"
"45","São Tomás de Aquino",2,"2016","Setembro","Todas","Minas Gerais"
"46","São Vicente de Minas",5,"2016","Setembro","Todas","Minas Gerais"
"47","Taiobeiras",22,"2016","Setembro","Todas","Minas Gerais"
"48","Taquaraçu de Minas",1,"2016","Setembro","Todas","Minas Gerais"
"49","Tarumirim",2,"2016","Setembro","Todas","Minas Gerais"
"50","Teófilo Otoni",141,"2016","Setembro","Todas","Minas Gerais"
"51","Timoteo",26,"2016","Setembro","Todas","Minas Gerais"
"52","Tiradentes",3,"2016","Setembro","Todas","Minas Gerais"
"53","Tiros",1,"2016","Setembro","Todas","Minas Gerais"
"54","Tocantins",3,"2016","Setembro","Todas","Minas Gerais"
"55","Tocos do Moji",1,"2016","Setembro","Todas","Minas Gerais"
"56","São Gonçalo do Rio Preto",1,"2016","Setembro","Todas","Minas Gerais"
"57","São Gonçalo do Sapucaí",15,"2016","Setembro","Todas","Minas Gerais"
"58","São Gotardo",16,"2016","Setembro","Todas","Minas Gerais"
"59","São Joaquim de Bicas",5,"2016","Setembro","Todas","Minas Gerais"
"60","São José da Safira",1,"2016","Setembro","Todas","Minas Gerais"
"61","São José do Divino",2,"2016","Setembro","Todas","Minas Gerais"
"62","São José do Jacuri",2,"2016","Setembro","Todas","Minas Gerais"
"63","São João Batista do Glória",2,"2016","Setembro","Todas","Minas Gerais"
"64","São João Del Rei",81,"2016","Setembro","Todas","Minas Gerais"
"65","São João Evangelista",17,"2016","Setembro","Todas","Minas Gerais"
"66","São João Nepomuceno",15,"2016","Setembro","Todas","Minas Gerais"
"67","São João da Ponte",6,"2016","Setembro","Todas","Minas Gerais"
"68","São João das Missões",3,"2016","Setembro","Todas","Minas Gerais"
"69","São João do Manhuaçu",4,"2016","Setembro","Todas","Minas Gerais"
"70","São João do Pacuí",2,"2016","Setembro","Todas","Minas Gerais"
"71","São Lourenço",42,"2016","Setembro","Todas","Minas Gerais"
"72","São Pedro da União",3,"2016","Setembro","Todas","Minas Gerais"
"73","São Pedro do Suaçuí",2,"2016","Setembro","Todas","Minas Gerais"
"74","São Pedro dos Ferros",2,"2016","Setembro","Todas","Minas Gerais"
"75","São Romão",3,"2016","Setembro","Todas","Minas Gerais"
"76","Serra dos Aimorés",1,"2016","Setembro","Todas","Minas Gerais"
"77","Serrania",1,"2016","Setembro","Todas","Minas Gerais"
"78","Serro",14,"2016","Setembro","Todas","Minas Gerais"
"79","Sete Lagoas",126,"2016","Setembro","Todas","Minas Gerais"
"80","Silvianópolis",2,"2016","Setembro","Todas","Minas Gerais"
"81","Simonésia",3,"2016","Setembro","Todas","Minas Gerais"
"82","Simão Pereira",4,"2016","Setembro","Todas","Minas Gerais"
"83","Sobrália",2,"2016","Setembro","Todas","Minas Gerais"
"84","Soledade de Minas",1,"2016","Setembro","Todas","Minas Gerais"
"85","São Domingos das Dores",1,"2016","Setembro","Todas","Minas Gerais"
"86","São Domingos do Prata",6,"2016","Setembro","Todas","Minas Gerais"
"87","São Francisco",24,"2016","Setembro","Todas","Minas Gerais"
"88","São Francisco de Sales",1,"2016","Setembro","Todas","Minas Gerais"
"89","São Francisco do Glória",2,"2016","Setembro","Todas","Minas Gerais"
"90","São Geraldo",1,"2016","Setembro","Todas","Minas Gerais"
"91","São Geraldo da Piedade",1,"2016","Setembro","Todas","Minas Gerais"
"92","São Geraldo do Baixio",2,"2016","Setembro","Todas","Minas Gerais"
"93","São Gonçalo do Abaeté",3,"2016","Setembro","Todas","Minas Gerais"
"94","São Gonçalo do Pará",1,"2016","Setembro","Todas","Minas Gerais"
"95","São Gonçalo do Rio Abaixo",6,"2016","Setembro","Todas","Minas Gerais"
"96","Santo Antonio do Monte",10,"2016","Setembro","Todas","Minas Gerais"
"97","Santo Antônio do Amparo",15,"2016","Setembro","Todas","Minas Gerais"
"98","Santo Antônio do Aventureiro",1,"2016","Setembro","Todas","Minas Gerais"
"99","Santo Antônio do Grama",1,"2016","Setembro","Todas","Minas Gerais"
"100","Santo Antônio do Itambé",1,"2016","Setembro","Todas","Minas Gerais"
"101","Santo Antônio do Jacinto",2,"2016","Setembro","Todas","Minas Gerais"
"102","Santo Antônio do Retiro",1,"2016","Setembro","Todas","Minas Gerais"
"103","Santo Antônio do Rio Abaixo",2,"2016","Setembro","Todas","Minas Gerais"
"104","Santos Dumont",23,"2016","Setembro","Todas","Minas Gerais"
"105","Sao Jose da Lapa",6,"2016","Setembro","Todas","Minas Gerais"
"106","Sapucaí-Mirim",1,"2016","Setembro","Todas","Minas Gerais"
"107","Sarzedo",9,"2016","Setembro","Todas","Minas Gerais"
"108","Sem Peixe",2,"2016","Setembro","Todas","Minas Gerais"
"109","Senador Firmino",2,"2016","Setembro","Todas","Minas Gerais"
"110","Senador Modestino Gonçalves",2,"2016","Setembro","Todas","Minas Gerais"
"111","Senhora do Porto",3,"2016","Setembro","Todas","Minas Gerais"
"112","Senhora dos Remédios",2,"2016","Setembro","Todas","Minas Gerais"
"113","Sericita",2,"2016","Setembro","Todas","Minas Gerais"
"114","Serra Azul de Minas",1,"2016","Setembro","Todas","Minas Gerais"
"115","Serra do Salitre",6,"2016","Setembro","Todas","Minas Gerais"
"116","Santa Juliana",3,"2016","Setembro","Todas","Minas Gerais"
"117","Santa Luzia",57,"2016","Setembro","Todas","Minas Gerais"
"118","Santa Margarida",4,"2016","Setembro","Todas","Minas Gerais"
"119","Santa Maria de Itabira",3,"2016","Setembro","Todas","Minas Gerais"
"120","Santa Maria do Suaçuí",5,"2016","Setembro","Todas","Minas Gerais"
"121","Santa Rita de Caldas",2,"2016","Setembro","Todas","Minas Gerais"
"122","Santa Rita de Ibitipoca",1,"2016","Setembro","Todas","Minas Gerais"
"123","Santa Rita de Jacutinga",4,"2016","Setembro","Todas","Minas Gerais"
"124","Santa Rita do Itueto",1,"2016","Setembro","Todas","Minas Gerais"
"125","Santa Rita do Sapucaí",11,"2016","Setembro","Todas","Minas Gerais"
"126","Santa Rosa da Serra",1,"2016","Setembro","Todas","Minas Gerais"
"127","Santa Vitória",7,"2016","Setembro","Todas","Minas Gerais"
"128","Santana da Vargem",3,"2016","Setembro","Todas","Minas Gerais"
"129","Santana de Pirapama",3,"2016","Setembro","Todas","Minas Gerais"
"130","Santana do Garambéu",4,"2016","Setembro","Todas","Minas Gerais"
"131","Santana do Jacaré",1,"2016","Setembro","Todas","Minas Gerais"
"132","Santana do Manhuaçu",1,"2016","Setembro","Todas","Minas Gerais"
"133","Santana do Paraíso",1,"2016","Setembro","Todas","Minas Gerais"
"134","Santana do Riacho",1,"2016","Setembro","Todas","Minas Gerais"
"135","Santana dos Montes",1,"2016","Setembro","Todas","Minas Gerais"
"136","Rio Preto",3,"2016","Setembro","Todas","Minas Gerais"
"137","Rio Vermelho",3,"2016","Setembro","Todas","Minas Gerais"
"138","Ritápolis",2,"2016","Setembro","Todas","Minas Gerais"
"139","Rodeiro",5,"2016","Setembro","Todas","Minas Gerais"
"140","Rubelita",3,"2016","Setembro","Todas","Minas Gerais"
"141","Rubim",4,"2016","Setembro","Todas","Minas Gerais"
"142","Sabara",38,"2016","Setembro","Todas","Minas Gerais"
"143","Sabinópolis",3,"2016","Setembro","Todas","Minas Gerais"
"144","Sacramento",7,"2016","Setembro","Todas","Minas Gerais"
"145","Salinas",24,"2016","Setembro","Todas","Minas Gerais"
"146","Salto da Divisa",1,"2016","Setembro","Todas","Minas Gerais"
"147","Santa Bárbara",14,"2016","Setembro","Todas","Minas Gerais"
"148","Santa Bárbara do Leste",2,"2016","Setembro","Todas","Minas Gerais"
"149","Santa Bárbara do Monte Verde",1,"2016","Setembro","Todas","Minas Gerais"
"150","Santa Bárbara do Tugúrio",2,"2016","Setembro","Todas","Minas Gerais"
"151","Santa Cruz de Salinas",1,"2016","Setembro","Todas","Minas Gerais"
"152","Santa Cruz do Escalvado",2,"2016","Setembro","Todas","Minas Gerais"
"153","Santa Efigênia de Minas",2,"2016","Setembro","Todas","Minas Gerais"
"154","Santa Fé de Minas",2,"2016","Setembro","Todas","Minas Gerais"
"155","Santa Helena de Minas",4,"2016","Setembro","Todas","Minas Gerais"
"156","Presidente Kubitschek",1,"2016","Setembro","Todas","Minas Gerais"
"157","Presidente Olegário",4,"2016","Setembro","Todas","Minas Gerais"
"158","Prudente de Morais",1,"2016","Setembro","Todas","Minas Gerais"
"159","Raul Soares",14,"2016","Setembro","Todas","Minas Gerais"
"160","Recreio",4,"2016","Setembro","Todas","Minas Gerais"
"161","Reduto",1,"2016","Setembro","Todas","Minas Gerais"
"162","Resende Costa",7,"2016","Setembro","Todas","Minas Gerais"
"163","Resplendor",11,"2016","Setembro","Todas","Minas Gerais"
"164","Ressaquinha",4,"2016","Setembro","Todas","Minas Gerais"
"165","Riachinho",6,"2016","Setembro","Todas","Minas Gerais"
"166","Ribeirão Vermelho",2,"2016","Setembro","Todas","Minas Gerais"
"167","Ribeirão das Neves",70,"2016","Setembro","Todas","Minas Gerais"
