"","Cidade","Registros","Ano","Mês","Região","Estado"
"1","Simão Dias",5,"2017","Abril","Todas","Sergipe"
"2","Siriri",2,"2017","Abril","Todas","Sergipe"
"3","São Cristóvão",2,"2017","Abril","Todas","Sergipe"
"4","São Domingos",5,"2017","Abril","Todas","Sergipe"
"5","São Miguel do Aleixo",1,"2017","Abril","Todas","Sergipe"
"6","Telha",1,"2017","Abril","Todas","Sergipe"
"7","Tobias Barreto",13,"2017","Abril","Todas","Sergipe"
"8","Umbaúba",7,"2017","Abril","Todas","Sergipe"
"9","Laranjeiras",6,"2017","Abril","Todas","Sergipe"
"10","Malhador",1,"2017","Abril","Todas","Sergipe"
"11","Maruim",3,"2017","Abril","Todas","Sergipe"
"12","Muribeca",1,"2017","Abril","Todas","Sergipe"
"13","Neópolis",17,"2017","Abril","Todas","Sergipe"
"14","Nossa Senhora Aparecida",1,"2017","Abril","Todas","Sergipe"
"15","Nossa Senhora da Glória",15,"2017","Abril","Todas","Sergipe"
"16","Nossa Senhora das Dores",6,"2017","Abril","Todas","Sergipe"
"17","Nossa Senhora do Socorro",78,"2017","Abril","Todas","Sergipe"
"18","Pedrinhas",2,"2017","Abril","Todas","Sergipe"
"19","Porto da Folha",2,"2017","Abril","Todas","Sergipe"
"20","Poço Redondo",9,"2017","Abril","Todas","Sergipe"
"21","Poço Verde",11,"2017","Abril","Todas","Sergipe"
"22","Propriá",21,"2017","Abril","Todas","Sergipe"
"23","Riachão do Dantas",7,"2017","Abril","Todas","Sergipe"
"24","Ribeirópolis",8,"2017","Abril","Todas","Sergipe"
"25","Rosario do Catete",2,"2017","Abril","Todas","Sergipe"
"26","Salgado",1,"2017","Abril","Todas","Sergipe"
"27","Santa Luzia do Itanhy",1,"2017","Abril","Todas","Sergipe"
"28","Santana do São Francisco",3,"2017","Abril","Todas","Sergipe"
"29","Aquidabã",10,"2017","Abril","Todas","Sergipe"
"30","Aracaju",473,"2017","Abril","Todas","Sergipe"
"31","Areia Branca",3,"2017","Abril","Todas","Sergipe"
"32","Barra dos Coqueiros",9,"2017","Abril","Todas","Sergipe"
"33","Boquim",6,"2017","Abril","Todas","Sergipe"
"34","Campo do Brito",5,"2017","Abril","Todas","Sergipe"
"35","Canindé de São Francisco",8,"2017","Abril","Todas","Sergipe"
"36","Carmopolis",2,"2017","Abril","Todas","Sergipe"
"37","Cumbe",1,"2017","Abril","Todas","Sergipe"
"38","Divina Pastora",1,"2017","Abril","Todas","Sergipe"
"39","Estância",38,"2017","Abril","Todas","Sergipe"
"40","Frei Paulo",5,"2017","Abril","Todas","Sergipe"
"41","Gararu",3,"2017","Abril","Todas","Sergipe"
"42","Ilha das Flores",1,"2017","Abril","Todas","Sergipe"
"43","Indiaroba",3,"2017","Abril","Todas","Sergipe"
"44","Itabaiana",52,"2017","Abril","Todas","Sergipe"
"45","Itabaianinha",6,"2017","Abril","Todas","Sergipe"
"46","Itaporanga D'ajuda",9,"2017","Abril","Todas","Sergipe"
"47","Japoatã",4,"2017","Abril","Todas","Sergipe"
"48","Lagarto",43,"2017","Abril","Todas","Sergipe"
