"","Cidade","Registros","Ano","Mês","Região","Estado"
"1","Rubiataba",6,"2017","Agosto","Todas","Goiás"
"2","Sanclerlândia",5,"2017","Agosto","Todas","Goiás"
"3","Santa Fé de Goiás",2,"2017","Agosto","Todas","Goiás"
"4","Santa Rita do Araguaia",1,"2017","Agosto","Todas","Goiás"
"5","Santo Antônio de Goiás",1,"2017","Agosto","Todas","Goiás"
"6","Santo Antônio do Descoberto",13,"2017","Agosto","Todas","Goiás"
"7","Serranópolis",3,"2017","Agosto","Todas","Goiás"
"8","São Francisco de Goiás",4,"2017","Agosto","Todas","Goiás"
"9","São Luís de Montes Belos",11,"2017","Agosto","Todas","Goiás"
"10","São Miguel do Passa Quatro",3,"2017","Agosto","Todas","Goiás"
"11","Teresina de Goiás",1,"2017","Agosto","Todas","Goiás"
"12","Trombas",1,"2017","Agosto","Todas","Goiás"
"13","Turvânia",2,"2017","Agosto","Todas","Goiás"
"14","Uruaçu",24,"2017","Agosto","Todas","Goiás"
"15","Valparaíso de Goiás",27,"2017","Agosto","Todas","Goiás"
"16","Varjão",1,"2017","Agosto","Todas","Goiás"
"17","Vianópolis",5,"2017","Agosto","Todas","Goiás"
"18","Vicentinópolis",2,"2017","Agosto","Todas","Goiás"
"19","Água Fria de Goiás",2,"2017","Agosto","Todas","Goiás"
"20","Águas Lindas de Goiás",40,"2017","Agosto","Todas","Goiás"
"21","Nerópolis",20,"2017","Agosto","Todas","Goiás"
"22","Niquelandia",28,"2017","Agosto","Todas","Goiás"
"23","Nova Crixás",5,"2017","Agosto","Todas","Goiás"
"24","Nova Gloria",3,"2017","Agosto","Todas","Goiás"
"25","Nova Roma",1,"2017","Agosto","Todas","Goiás"
"26","Nova Veneza",4,"2017","Agosto","Todas","Goiás"
"27","Novo Gama",9,"2017","Agosto","Todas","Goiás"
"28","Ouro Verde de Goiás",3,"2017","Agosto","Todas","Goiás"
"29","Palmeiras de Goiás",9,"2017","Agosto","Todas","Goiás"
"30","Perolândia",3,"2017","Agosto","Todas","Goiás"
"31","Pilar de Goiás",1,"2017","Agosto","Todas","Goiás"
"32","Piracanjuba",14,"2017","Agosto","Todas","Goiás"
"33","Planaltina",22,"2017","Agosto","Todas","Goiás"
"34","Pontalina",4,"2017","Agosto","Todas","Goiás"
"35","Porangatu",27,"2017","Agosto","Todas","Goiás"
"36","Porteirão",1,"2017","Agosto","Todas","Goiás"
"37","Posse",18,"2017","Agosto","Todas","Goiás"
"38","Professor Jamil",3,"2017","Agosto","Todas","Goiás"
"39","Rialma",3,"2017","Agosto","Todas","Goiás"
"40","Rio Verde",93,"2017","Agosto","Todas","Goiás"
"41","Goianésia",35,"2017","Agosto","Todas","Goiás"
"42","Goiânia",1142,"2017","Agosto","Todas","Goiás"
"43","Guapó",5,"2017","Agosto","Todas","Goiás"
"44","Inaciolândia",3,"2017","Agosto","Todas","Goiás"
"45","Inhumas",26,"2017","Agosto","Todas","Goiás"
"46","Ipiranga de Goiás",1,"2017","Agosto","Todas","Goiás"
"47","Itaguari",3,"2017","Agosto","Todas","Goiás"
"48","Itaguaru",2,"2017","Agosto","Todas","Goiás"
"49","Itapuranga",13,"2017","Agosto","Todas","Goiás"
"50","Itumbiara",20,"2017","Agosto","Todas","Goiás"
"51","Jaraguá",15,"2017","Agosto","Todas","Goiás"
"52","Jaupaci",3,"2017","Agosto","Todas","Goiás"
"53","Leopoldo de Bulhões",1,"2017","Agosto","Todas","Goiás"
"54","Mara Rosa",9,"2017","Agosto","Todas","Goiás"
"55","Marzagão",1,"2017","Agosto","Todas","Goiás"
"56","Maurilândia",6,"2017","Agosto","Todas","Goiás"
"57","Mineiros",26,"2017","Agosto","Todas","Goiás"
"58","Mossâmedes",2,"2017","Agosto","Todas","Goiás"
"59","Mutunópolis",2,"2017","Agosto","Todas","Goiás"
"60","Nazário",4,"2017","Agosto","Todas","Goiás"
"61","Cachoeira Dourada",1,"2017","Agosto","Todas","Goiás"
"62","Campinaçu",2,"2017","Agosto","Todas","Goiás"
"63","Campo Alegre de Goiás",3,"2017","Agosto","Todas","Goiás"
"64","Campo Limpo de Goiás",1,"2017","Agosto","Todas","Goiás"
"65","Catalao",64,"2017","Agosto","Todas","Goiás"
"66","Caturaí",1,"2017","Agosto","Todas","Goiás"
"67","Cavalcante",4,"2017","Agosto","Todas","Goiás"
"68","Ceres",46,"2017","Agosto","Todas","Goiás"
"69","Cezarina",5,"2017","Agosto","Todas","Goiás"
"70","Cidade Ocidental",13,"2017","Agosto","Todas","Goiás"
"71","Cocalzinho de Goias",10,"2017","Agosto","Todas","Goiás"
"72","Colinas do Sul",2,"2017","Agosto","Todas","Goiás"
"73","Corumbá de Goiás",2,"2017","Agosto","Todas","Goiás"
"74","Cristalina",19,"2017","Agosto","Todas","Goiás"
"75","Cristianópolis",3,"2017","Agosto","Todas","Goiás"
"76","Córrego do Ouro",2,"2017","Agosto","Todas","Goiás"
"77","Fazenda Nova",2,"2017","Agosto","Todas","Goiás"
"78","Formosa",26,"2017","Agosto","Todas","Goiás"
"79","Goiandira",2,"2017","Agosto","Todas","Goiás"
"80","Goianira",14,"2017","Agosto","Todas","Goiás"
"81","Abadia de Goiás",2,"2017","Agosto","Todas","Goiás"
"82","Abadiânia",8,"2017","Agosto","Todas","Goiás"
"83","Alexania",9,"2017","Agosto","Todas","Goiás"
"84","Alto Horizonte",3,"2017","Agosto","Todas","Goiás"
"85","Alto Paraíso de Goiás",2,"2017","Agosto","Todas","Goiás"
"86","Amaralina",1,"2017","Agosto","Todas","Goiás"
"87","Anapolis",265,"2017","Agosto","Todas","Goiás"
"88","Anhanguera",1,"2017","Agosto","Todas","Goiás"
"89","Anicuns",11,"2017","Agosto","Todas","Goiás"
"90","Aparecida de Goiania",182,"2017","Agosto","Todas","Goiás"
"91","Aporé",2,"2017","Agosto","Todas","Goiás"
"92","Aragarças",5,"2017","Agosto","Todas","Goiás"
"93","Aragoiânia",3,"2017","Agosto","Todas","Goiás"
"94","Aruanã",4,"2017","Agosto","Todas","Goiás"
"95","Barro Alto",7,"2017","Agosto","Todas","Goiás"
"96","Bela Vista de Goiás",1,"2017","Agosto","Todas","Goiás"
"97","Bom Jesus de Goiás",5,"2017","Agosto","Todas","Goiás"
"98","Bonfinópolis",1,"2017","Agosto","Todas","Goiás"
"99","Bonópolis",1,"2017","Agosto","Todas","Goiás"
"100","Buriti Alegre",7,"2017","Agosto","Todas","Goiás"
