"","Cidade","Registros","Ano","Mês","Região","Estado"
"1","São Bernardo",4,"2017","Agosto","Todas","Maranhão"
"2","São Domingos do Azeitão",1,"2017","Agosto","Todas","Maranhão"
"3","São Domingos do Maranhão",3,"2017","Agosto","Todas","Maranhão"
"4","São Francisco do Brejão",1,"2017","Agosto","Todas","Maranhão"
"5","São Francisco do Maranhão",1,"2017","Agosto","Todas","Maranhão"
"6","São Félix de Balsas",1,"2017","Agosto","Todas","Maranhão"
"7","São João do Soter",3,"2017","Agosto","Todas","Maranhão"
"8","São João dos Patos",23,"2017","Agosto","Todas","Maranhão"
"9","São Luís",22,"2017","Agosto","Todas","Maranhão"
"10","São Luís Gonzaga do Maranhão",1,"2017","Agosto","Todas","Maranhão"
"11","Tasso Fragoso",3,"2017","Agosto","Todas","Maranhão"
"12","Tufilândia",1,"2017","Agosto","Todas","Maranhão"
"13","Tuntum",6,"2017","Agosto","Todas","Maranhão"
"14","Vitorino Freire",7,"2017","Agosto","Todas","Maranhão"
"15","Montes Altos",4,"2017","Agosto","Todas","Maranhão"
"16","Monção",9,"2017","Agosto","Todas","Maranhão"
"17","Morros",2,"2017","Agosto","Todas","Maranhão"
"18","Olinda Nova do Maranhão",3,"2017","Agosto","Todas","Maranhão"
"19","Palmeirândia",2,"2017","Agosto","Todas","Maranhão"
"20","Paraibano",6,"2017","Agosto","Todas","Maranhão"
"21","Parnarama",7,"2017","Agosto","Todas","Maranhão"
"22","Peri Mirim",1,"2017","Agosto","Todas","Maranhão"
"23","Pio Xii",6,"2017","Agosto","Todas","Maranhão"
"24","Porto Franco",15,"2017","Agosto","Todas","Maranhão"
"25","Presidente Dutra",43,"2017","Agosto","Todas","Maranhão"
"26","Presidente Sarney",4,"2017","Agosto","Todas","Maranhão"
"27","Raposa",1,"2017","Agosto","Todas","Maranhão"
"28","Riachão",8,"2017","Agosto","Todas","Maranhão"
"29","Sambaíba",4,"2017","Agosto","Todas","Maranhão"
"30","Santa Helena",11,"2017","Agosto","Todas","Maranhão"
"31","Santa Inês",51,"2017","Agosto","Todas","Maranhão"
"32","Santo Antônio dos Lopes",4,"2017","Agosto","Todas","Maranhão"
"33","Senador La Roque",3,"2017","Agosto","Todas","Maranhão"
"34","Sucupira do Norte",1,"2017","Agosto","Todas","Maranhão"
"35","Fortuna",5,"2017","Agosto","Todas","Maranhão"
"36","Governador Edson Lobão",3,"2017","Agosto","Todas","Maranhão"
"37","Governador Newton Bello",4,"2017","Agosto","Todas","Maranhão"
"38","Governador Nunes Freire",14,"2017","Agosto","Todas","Maranhão"
"39","Grajaú",22,"2017","Agosto","Todas","Maranhão"
"40","Humberto de Campos",7,"2017","Agosto","Todas","Maranhão"
"41","Igarapé Grande",4,"2017","Agosto","Todas","Maranhão"
"42","Itaipava do Grajaú",2,"2017","Agosto","Todas","Maranhão"
"43","Itapecuru Mirim",14,"2017","Agosto","Todas","Maranhão"
"44","Itinga do Maranhão",3,"2017","Agosto","Todas","Maranhão"
"45","Junco do Maranhão",2,"2017","Agosto","Todas","Maranhão"
"46","Lago Verde",3,"2017","Agosto","Todas","Maranhão"
"47","Lago da Pedra",1,"2017","Agosto","Todas","Maranhão"
"48","Lagoa Grande do Maranhão",1,"2017","Agosto","Todas","Maranhão"
"49","Lagoa do Mato",3,"2017","Agosto","Todas","Maranhão"
"50","Maracaçumé",1,"2017","Agosto","Todas","Maranhão"
"51","Mata Roma",3,"2017","Agosto","Todas","Maranhão"
"52","Matões do Norte",2,"2017","Agosto","Todas","Maranhão"
"53","Mirador",3,"2017","Agosto","Todas","Maranhão"
"54","Miranda do Norte",10,"2017","Agosto","Todas","Maranhão"
"55","Alcântara",2,"2017","Agosto","Todas","Maranhão"
"56","Alto Parnaíba",4,"2017","Agosto","Todas","Maranhão"
"57","Amapá do Maranhão",5,"2017","Agosto","Todas","Maranhão"
"58","Arari",7,"2017","Agosto","Todas","Maranhão"
"59","Açailandia",22,"2017","Agosto","Todas","Maranhão"
"60","Bacabal",59,"2017","Agosto","Todas","Maranhão"
"61","Benedito Leite",2,"2017","Agosto","Todas","Maranhão"
"62","Bom Jesus das Selvas",7,"2017","Agosto","Todas","Maranhão"
"63","Bom Lugar",2,"2017","Agosto","Todas","Maranhão"
"64","Buriti",12,"2017","Agosto","Todas","Maranhão"
"65","Buritirana",4,"2017","Agosto","Todas","Maranhão"
"66","Cachoeira Grande",5,"2017","Agosto","Todas","Maranhão"
"67","Campestre do Maranhão",1,"2017","Agosto","Todas","Maranhão"
"68","Carolina",10,"2017","Agosto","Todas","Maranhão"
"69","Cidelândia",4,"2017","Agosto","Todas","Maranhão"
"70","Conceição do Lago-Açu",5,"2017","Agosto","Todas","Maranhão"
"71","Duque Bacelar",4,"2017","Agosto","Todas","Maranhão"
"72","Esperantinópolis",6,"2017","Agosto","Todas","Maranhão"
"73","Feira Nova do Maranhão",2,"2017","Agosto","Todas","Maranhão"
"74","Formosa da Serra Negra",3,"2017","Agosto","Todas","Maranhão"
