"","Cidade","Registros","Ano","Mês","Região","Estado"
"1","Umbuzeiro",4,"2017","Fevereiro","Todas","Paraíba"
"2","Vieirópolis",1,"2017","Fevereiro","Todas","Paraíba"
"3","Vista Serrana",1,"2017","Fevereiro","Todas","Paraíba"
"4","Água Branca",1,"2017","Fevereiro","Todas","Paraíba"
"5","Sousa",48,"2017","Fevereiro","Todas","Paraíba"
"6","São Bentinho",1,"2017","Fevereiro","Todas","Paraíba"
"7","São Bento",10,"2017","Fevereiro","Todas","Paraíba"
"8","São Domingos do Cariri",1,"2017","Fevereiro","Todas","Paraíba"
"9","São Francisco",2,"2017","Fevereiro","Todas","Paraíba"
"10","São José da Lagoa Tapada",3,"2017","Fevereiro","Todas","Paraíba"
"11","São José de Caiana",1,"2017","Fevereiro","Todas","Paraíba"
"12","São José de Espinharas",4,"2017","Fevereiro","Todas","Paraíba"
"13","São José de Piranhas",7,"2017","Fevereiro","Todas","Paraíba"
"14","São José de Princesa",1,"2017","Fevereiro","Todas","Paraíba"
"15","São José do Bonfim",1,"2017","Fevereiro","Todas","Paraíba"
"16","São João do Rio do Peixe",3,"2017","Fevereiro","Todas","Paraíba"
"17","São João do Tigre",3,"2017","Fevereiro","Todas","Paraíba"
"18","São Mamede",5,"2017","Fevereiro","Todas","Paraíba"
"19","São Miguel de Taipu",2,"2017","Fevereiro","Todas","Paraíba"
"20","São Sebastião de Lagoa de Roça",1,"2017","Fevereiro","Todas","Paraíba"
"21","Taperoá",5,"2017","Fevereiro","Todas","Paraíba"
"22","Tavares",3,"2017","Fevereiro","Todas","Paraíba"
"23","Tenório",1,"2017","Fevereiro","Todas","Paraíba"
"24","Triunfo",2,"2017","Fevereiro","Todas","Paraíba"
"25","Remígio",6,"2017","Fevereiro","Todas","Paraíba"
"26","Riachão do Poço",2,"2017","Fevereiro","Todas","Paraíba"
"27","Rio Tinto",5,"2017","Fevereiro","Todas","Paraíba"
"28","Salgado de São Félix",2,"2017","Fevereiro","Todas","Paraíba"
"29","Santa Helena",1,"2017","Fevereiro","Todas","Paraíba"
"30","Santa Inês",1,"2017","Fevereiro","Todas","Paraíba"
"31","Santa Luzia",7,"2017","Fevereiro","Todas","Paraíba"
"32","Santa Rita",38,"2017","Fevereiro","Todas","Paraíba"
"33","Santa Teresinha",1,"2017","Fevereiro","Todas","Paraíba"
"34","Santana dos Garrotes",2,"2017","Fevereiro","Todas","Paraíba"
"35","Santarém",1,"2017","Fevereiro","Todas","Paraíba"
"36","Santo André",2,"2017","Fevereiro","Todas","Paraíba"
"37","Sapé",27,"2017","Fevereiro","Todas","Paraíba"
"38","Seridó",1,"2017","Fevereiro","Todas","Paraíba"
"39","Serra Grande",1,"2017","Fevereiro","Todas","Paraíba"
"40","Serra da Raiz",1,"2017","Fevereiro","Todas","Paraíba"
"41","Sobrado",2,"2017","Fevereiro","Todas","Paraíba"
"42","Soledade",3,"2017","Fevereiro","Todas","Paraíba"
"43","Solânea",8,"2017","Fevereiro","Todas","Paraíba"
"44","Sossêgo",1,"2017","Fevereiro","Todas","Paraíba"
"45","Natuba",1,"2017","Fevereiro","Todas","Paraíba"
"46","Nova Olinda",4,"2017","Fevereiro","Todas","Paraíba"
"47","Olho D'água",2,"2017","Fevereiro","Todas","Paraíba"
"48","Passagem",1,"2017","Fevereiro","Todas","Paraíba"
"49","Patos",70,"2017","Fevereiro","Todas","Paraíba"
"50","Paulista",3,"2017","Fevereiro","Todas","Paraíba"
"51","Pedra Lavrada",3,"2017","Fevereiro","Todas","Paraíba"
"52","Pedro Régis",1,"2017","Fevereiro","Todas","Paraíba"
"53","Piancó",6,"2017","Fevereiro","Todas","Paraíba"
"54","Picuí",13,"2017","Fevereiro","Todas","Paraíba"
"55","Pilõezinhos",3,"2017","Fevereiro","Todas","Paraíba"
"56","Pirpirituba",2,"2017","Fevereiro","Todas","Paraíba"
"57","Pitimbu",4,"2017","Fevereiro","Todas","Paraíba"
