"","Cidade","Registros","Ano","Mês","Região","Estado"
"1","Tianguá",22,"2017","Janeiro","Todas","Ceará"
"2","Trairi",11,"2017","Janeiro","Todas","Ceará"
"3","Ubajara",3,"2017","Janeiro","Todas","Ceará"
"4","Várzea Alegre",15,"2017","Janeiro","Todas","Ceará"
"5","Pacatuba",9,"2017","Janeiro","Todas","Ceará"
"6","Palhano",2,"2017","Janeiro","Todas","Ceará"
"7","Palmácia",3,"2017","Janeiro","Todas","Ceará"
"8","Paracuru",9,"2017","Janeiro","Todas","Ceará"
"9","Paraipaba",10,"2017","Janeiro","Todas","Ceará"
"10","Pedra Branca",7,"2017","Janeiro","Todas","Ceará"
"11","Penaforte",7,"2017","Janeiro","Todas","Ceará"
"12","Piquet Carneiro",7,"2017","Janeiro","Todas","Ceará"
"13","Quixadá",36,"2017","Janeiro","Todas","Ceará"
"14","Quixeramobim",39,"2017","Janeiro","Todas","Ceará"
"15","Quixere",6,"2017","Janeiro","Todas","Ceará"
"16","Russas",27,"2017","Janeiro","Todas","Ceará"
"17","Salitre",5,"2017","Janeiro","Todas","Ceará"
"18","Santa Quitéria",7,"2017","Janeiro","Todas","Ceará"
"19","Senador Pompeu",1,"2017","Janeiro","Todas","Ceará"
"20","São Benedito",18,"2017","Janeiro","Todas","Ceará"
"21","São Gonçalo do Amarante",2,"2017","Janeiro","Todas","Ceará"
"22","São João do Jaguaribe",6,"2017","Janeiro","Todas","Ceará"
"23","Tabuleiro do Norte",9,"2017","Janeiro","Todas","Ceará"
"24","Tauá",26,"2017","Janeiro","Todas","Ceará"
"25","Ipaporanga",5,"2017","Janeiro","Todas","Ceará"
"26","Irauçuba",4,"2017","Janeiro","Todas","Ceará"
"27","Itapiúna",3,"2017","Janeiro","Todas","Ceará"
"28","Itarema",3,"2017","Janeiro","Todas","Ceará"
"29","Jaguaretama",5,"2017","Janeiro","Todas","Ceará"
"30","Jaguaribe",21,"2017","Janeiro","Todas","Ceará"
"31","Jati",3,"2017","Janeiro","Todas","Ceará"
"32","Juazeiro do Norte",139,"2017","Janeiro","Todas","Ceará"
"33","Lavras da Mangabeira",12,"2017","Janeiro","Todas","Ceará"
"34","Limoeiro do Norte",29,"2017","Janeiro","Todas","Ceará"
"35","Madalena",7,"2017","Janeiro","Todas","Ceará"
"36","Maracanau",98,"2017","Janeiro","Todas","Ceará"
"37","Maranguape",34,"2017","Janeiro","Todas","Ceará"
"38","Marco",7,"2017","Janeiro","Todas","Ceará"
"39","Morada Nova",23,"2017","Janeiro","Todas","Ceará"
"40","Mulungu",4,"2017","Janeiro","Todas","Ceará"
"41","Nova Russas",13,"2017","Janeiro","Todas","Ceará"
"42","Novo Oriente",6,"2017","Janeiro","Todas","Ceará"
"43","Ocara",11,"2017","Janeiro","Todas","Ceará"
"44","Orós",1,"2017","Janeiro","Todas","Ceará"
"45","Acaraú",4,"2017","Janeiro","Todas","Ceará"
"46","Araripe",8,"2017","Janeiro","Todas","Ceará"
"47","Aratuba",5,"2017","Janeiro","Todas","Ceará"
"48","Barbalha",98,"2017","Janeiro","Todas","Ceará"
"49","Beberibe",20,"2017","Janeiro","Todas","Ceará"
"50","Bela Cruz",1,"2017","Janeiro","Todas","Ceará"
"51","Campos Sales",8,"2017","Janeiro","Todas","Ceará"
"52","Capistrano",5,"2017","Janeiro","Todas","Ceará"
"53","Carnaubal",7,"2017","Janeiro","Todas","Ceará"
"54","Caucaia",22,"2017","Janeiro","Todas","Ceará"
"55","Coreaú",2,"2017","Janeiro","Todas","Ceará"
"56","Crato",53,"2017","Janeiro","Todas","Ceará"
"57","Cruz",2,"2017","Janeiro","Todas","Ceará"
"58","Fortaleza",1670,"2017","Janeiro","Todas","Ceará"
"59","Granja",1,"2017","Janeiro","Todas","Ceará"
"60","Guaramiranga",1,"2017","Janeiro","Todas","Ceará"
"61","Hidrolândia",14,"2017","Janeiro","Todas","Ceará"
"62","Horizonte",18,"2017","Janeiro","Todas","Ceará"
"63","Ibiapina",18,"2017","Janeiro","Todas","Ceará"
"64","Iguatu",63,"2017","Janeiro","Todas","Ceará"
