"","Cidade","Registros","Ano","Mês","Região","Estado"
"1","São José de Princesa",2,"2017","Julho","Todas","Paraíba"
"2","São José do Bonfim",1,"2017","Julho","Todas","Paraíba"
"3","São José do Sabugi",1,"2017","Julho","Todas","Paraíba"
"4","São José dos Ramos",1,"2017","Julho","Todas","Paraíba"
"5","São João do Cariri",3,"2017","Julho","Todas","Paraíba"
"6","São João do Rio do Peixe",4,"2017","Julho","Todas","Paraíba"
"7","São João do Tigre",1,"2017","Julho","Todas","Paraíba"
"8","São Mamede",8,"2017","Julho","Todas","Paraíba"
"9","São Miguel de Taipu",3,"2017","Julho","Todas","Paraíba"
"10","São Sebastião de Lagoa de Roça",7,"2017","Julho","Todas","Paraíba"
"11","Taperoá",12,"2017","Julho","Todas","Paraíba"
"12","Tavares",6,"2017","Julho","Todas","Paraíba"
"13","Triunfo",2,"2017","Julho","Todas","Paraíba"
"14","Vieirópolis",3,"2017","Julho","Todas","Paraíba"
"15","Vista Serrana",2,"2017","Julho","Todas","Paraíba"
"16","Várzea",1,"2017","Julho","Todas","Paraíba"
"17","Zabelê",2,"2017","Julho","Todas","Paraíba"
"18","Água Branca",4,"2017","Julho","Todas","Paraíba"
"19","Santo André",1,"2017","Julho","Todas","Paraíba"
"20","Sapé",28,"2017","Julho","Todas","Paraíba"
"21","Seridó",2,"2017","Julho","Todas","Paraíba"
"22","Serra Grande",2,"2017","Julho","Todas","Paraíba"
"23","Serraria",2,"2017","Julho","Todas","Paraíba"
"24","Sertãozinho",3,"2017","Julho","Todas","Paraíba"
"25","Sobrado",1,"2017","Julho","Todas","Paraíba"
"26","Soledade",5,"2017","Julho","Todas","Paraíba"
"27","Solânea",5,"2017","Julho","Todas","Paraíba"
"28","Sossêgo",2,"2017","Julho","Todas","Paraíba"
"29","Sousa",55,"2017","Julho","Todas","Paraíba"
"30","São Bentinho",2,"2017","Julho","Todas","Paraíba"
"31","São Bento",12,"2017","Julho","Todas","Paraíba"
"32","São Domingos",1,"2017","Julho","Todas","Paraíba"
