"","Cidade","Registros","Ano","Mês","Região","Estado"
"1","São José dos Quatro Marcos",3,"2017","Maio","Todas","Mato Grosso"
"2","Tabaporã",2,"2017","Maio","Todas","Mato Grosso"
"3","Tangará da Serra",56,"2017","Maio","Todas","Mato Grosso"
"4","Tapurah",2,"2017","Maio","Todas","Mato Grosso"
"5","Terra Nova do Norte",5,"2017","Maio","Todas","Mato Grosso"
"6","Torixoréu",2,"2017","Maio","Todas","Mato Grosso"
"7","Varzea Grande",27,"2017","Maio","Todas","Mato Grosso"
"8","Vera",2,"2017","Maio","Todas","Mato Grosso"
"9","Vila Bela da Santíssima Trindade",1,"2017","Maio","Todas","Mato Grosso"
"10","Vila Rica",7,"2017","Maio","Todas","Mato Grosso"
"11","Água Boa",9,"2017","Maio","Todas","Mato Grosso"
"12","Paranaíta",2,"2017","Maio","Todas","Mato Grosso"
"13","Pedra Preta",8,"2017","Maio","Todas","Mato Grosso"
"14","Peixoto de Azevedo",10,"2017","Maio","Todas","Mato Grosso"
"15","Pontes e Lacerda",23,"2017","Maio","Todas","Mato Grosso"
"16","Porto Alegre do Norte",1,"2017","Maio","Todas","Mato Grosso"
"17","Poxoréo",1,"2017","Maio","Todas","Mato Grosso"
"18","Primavera do Leste",25,"2017","Maio","Todas","Mato Grosso"
"19","Querência",5,"2017","Maio","Todas","Mato Grosso"
"20","Ribeirão Cascalheira",3,"2017","Maio","Todas","Mato Grosso"
"21","Rio Branco",2,"2017","Maio","Todas","Mato Grosso"
"22","Rondonópolis",139,"2017","Maio","Todas","Mato Grosso"
"23","Rosário Oeste",8,"2017","Maio","Todas","Mato Grosso"
"24","Santa Terezinha",3,"2017","Maio","Todas","Mato Grosso"
"25","Santo Afonso",2,"2017","Maio","Todas","Mato Grosso"
"26","Santo Antônio do Leverger",1,"2017","Maio","Todas","Mato Grosso"
"27","Sapezal",4,"2017","Maio","Todas","Mato Grosso"
"28","Sinop",64,"2017","Maio","Todas","Mato Grosso"
"29","Sorriso",50,"2017","Maio","Todas","Mato Grosso"
"30","São Félix do Araguaia",6,"2017","Maio","Todas","Mato Grosso"
"31","São José do Povo",1,"2017","Maio","Todas","Mato Grosso"
"32","Juruena",1,"2017","Maio","Todas","Mato Grosso"
"33","Juscimeira",4,"2017","Maio","Todas","Mato Grosso"
"34","Juína",28,"2017","Maio","Todas","Mato Grosso"
"35","Lucas do Rio Verde",25,"2017","Maio","Todas","Mato Grosso"
"36","Luciára",2,"2017","Maio","Todas","Mato Grosso"
"37","Marcelândia",10,"2017","Maio","Todas","Mato Grosso"
"38","Matupá",5,"2017","Maio","Todas","Mato Grosso"
