"","Cidade","Registros","Ano","Mês","Região","Estado"
"1","Acrelândia",1,"2017","Outubro","Todas","Acre"
"2","Brasiléia",14,"2017","Outubro","Todas","Acre"
"3","Bujari",1,"2017","Outubro","Todas","Acre"
"4","Capixaba",4,"2017","Outubro","Todas","Acre"
"5","Cruzeiro do Sul",41,"2017","Outubro","Todas","Acre"
"6","Epitaciolândia",2,"2017","Outubro","Todas","Acre"
"7","Feijó",6,"2017","Outubro","Todas","Acre"
"8","Manoel Urbano",1,"2017","Outubro","Todas","Acre"
"9","Mâncio Lima",2,"2017","Outubro","Todas","Acre"
"10","Plácido de Castro",2,"2017","Outubro","Todas","Acre"
"11","Porto Acre",7,"2017","Outubro","Todas","Acre"
"12","Rio Branco",168,"2017","Outubro","Todas","Acre"
"13","Rodrigues Alves",2,"2017","Outubro","Todas","Acre"
"14","Sena Madureira",8,"2017","Outubro","Todas","Acre"
"15","Senador Guiomard",5,"2017","Outubro","Todas","Acre"
"16","Tarauacá",10,"2017","Outubro","Todas","Acre"
"17","Xapuri",3,"2017","Outubro","Todas","Acre"
