"","Cidade","Registros","Ano","Mês","Região","Estado"
"1","Paranaiba",9,"2017","Setembro","Todas","Mato Grosso do Sul"
"2","Paraíso das Águas",1,"2017","Setembro","Todas","Mato Grosso do Sul"
"3","Ponta Porã",23,"2017","Setembro","Todas","Mato Grosso do Sul"
"4","Ribas do Rio Pardo",2,"2017","Setembro","Todas","Mato Grosso do Sul"
"5","Rio Brilhante",10,"2017","Setembro","Todas","Mato Grosso do Sul"
"6","Rio Negro",1,"2017","Setembro","Todas","Mato Grosso do Sul"
"7","Rochedo",3,"2017","Setembro","Todas","Mato Grosso do Sul"
"8","Santa Rita do Pardo",1,"2017","Setembro","Todas","Mato Grosso do Sul"
"9","Sidrolândia",10,"2017","Setembro","Todas","Mato Grosso do Sul"
"10","Sonora",3,"2017","Setembro","Todas","Mato Grosso do Sul"
"11","São Gabriel do Oeste",7,"2017","Setembro","Todas","Mato Grosso do Sul"
"12","Terenos",1,"2017","Setembro","Todas","Mato Grosso do Sul"
"13","Três Lagoas",78,"2017","Setembro","Todas","Mato Grosso do Sul"
"14","Água Clara",5,"2017","Setembro","Todas","Mato Grosso do Sul"
"15","Deodápolis",13,"2017","Setembro","Todas","Mato Grosso do Sul"
"16","Dois Irmãos do Buriti",2,"2017","Setembro","Todas","Mato Grosso do Sul"
"17","Dourados",155,"2017","Setembro","Todas","Mato Grosso do Sul"
"18","Eldorado",1,"2017","Setembro","Todas","Mato Grosso do Sul"
"19","Figueirão",2,"2017","Setembro","Todas","Mato Grosso do Sul"
"20","Glória de Dourados",1,"2017","Setembro","Todas","Mato Grosso do Sul"
"21","Guia Lopes da Laguna",4,"2017","Setembro","Todas","Mato Grosso do Sul"
"22","Iguatemi",1,"2017","Setembro","Todas","Mato Grosso do Sul"
"23","Itaporã",6,"2017","Setembro","Todas","Mato Grosso do Sul"
"24","Itaquiraí",6,"2017","Setembro","Todas","Mato Grosso do Sul"
"25","Ivinhema",10,"2017","Setembro","Todas","Mato Grosso do Sul"
"26","Japorã",2,"2017","Setembro","Todas","Mato Grosso do Sul"
"27","Jardim",13,"2017","Setembro","Todas","Mato Grosso do Sul"
"28","Laguna Carapã",2,"2017","Setembro","Todas","Mato Grosso do Sul"
"29","Miranda",8,"2017","Setembro","Todas","Mato Grosso do Sul"
"30","Mundo Novo",10,"2017","Setembro","Todas","Mato Grosso do Sul"
"31","Naviraí",20,"2017","Setembro","Todas","Mato Grosso do Sul"
"32","Nioaque",3,"2017","Setembro","Todas","Mato Grosso do Sul"
"33","Nova Alvorada do Sul",8,"2017","Setembro","Todas","Mato Grosso do Sul"
"34","Novo Horizonte do Sul",2,"2017","Setembro","Todas","Mato Grosso do Sul"
"35","Amambaí",12,"2017","Setembro","Todas","Mato Grosso do Sul"
"36","Anastácio",6,"2017","Setembro","Todas","Mato Grosso do Sul"
"37","Antônio João",4,"2017","Setembro","Todas","Mato Grosso do Sul"
"38","Aparecida do Taboado",5,"2017","Setembro","Todas","Mato Grosso do Sul"
"39","Aquidauana",41,"2017","Setembro","Todas","Mato Grosso do Sul"
"40","Aral Moreira",4,"2017","Setembro","Todas","Mato Grosso do Sul"
"41","Batayporã",2,"2017","Setembro","Todas","Mato Grosso do Sul"
"42","Bela Vista",5,"2017","Setembro","Todas","Mato Grosso do Sul"
"43","Bodoquena",6,"2017","Setembro","Todas","Mato Grosso do Sul"
"44","Bonito",8,"2017","Setembro","Todas","Mato Grosso do Sul"
"45","Brasilândia",3,"2017","Setembro","Todas","Mato Grosso do Sul"
"46","Caarapo",15,"2017","Setembro","Todas","Mato Grosso do Sul"
"47","Camapuã",9,"2017","Setembro","Todas","Mato Grosso do Sul"
"48","Campo Grande",576,"2017","Setembro","Todas","Mato Grosso do Sul"
"49","Cassilândia",7,"2017","Setembro","Todas","Mato Grosso do Sul"
"50","Chapadão do Sul",3,"2017","Setembro","Todas","Mato Grosso do Sul"
"51","Corguinho",2,"2017","Setembro","Todas","Mato Grosso do Sul"
"52","Corumba",57,"2017","Setembro","Todas","Mato Grosso do Sul"
"53","Costa Rica",4,"2017","Setembro","Todas","Mato Grosso do Sul"
"54","Coxim",15,"2017","Setembro","Todas","Mato Grosso do Sul"
