"","Cidade","Registros","Ano","Mês","Região","Estado"
"1","Santa Teresa",11,"2018","Abril","Todas","Espírito Santo"
"2","Serra",231,"2018","Abril","Todas","Espírito Santo"
"3","Sooretama",11,"2018","Abril","Todas","Espírito Santo"
"4","São Domingos do Norte",5,"2018","Abril","Todas","Espírito Santo"
"5","São Gabriel da Palha",17,"2018","Abril","Todas","Espírito Santo"
"6","São José do Calçado",7,"2018","Abril","Todas","Espírito Santo"
"7","São Mateus",67,"2018","Abril","Todas","Espírito Santo"
"8","São Roque do Canaã",5,"2018","Abril","Todas","Espírito Santo"
"9","Vargem Alta",12,"2018","Abril","Todas","Espírito Santo"
"10","Venda Nova do Imigrante",18,"2018","Abril","Todas","Espírito Santo"
"11","Viana",29,"2018","Abril","Todas","Espírito Santo"
"12","Vila Pavão",2,"2018","Abril","Todas","Espírito Santo"
"13","Vila Valério",6,"2018","Abril","Todas","Espírito Santo"
"14","Vila Velha",244,"2018","Abril","Todas","Espírito Santo"
"15","Vitória",197,"2018","Abril","Todas","Espírito Santo"
"16","Água Doce do Norte",6,"2018","Abril","Todas","Espírito Santo"
"17","Águia Branca",7,"2018","Abril","Todas","Espírito Santo"
"18","Mantenópolis",12,"2018","Abril","Todas","Espírito Santo"
"19","Marataízes",9,"2018","Abril","Todas","Espírito Santo"
"20","Marechal Floriano",10,"2018","Abril","Todas","Espírito Santo"
"21","Marilândia",4,"2018","Abril","Todas","Espírito Santo"
"22","Mimoso do Sul",16,"2018","Abril","Todas","Espírito Santo"
"23","Montanha",15,"2018","Abril","Todas","Espírito Santo"
"24","Mucurici",4,"2018","Abril","Todas","Espírito Santo"
"25","Muniz Freire",8,"2018","Abril","Todas","Espírito Santo"
"26","Muqui",5,"2018","Abril","Todas","Espírito Santo"
"27","Nova Venécia",32,"2018","Abril","Todas","Espírito Santo"
"28","Pancas",13,"2018","Abril","Todas","Espírito Santo"
"29","Pedro Canário",8,"2018","Abril","Todas","Espírito Santo"
"30","Pinheiros",21,"2018","Abril","Todas","Espírito Santo"
"31","Piuma",8,"2018","Abril","Todas","Espírito Santo"
"32","Ponto Belo",2,"2018","Abril","Todas","Espírito Santo"
"33","Presidente Kennedy",1,"2018","Abril","Todas","Espírito Santo"
"34","Rio Bananal",6,"2018","Abril","Todas","Espírito Santo"
"35","Rio Novo do Sul",7,"2018","Abril","Todas","Espírito Santo"
"36","Santa Leopoldina",5,"2018","Abril","Todas","Espírito Santo"
"37","Santa Maria de Jetiba",22,"2018","Abril","Todas","Espírito Santo"
"38","Domingos Martins",21,"2018","Abril","Todas","Espírito Santo"
"39","Ecoporanga",12,"2018","Abril","Todas","Espírito Santo"
"40","Fundão",8,"2018","Abril","Todas","Espírito Santo"
"41","Governador Lindenberg",5,"2018","Abril","Todas","Espírito Santo"
"42","Guarapari",53,"2018","Abril","Todas","Espírito Santo"
"43","Guaçuí",24,"2018","Abril","Todas","Espírito Santo"
"44","Ibatiba",13,"2018","Abril","Todas","Espírito Santo"
"45","Ibiraçu",4,"2018","Abril","Todas","Espírito Santo"
"46","Ibitirama",4,"2018","Abril","Todas","Espírito Santo"
"47","Iconha",5,"2018","Abril","Todas","Espírito Santo"
"48","Irupi",4,"2018","Abril","Todas","Espírito Santo"
"49","Itaguaçu",8,"2018","Abril","Todas","Espírito Santo"
"50","Itapemirim",20,"2018","Abril","Todas","Espírito Santo"
"51","Itarana",9,"2018","Abril","Todas","Espírito Santo"
"52","Iúna",9,"2018","Abril","Todas","Espírito Santo"
"53","Jaguaré",9,"2018","Abril","Todas","Espírito Santo"
"54","Jerônimo Monteiro",8,"2018","Abril","Todas","Espírito Santo"
"55","João Neiva",7,"2018","Abril","Todas","Espírito Santo"
"56","Laranja da Terra",9,"2018","Abril","Todas","Espírito Santo"
"57","Linhares",69,"2018","Abril","Todas","Espírito Santo"
"58","Afonso Claudio",13,"2018","Abril","Todas","Espírito Santo"
"59","Alegre",18,"2018","Abril","Todas","Espírito Santo"
"60","Alfredo Chaves",9,"2018","Abril","Todas","Espírito Santo"
"61","Alto Rio Novo",2,"2018","Abril","Todas","Espírito Santo"
"62","Anchieta",13,"2018","Abril","Todas","Espírito Santo"
"63","Apiacá",5,"2018","Abril","Todas","Espírito Santo"
"64","Aracruz",43,"2018","Abril","Todas","Espírito Santo"
"65","Atilio Vivacqua",6,"2018","Abril","Todas","Espírito Santo"
"66","Baixo Guandu",20,"2018","Abril","Todas","Espírito Santo"
"67","Barra de São Francisco",27,"2018","Abril","Todas","Espírito Santo"
"68","Boa Esperança",7,"2018","Abril","Todas","Espírito Santo"
"69","Bom Jesus do Norte",3,"2018","Abril","Todas","Espírito Santo"
"70","Brejetuba",6,"2018","Abril","Todas","Espírito Santo"
"71","Cachoeiro de Itapemirim",121,"2018","Abril","Todas","Espírito Santo"
"72","Cariacica",160,"2018","Abril","Todas","Espírito Santo"
"73","Castelo",12,"2018","Abril","Todas","Espírito Santo"
"74","Colatina",69,"2018","Abril","Todas","Espírito Santo"
"75","Conceição da Barra",12,"2018","Abril","Todas","Espírito Santo"
"76","Conceição do Castelo",5,"2018","Abril","Todas","Espírito Santo"
"77","Divino de São Lourenço",1,"2018","Abril","Todas","Espírito Santo"
