"","Cidade","Registros","Ano","Mês","Região","Estado"
"1","Brasília",219,"2018","Agosto","Todas","Distrito Federal"
"2","Brazlândia",22,"2018","Agosto","Todas","Distrito Federal"
"3","Ceilandia",240,"2018","Agosto","Todas","Distrito Federal"
"4","Gama",138,"2018","Agosto","Todas","Distrito Federal"
"5","Guará",180,"2018","Agosto","Todas","Distrito Federal"
"6","Núcleo Bandeirantes",151,"2018","Agosto","Todas","Distrito Federal"
"7","Paranoá",49,"2018","Agosto","Todas","Distrito Federal"
"8","Planaltina",38,"2018","Agosto","Todas","Distrito Federal"
"9","Samambaia",48,"2018","Agosto","Todas","Distrito Federal"
"10","Sobradinho",38,"2018","Agosto","Todas","Distrito Federal"
"11","Taguatinga",144,"2018","Agosto","Todas","Distrito Federal"
