"","Cidade","Registros","Ano","Mês","Região","Estado"
"1","Tucumã",10,"2018","Agosto","Todas","Pará"
"2","Tucurui",41,"2018","Agosto","Todas","Pará"
"3","Ulianópolis",4,"2018","Agosto","Todas","Pará"
"4","Uruará",19,"2018","Agosto","Todas","Pará"
"5","Vigia",17,"2018","Agosto","Todas","Pará"
"6","Viseu",5,"2018","Agosto","Todas","Pará"
"7","Vitória do Xingu",4,"2018","Agosto","Todas","Pará"
"8","Xinguara",18,"2018","Agosto","Todas","Pará"
"9","Redenção",49,"2018","Agosto","Todas","Pará"
"10","Rio Maria",8,"2018","Agosto","Todas","Pará"
"11","Rondon do Pará",16,"2018","Agosto","Todas","Pará"
"12","Rurópolis",10,"2018","Agosto","Todas","Pará"
"13","Salinópolis",5,"2018","Agosto","Todas","Pará"
"14","Santa Bárbara do Pará",7,"2018","Agosto","Todas","Pará"
"15","Santa Luzia do Pará",5,"2018","Agosto","Todas","Pará"
"16","Santa Maria das Barreiras",5,"2018","Agosto","Todas","Pará"
"17","Santana do Araguaia",7,"2018","Agosto","Todas","Pará"
"18","Santarem",156,"2018","Agosto","Todas","Pará"
"19","Santarém Novo",1,"2018","Agosto","Todas","Pará"
"20","São Domingos do Araguaia",11,"2018","Agosto","Todas","Pará"
"21","São Domingos do Capim",3,"2018","Agosto","Todas","Pará"
"22","São Francisco do Pará",5,"2018","Agosto","Todas","Pará"
"23","São Félix do Xingu",13,"2018","Agosto","Todas","Pará"
"24","São Geraldo do Araguaia",14,"2018","Agosto","Todas","Pará"
"25","São João do Araguaia",6,"2018","Agosto","Todas","Pará"
"26","Tailandia",19,"2018","Agosto","Todas","Pará"
"27","Terra Alta",7,"2018","Agosto","Todas","Pará"
"28","Tracuateua",6,"2018","Agosto","Todas","Pará"
"29","Itaituba",39,"2018","Agosto","Todas","Pará"
"30","Limoeiro do Ajuru",5,"2018","Agosto","Todas","Pará"
"31","Maraba",7,"2018","Agosto","Todas","Pará"
"32","Maracanã",1,"2018","Agosto","Todas","Pará"
"33","Marapanim",14,"2018","Agosto","Todas","Pará"
"34","Marituba",27,"2018","Agosto","Todas","Pará"
"35","Monte Alegre",16,"2018","Agosto","Todas","Pará"
"36","Mãe do Rio",13,"2018","Agosto","Todas","Pará"
"37","Nova Esperança do Piriá",6,"2018","Agosto","Todas","Pará"
"38","Novo Progresso",9,"2018","Agosto","Todas","Pará"
"39","Novo Repartimento",14,"2018","Agosto","Todas","Pará"
"40","Obidos",1,"2018","Agosto","Todas","Pará"
"41","Ourilândia do Norte",10,"2018","Agosto","Todas","Pará"
"42","Pacajá",16,"2018","Agosto","Todas","Pará"
"43","Palestina do Pará",6,"2018","Agosto","Todas","Pará"
"44","Paragominas",63,"2018","Agosto","Todas","Pará"
"45","Parauapebas",41,"2018","Agosto","Todas","Pará"
"46","Placas",4,"2018","Agosto","Todas","Pará"
"47","Portel",11,"2018","Agosto","Todas","Pará"
"48","Prainha",7,"2018","Agosto","Todas","Pará"
"49","Abaetetuba",38,"2018","Agosto","Todas","Pará"
"50","Altamira",44,"2018","Agosto","Todas","Pará"
"51","Ananindeua",43,"2018","Agosto","Todas","Pará"
"52","Anapu",7,"2018","Agosto","Todas","Pará"
"53","Bagre",2,"2018","Agosto","Todas","Pará"
"54","Barcarena",21,"2018","Agosto","Todas","Pará"
"55","Belém",582,"2018","Agosto","Todas","Pará"
"56","Benevides",3,"2018","Agosto","Todas","Pará"
"57","Bonito",1,"2018","Agosto","Todas","Pará"
"58","Breves",29,"2018","Agosto","Todas","Pará"
"59","Cachoeira do Piriá",6,"2018","Agosto","Todas","Pará"
"60","Cametá",19,"2018","Agosto","Todas","Pará"
"61","Canaã dos Carajás",9,"2018","Agosto","Todas","Pará"
"62","Capitão Poço",20,"2018","Agosto","Todas","Pará"
"63","Conceição do Araguaia",19,"2018","Agosto","Todas","Pará"
"64","Dom Eliseu",8,"2018","Agosto","Todas","Pará"
"65","Eldorado dos Carajás",12,"2018","Agosto","Todas","Pará"
"66","Floresta do Araguaia",8,"2018","Agosto","Todas","Pará"
"67","Igarapé-Açu",2,"2018","Agosto","Todas","Pará"
"68","Ipixuna do Para",7,"2018","Agosto","Todas","Pará"
