"","Cidade","Registros","Ano","Mês","Região","Estado"
"1","Regeneração",5,"2018","Fevereiro","Todas","Piauí"
"2","Rio Grande do Piauí",4,"2018","Fevereiro","Todas","Piauí"
"3","Santa Cruz do Piauí",3,"2018","Fevereiro","Todas","Piauí"
"4","Santa Filomena",2,"2018","Fevereiro","Todas","Piauí"
"5","Santa Luz",4,"2018","Fevereiro","Todas","Piauí"
"6","Simões",9,"2018","Fevereiro","Todas","Piauí"
"7","Socorro do Piauí",3,"2018","Fevereiro","Todas","Piauí"
"8","São Francisco do Piauí",2,"2018","Fevereiro","Todas","Piauí"
"9","São Félix do Piauí",3,"2018","Fevereiro","Todas","Piauí"
"10","São Gonçalo do Piauí",1,"2018","Fevereiro","Todas","Piauí"
"11","São José do Piauí",1,"2018","Fevereiro","Todas","Piauí"
"12","São Julião",3,"2018","Fevereiro","Todas","Piauí"
"13","São Raimundo Nonato",38,"2018","Fevereiro","Todas","Piauí"
"14","Teresina",334,"2018","Fevereiro","Todas","Piauí"
"15","União",13,"2018","Fevereiro","Todas","Piauí"
"16","Uruçuí",2,"2018","Fevereiro","Todas","Piauí"
"17","Valença do Piauí",17,"2018","Fevereiro","Todas","Piauí"
"18","Água Branca",6,"2018","Fevereiro","Todas","Piauí"
"19","Francinópolis",1,"2018","Fevereiro","Todas","Piauí"
"20","Francisco Ayres",3,"2018","Fevereiro","Todas","Piauí"
"21","Fronteiras",3,"2018","Fevereiro","Todas","Piauí"
"22","Inhuma",2,"2018","Fevereiro","Todas","Piauí"
"23","Jaicós",14,"2018","Fevereiro","Todas","Piauí"
"24","Jerumenha",4,"2018","Fevereiro","Todas","Piauí"
"25","Luzilândia",16,"2018","Fevereiro","Todas","Piauí"
"26","Manoel Emídio",1,"2018","Fevereiro","Todas","Piauí"
"27","Marcos Parente",2,"2018","Fevereiro","Todas","Piauí"
"28","Matias Olímpio",3,"2018","Fevereiro","Todas","Piauí"
"29","Monsenhor Gil",4,"2018","Fevereiro","Todas","Piauí"
"30","Monsenhor Hipólito",2,"2018","Fevereiro","Todas","Piauí"
"31","Oeiras",38,"2018","Fevereiro","Todas","Piauí"
"32","Palmeirais",4,"2018","Fevereiro","Todas","Piauí"
"33","Parnaguá",3,"2018","Fevereiro","Todas","Piauí"
"34","Paulistana",17,"2018","Fevereiro","Todas","Piauí"
"35","Picos",25,"2018","Fevereiro","Todas","Piauí"
"36","Piripiri",42,"2018","Fevereiro","Todas","Piauí"
"37","Porto",7,"2018","Fevereiro","Todas","Piauí"
"38","Prata do Piauí",2,"2018","Fevereiro","Todas","Piauí"
"39","Alagoinha do Piauí",5,"2018","Fevereiro","Todas","Piauí"
"40","Alto Longá",5,"2018","Fevereiro","Todas","Piauí"
"41","Altos",22,"2018","Fevereiro","Todas","Piauí"
"42","Antônio Almeida",1,"2018","Fevereiro","Todas","Piauí"
"43","Anísio de Abreu",5,"2018","Fevereiro","Todas","Piauí"
"44","Barras",19,"2018","Fevereiro","Todas","Piauí"
"45","Bertolínia",2,"2018","Fevereiro","Todas","Piauí"
"46","Bocaina",4,"2018","Fevereiro","Todas","Piauí"
"47","Buriti dos Lopes",7,"2018","Fevereiro","Todas","Piauí"
"48","Cabeceiras do Piauí",2,"2018","Fevereiro","Todas","Piauí"
"49","Campo Maior",23,"2018","Fevereiro","Todas","Piauí"
"50","Canto do Buriti",14,"2018","Fevereiro","Todas","Piauí"
"51","Caracol",5,"2018","Fevereiro","Todas","Piauí"
"52","Castelo do Piauí",13,"2018","Fevereiro","Todas","Piauí"
"53","Cocal",11,"2018","Fevereiro","Todas","Piauí"
"54","Conceição do Canindé",1,"2018","Fevereiro","Todas","Piauí"
"55","Curimatá",5,"2018","Fevereiro","Todas","Piauí"
"56","Demerval Lobão",9,"2018","Fevereiro","Todas","Piauí"
"57","Flores do Piauí",2,"2018","Fevereiro","Todas","Piauí"
"58","Floriano",57,"2018","Fevereiro","Todas","Piauí"
