"","Cidade","Registros","Ano","Mês","Região","Estado"
"1","Pedrinhas",4,"2018","Fevereiro","Todas","Sergipe"
"2","Pirambu",2,"2018","Fevereiro","Todas","Sergipe"
"3","Porto da Folha",8,"2018","Fevereiro","Todas","Sergipe"
"4","Poço Redondo",2,"2018","Fevereiro","Todas","Sergipe"
"5","Poço Verde",7,"2018","Fevereiro","Todas","Sergipe"
"6","Propriá",20,"2018","Fevereiro","Todas","Sergipe"
"7","Riachão do Dantas",5,"2018","Fevereiro","Todas","Sergipe"
"8","Ribeirópolis",6,"2018","Fevereiro","Todas","Sergipe"
"9","Rosario do Catete",4,"2018","Fevereiro","Todas","Sergipe"
"10","Salgado",2,"2018","Fevereiro","Todas","Sergipe"
"11","Santa Luzia do Itanhy",4,"2018","Fevereiro","Todas","Sergipe"
"12","Santa Rosa de Lima",2,"2018","Fevereiro","Todas","Sergipe"
"13","Santana do São Francisco",1,"2018","Fevereiro","Todas","Sergipe"
"14","Simão Dias",12,"2018","Fevereiro","Todas","Sergipe"
"15","São Cristóvão",17,"2018","Fevereiro","Todas","Sergipe"
"16","São Domingos",4,"2018","Fevereiro","Todas","Sergipe"
"17","São Miguel do Aleixo",3,"2018","Fevereiro","Todas","Sergipe"
"18","Tobias Barreto",19,"2018","Fevereiro","Todas","Sergipe"
"19","Umbaúba",1,"2018","Fevereiro","Todas","Sergipe"
"20","Indiaroba",4,"2018","Fevereiro","Todas","Sergipe"
"21","Itabaiana",52,"2018","Fevereiro","Todas","Sergipe"
"22","Itabaianinha",10,"2018","Fevereiro","Todas","Sergipe"
"23","Itaporanga D'ajuda",6,"2018","Fevereiro","Todas","Sergipe"
"24","Japaratuba",5,"2018","Fevereiro","Todas","Sergipe"
"25","Japoatã",5,"2018","Fevereiro","Todas","Sergipe"
"26","Lagarto",39,"2018","Fevereiro","Todas","Sergipe"
"27","Laranjeiras",7,"2018","Fevereiro","Todas","Sergipe"
"28","Macambira",1,"2018","Fevereiro","Todas","Sergipe"
"29","Malhador",3,"2018","Fevereiro","Todas","Sergipe"
"30","Maruim",5,"2018","Fevereiro","Todas","Sergipe"
"31","Moita Bonita",7,"2018","Fevereiro","Todas","Sergipe"
"32","Monte Alegre de Sergipe",5,"2018","Fevereiro","Todas","Sergipe"
"33","Muribeca",2,"2018","Fevereiro","Todas","Sergipe"
"34","Neópolis",17,"2018","Fevereiro","Todas","Sergipe"
"35","Nossa Senhora Aparecida",5,"2018","Fevereiro","Todas","Sergipe"
"36","Nossa Senhora da Glória",20,"2018","Fevereiro","Todas","Sergipe"
"37","Nossa Senhora das Dores",13,"2018","Fevereiro","Todas","Sergipe"
"38","Nossa Senhora do Socorro",1,"2018","Fevereiro","Todas","Sergipe"
"39","Pedra Mole",2,"2018","Fevereiro","Todas","Sergipe"
"40","Aquidabã",6,"2018","Fevereiro","Todas","Sergipe"
"41","Aracaju",371,"2018","Fevereiro","Todas","Sergipe"
"42","Arauá",3,"2018","Fevereiro","Todas","Sergipe"
"43","Areia Branca",4,"2018","Fevereiro","Todas","Sergipe"
"44","Barra dos Coqueiros",10,"2018","Fevereiro","Todas","Sergipe"
"45","Boquim",8,"2018","Fevereiro","Todas","Sergipe"
"46","Brejo Grande",3,"2018","Fevereiro","Todas","Sergipe"
"47","Canhoba",1,"2018","Fevereiro","Todas","Sergipe"
"48","Canindé de São Francisco",5,"2018","Fevereiro","Todas","Sergipe"
"49","Capela",15,"2018","Fevereiro","Todas","Sergipe"
"50","Carira",11,"2018","Fevereiro","Todas","Sergipe"
"51","Carmopolis",4,"2018","Fevereiro","Todas","Sergipe"
"52","Cedro de São João",4,"2018","Fevereiro","Todas","Sergipe"
"53","Cumbe",1,"2018","Fevereiro","Todas","Sergipe"
"54","Divina Pastora",1,"2018","Fevereiro","Todas","Sergipe"
"55","Estância",30,"2018","Fevereiro","Todas","Sergipe"
"56","Frei Paulo",4,"2018","Fevereiro","Todas","Sergipe"
"57","Gararu",6,"2018","Fevereiro","Todas","Sergipe"
"58","General Maynard",3,"2018","Fevereiro","Todas","Sergipe"
"59","Ilha das Flores",4,"2018","Fevereiro","Todas","Sergipe"
