"","Cidade","Registros","Ano","Mês","Região","Estado"
"1","Tauá",19,"2018","Julho","Todas","Ceará"
"2","Tianguá",9,"2018","Julho","Todas","Ceará"
"3","Trairi",14,"2018","Julho","Todas","Ceará"
"4","Tururu",7,"2018","Julho","Todas","Ceará"
"5","Ubajara",17,"2018","Julho","Todas","Ceará"
"6","Viçosa do Ceará",2,"2018","Julho","Todas","Ceará"
"7","Várzea Alegre",20,"2018","Julho","Todas","Ceará"
"8","Penaforte",2,"2018","Julho","Todas","Ceará"
"9","Pereiro",11,"2018","Julho","Todas","Ceará"
"10","Piquet Carneiro",15,"2018","Julho","Todas","Ceará"
"11","Porteiras",9,"2018","Julho","Todas","Ceará"
"12","Potiretama",4,"2018","Julho","Todas","Ceará"
"13","Quixadá",34,"2018","Julho","Todas","Ceará"
"14","Quixeramobim",33,"2018","Julho","Todas","Ceará"
"15","Quixere",9,"2018","Julho","Todas","Ceará"
"16","Reriutaba",5,"2018","Julho","Todas","Ceará"
"17","Russas",42,"2018","Julho","Todas","Ceará"
"18","Salitre",7,"2018","Julho","Todas","Ceará"
"19","Santa Quitéria",18,"2018","Julho","Todas","Ceará"
"20","Santana do Acaraú",9,"2018","Julho","Todas","Ceará"
"21","Santana do Cariri",9,"2018","Julho","Todas","Ceará"
"22","Senador Pompeu",18,"2018","Julho","Todas","Ceará"
"23","Sobral",20,"2018","Julho","Todas","Ceará"
"24","São Benedito",24,"2018","Julho","Todas","Ceará"
"25","São Gonçalo do Amarante",4,"2018","Julho","Todas","Ceará"
"26","Tabuleiro do Norte",15,"2018","Julho","Todas","Ceará"
"27","Tarrafas",4,"2018","Julho","Todas","Ceará"
"28","Madalena",9,"2018","Julho","Todas","Ceará"
"29","Maracanau",84,"2018","Julho","Todas","Ceará"
"30","Maranguape",66,"2018","Julho","Todas","Ceará"
"31","Marco",12,"2018","Julho","Todas","Ceará"
"32","Meruoca",6,"2018","Julho","Todas","Ceará"
"33","Milagres",16,"2018","Julho","Todas","Ceará"
"34","Milhã",11,"2018","Julho","Todas","Ceará"
"35","Morada Nova",31,"2018","Julho","Todas","Ceará"
"36","Morrinhos",13,"2018","Julho","Todas","Ceará"
"37","Mulungu",3,"2018","Julho","Todas","Ceará"
"38","Nova Russas",9,"2018","Julho","Todas","Ceará"
"39","Novo Oriente",12,"2018","Julho","Todas","Ceará"
"40","Ocara",10,"2018","Julho","Todas","Ceará"
"41","Orós",2,"2018","Julho","Todas","Ceará"
"42","Pacatuba",21,"2018","Julho","Todas","Ceará"
"43","Palhano",3,"2018","Julho","Todas","Ceará"
"44","Palmácia",8,"2018","Julho","Todas","Ceará"
"45","Paracuru",20,"2018","Julho","Todas","Ceará"
"46","Paraipaba",12,"2018","Julho","Todas","Ceará"
"47","Pedra Branca",31,"2018","Julho","Todas","Ceará"
"48","Hidrolândia",13,"2018","Julho","Todas","Ceará"
"49","Horizonte",31,"2018","Julho","Todas","Ceará"
"50","Ibiapina",13,"2018","Julho","Todas","Ceará"
"51","Icapuí",3,"2018","Julho","Todas","Ceará"
"52","Icó",4,"2018","Julho","Todas","Ceará"
