"","Cidade","Registros","Ano","Mês","Região","Estado"
"1","Tibau",1,"2018","Maio","Todas","Rio Grande do Norte"
"2","Touros",13,"2018","Maio","Todas","Rio Grande do Norte"
"3","Upanema",11,"2018","Maio","Todas","Rio Grande do Norte"
"4","Vera Cruz",2,"2018","Maio","Todas","Rio Grande do Norte"
"5","Vila Flor",5,"2018","Maio","Todas","Rio Grande do Norte"
"6","Poço Branco",6,"2018","Maio","Todas","Rio Grande do Norte"
"7","Riachuelo",6,"2018","Maio","Todas","Rio Grande do Norte"
"8","Rio do Fogo",3,"2018","Maio","Todas","Rio Grande do Norte"
"9","Santa Cruz",20,"2018","Maio","Todas","Rio Grande do Norte"
"10","Senador Elói de Souza",3,"2018","Maio","Todas","Rio Grande do Norte"
"11","Serra Caiada",7,"2018","Maio","Todas","Rio Grande do Norte"
"12","Serra de São Bento",1,"2018","Maio","Todas","Rio Grande do Norte"
"13","Serra do Mel",4,"2018","Maio","Todas","Rio Grande do Norte"
"14","São Bento do Trairí",1,"2018","Maio","Todas","Rio Grande do Norte"
"15","São Francisco do Oeste",2,"2018","Maio","Todas","Rio Grande do Norte"
"16","São Gonçalo do Amarante",38,"2018","Maio","Todas","Rio Grande do Norte"
"17","São José do Campestre",10,"2018","Maio","Todas","Rio Grande do Norte"
"18","São Miguel do Gostoso",2,"2018","Maio","Todas","Rio Grande do Norte"
"19","São Tomé",12,"2018","Maio","Todas","Rio Grande do Norte"
"20","São Vicente",2,"2018","Maio","Todas","Rio Grande do Norte"
"21","Sítio Novo",3,"2018","Maio","Todas","Rio Grande do Norte"
"22","Taboleiro Grande",2,"2018","Maio","Todas","Rio Grande do Norte"
"23","Taipu",6,"2018","Maio","Todas","Rio Grande do Norte"
"24","Tangará",5,"2018","Maio","Todas","Rio Grande do Norte"
"25","Tenente Laurentino Cruz",3,"2018","Maio","Todas","Rio Grande do Norte"
"26","Grossos",3,"2018","Maio","Todas","Rio Grande do Norte"
"27","Ielmo Marinho",7,"2018","Maio","Todas","Rio Grande do Norte"
"28","Itajá",1,"2018","Maio","Todas","Rio Grande do Norte"
"29","Jandaíra",3,"2018","Maio","Todas","Rio Grande do Norte"
"30","Jardim de Piranhas",11,"2018","Maio","Todas","Rio Grande do Norte"
"31","Jardim do Seridó",9,"2018","Maio","Todas","Rio Grande do Norte"
"32","Jaçanã",3,"2018","Maio","Todas","Rio Grande do Norte"
"33","João Câmara",24,"2018","Maio","Todas","Rio Grande do Norte"
"34","Jucurutu",15,"2018","Maio","Todas","Rio Grande do Norte"
"35","Lagoa Nova",11,"2018","Maio","Todas","Rio Grande do Norte"
"36","Lajes",6,"2018","Maio","Todas","Rio Grande do Norte"
"37","Macaíba",23,"2018","Maio","Todas","Rio Grande do Norte"
"38","Marcelino Vieira",4,"2018","Maio","Todas","Rio Grande do Norte"
"39","Mossoró",155,"2018","Maio","Todas","Rio Grande do Norte"
"40","Natal",443,"2018","Maio","Todas","Rio Grande do Norte"
"41","Nova Cruz",29,"2018","Maio","Todas","Rio Grande do Norte"
"42","Nísia Floresta",13,"2018","Maio","Todas","Rio Grande do Norte"
"43","Parelhas",13,"2018","Maio","Todas","Rio Grande do Norte"
"44","Parnamirim",93,"2018","Maio","Todas","Rio Grande do Norte"
"45","Pedra Grande",2,"2018","Maio","Todas","Rio Grande do Norte"
"46","Acari",5,"2018","Maio","Todas","Rio Grande do Norte"
"47","Angicos",5,"2018","Maio","Todas","Rio Grande do Norte"
"48","Apodi",19,"2018","Maio","Todas","Rio Grande do Norte"
"49","Açu",20,"2018","Maio","Todas","Rio Grande do Norte"
"50","Baraúna",8,"2018","Maio","Todas","Rio Grande do Norte"
"51","Baía Formosa",5,"2018","Maio","Todas","Rio Grande do Norte"
"52","Bento Fernandes",6,"2018","Maio","Todas","Rio Grande do Norte"
"53","Caicó",28,"2018","Maio","Todas","Rio Grande do Norte"
"54","Campo Grande",5,"2018","Maio","Todas","Rio Grande do Norte"
"55","Canguaretama",10,"2018","Maio","Todas","Rio Grande do Norte"
"56","Caraúbas",16,"2018","Maio","Todas","Rio Grande do Norte"
"57","Carnaubais",3,"2018","Maio","Todas","Rio Grande do Norte"
"58","Coronel Ezequiel",4,"2018","Maio","Todas","Rio Grande do Norte"
"59","Coronel João Pessoa",3,"2018","Maio","Todas","Rio Grande do Norte"
"60","Cruzeta",4,"2018","Maio","Todas","Rio Grande do Norte"
"61","Currais Novos",28,"2018","Maio","Todas","Rio Grande do Norte"
"62","Equador",5,"2018","Maio","Todas","Rio Grande do Norte"
"63","Florânia",7,"2018","Maio","Todas","Rio Grande do Norte"
"64","Frutuoso Gomes",1,"2018","Maio","Todas","Rio Grande do Norte"
"65","Governador Dix-Sept Rosado",7,"2018","Maio","Todas","Rio Grande do Norte"
