"","Cidade","Registros","Ano","Mês","Região","Estado"
"1","Águas Formosas",14,"2018","Março","Todas","Minas Gerais"
"2","Águas Vermelhas",4,"2018","Março","Todas","Minas Gerais"
"3","Varginha",75,"2018","Março","Todas","Minas Gerais"
"4","Varjão de Minas",3,"2018","Março","Todas","Minas Gerais"
"5","Varzea da Palma",19,"2018","Março","Todas","Minas Gerais"
"6","Varzelândia",10,"2018","Março","Todas","Minas Gerais"
"7","Vazante",16,"2018","Março","Todas","Minas Gerais"
"8","Verdelândia",2,"2018","Março","Todas","Minas Gerais"
"9","Veredinha",1,"2018","Março","Todas","Minas Gerais"
"10","Vermelho Novo",1,"2018","Março","Todas","Minas Gerais"
"11","Veríssimo",1,"2018","Março","Todas","Minas Gerais"
"12","Vespasiano",37,"2018","Março","Todas","Minas Gerais"
"13","Vieiras",1,"2018","Março","Todas","Minas Gerais"
"14","Virgem da Lapa",4,"2018","Março","Todas","Minas Gerais"
"15","Virginópolis",7,"2018","Março","Todas","Minas Gerais"
"16","Virgolândia",3,"2018","Março","Todas","Minas Gerais"
"17","Virgínia",5,"2018","Março","Todas","Minas Gerais"
"18","Visconde do Rio Branco",22,"2018","Março","Todas","Minas Gerais"
"19","Viçosa",29,"2018","Março","Todas","Minas Gerais"
"20","Volta Grande",5,"2018","Março","Todas","Minas Gerais"
"21","Wenceslau Braz",1,"2018","Março","Todas","Minas Gerais"
"22","Água Boa",2,"2018","Março","Todas","Minas Gerais"
"23","Três Marias",9,"2018","Março","Todas","Minas Gerais"
"24","Três Pontas",29,"2018","Março","Todas","Minas Gerais"
"25","Tumiritinga",2,"2018","Março","Todas","Minas Gerais"
"26","Tupaciguara",15,"2018","Março","Todas","Minas Gerais"
"27","Turmalina",14,"2018","Março","Todas","Minas Gerais"
"28","Turvolândia",2,"2018","Março","Todas","Minas Gerais"
"29","Ubaporanga",5,"2018","Março","Todas","Minas Gerais"
"30","Ubaí",9,"2018","Março","Todas","Minas Gerais"
"31","Uberaba",192,"2018","Março","Todas","Minas Gerais"
"32","Uberlandia",296,"2018","Março","Todas","Minas Gerais"
"33","Ubá",50,"2018","Março","Todas","Minas Gerais"
"34","Umburatiba",2,"2018","Março","Todas","Minas Gerais"
"35","Unaí",34,"2018","Março","Todas","Minas Gerais"
"36","União de Minas",1,"2018","Março","Todas","Minas Gerais"
"37","Uruana de Minas",1,"2018","Março","Todas","Minas Gerais"
"38","Urucania",2,"2018","Março","Todas","Minas Gerais"
"39","Urucuia",6,"2018","Março","Todas","Minas Gerais"
"40","Vargem Alegre",2,"2018","Março","Todas","Minas Gerais"
"41","Vargem Bonita",2,"2018","Março","Todas","Minas Gerais"
"42","Vargem Grande do Rio Pardo",2,"2018","Março","Todas","Minas Gerais"
"43","São Sebastião do Maranhão",4,"2018","Março","Todas","Minas Gerais"
"44","São Sebastião do Oeste",1,"2018","Março","Todas","Minas Gerais"
"45","São Sebastião do Paraíso",38,"2018","Março","Todas","Minas Gerais"
"46","São Sebastião do Rio Verde",2,"2018","Março","Todas","Minas Gerais"
"47","São Thomé das Letras",1,"2018","Março","Todas","Minas Gerais"
"48","São Tiago",4,"2018","Março","Todas","Minas Gerais"
"49","São Tomás de Aquino",3,"2018","Março","Todas","Minas Gerais"
"50","São Vicente de Minas",4,"2018","Março","Todas","Minas Gerais"
"51","Taiobeiras",15,"2018","Março","Todas","Minas Gerais"
"52","Taquaraçu de Minas",1,"2018","Março","Todas","Minas Gerais"
"53","Tarumirim",5,"2018","Março","Todas","Minas Gerais"
"54","Teixeiras",9,"2018","Março","Todas","Minas Gerais"
"55","Teófilo Otoni",97,"2018","Março","Todas","Minas Gerais"
"56","Timoteo",30,"2018","Março","Todas","Minas Gerais"
"57","Tiradentes",2,"2018","Março","Todas","Minas Gerais"
"58","Tocantins",8,"2018","Março","Todas","Minas Gerais"
"59","Tocos do Moji",1,"2018","Março","Todas","Minas Gerais"
"60","Toledo",3,"2018","Março","Todas","Minas Gerais"
"61","Tombos",3,"2018","Março","Todas","Minas Gerais"
"62","Três Corações",35,"2018","Março","Todas","Minas Gerais"
"63","São João Batista do Glória",3,"2018","Março","Todas","Minas Gerais"
"64","São João Del Rei",71,"2018","Março","Todas","Minas Gerais"
"65","São João Evangelista",10,"2018","Março","Todas","Minas Gerais"
"66","São João Nepomuceno",19,"2018","Março","Todas","Minas Gerais"
"67","São João da Lagoa",2,"2018","Março","Todas","Minas Gerais"
"68","São João da Ponte",8,"2018","Março","Todas","Minas Gerais"
"69","São João das Missões",9,"2018","Março","Todas","Minas Gerais"
"70","São João do Manhuaçu",2,"2018","Março","Todas","Minas Gerais"
"71","São João do Manteninha",4,"2018","Março","Todas","Minas Gerais"
"72","São João do Oriente",4,"2018","Março","Todas","Minas Gerais"
"73","São João do Paraíso",10,"2018","Março","Todas","Minas Gerais"
"74","São Lourenço",29,"2018","Março","Todas","Minas Gerais"
"75","São Miguel do Anta",3,"2018","Março","Todas","Minas Gerais"
"76","São Pedro da União",5,"2018","Março","Todas","Minas Gerais"
"77","São Pedro do Suaçuí",4,"2018","Março","Todas","Minas Gerais"
"78","São Pedro dos Ferros",4,"2018","Março","Todas","Minas Gerais"
"79","São Romão",6,"2018","Março","Todas","Minas Gerais"
"80","São Roque de Minas",2,"2018","Março","Todas","Minas Gerais"
