"","Cidade","Registros","Ano","Mês","Região","Estado"
"1","Santa Filomena",2,"2018","Março","Todas","Piauí"
"2","Santa Luz",1,"2018","Março","Todas","Piauí"
"3","Simões",8,"2018","Março","Todas","Piauí"
"4","Socorro do Piauí",3,"2018","Março","Todas","Piauí"
"5","São Francisco do Piauí",4,"2018","Março","Todas","Piauí"
"6","São Félix do Piauí",5,"2018","Março","Todas","Piauí"
"7","São José do Piauí",3,"2018","Março","Todas","Piauí"
"8","São Julião",4,"2018","Março","Todas","Piauí"
"9","São Raimundo Nonato",29,"2018","Março","Todas","Piauí"
"10","Teresina",172,"2018","Março","Todas","Piauí"
"11","União",14,"2018","Março","Todas","Piauí"
"12","Uruçuí",8,"2018","Março","Todas","Piauí"
"13","Valença do Piauí",21,"2018","Março","Todas","Piauí"
"14","Água Branca",13,"2018","Março","Todas","Piauí"
"15","Fronteiras",3,"2018","Março","Todas","Piauí"
"16","Inhuma",7,"2018","Março","Todas","Piauí"
"17","Jaicós",15,"2018","Março","Todas","Piauí"
"18","Jerumenha",3,"2018","Março","Todas","Piauí"
"19","Joaquim Pires",3,"2018","Março","Todas","Piauí"
"20","Luzilândia",8,"2018","Março","Todas","Piauí"
"21","Marcos Parente",5,"2018","Março","Todas","Piauí"
"22","Monsenhor Gil",1,"2018","Março","Todas","Piauí"
"23","Monsenhor Hipólito",8,"2018","Março","Todas","Piauí"
"24","Nazaré do Piauí",7,"2018","Março","Todas","Piauí"
"25","Oeiras",40,"2018","Março","Todas","Piauí"
"26","Palmeirais",5,"2018","Março","Todas","Piauí"
"27","Parnaguá",4,"2018","Março","Todas","Piauí"
"28","Paulistana",10,"2018","Março","Todas","Piauí"
"29","Picos",29,"2018","Março","Todas","Piauí"
"30","Piripiri",41,"2018","Março","Todas","Piauí"
"31","Porto",5,"2018","Março","Todas","Piauí"
"32","Regeneração",14,"2018","Março","Todas","Piauí"
"33","Rio Grande do Piauí",5,"2018","Março","Todas","Piauí"
"34","Santa Cruz do Piauí",3,"2018","Março","Todas","Piauí"
"35","Agricolândia",5,"2018","Março","Todas","Piauí"
"36","Alagoinha do Piauí",4,"2018","Março","Todas","Piauí"
"37","Alto Longá",11,"2018","Março","Todas","Piauí"
"38","Altos",21,"2018","Março","Todas","Piauí"
"39","Anísio de Abreu",5,"2018","Março","Todas","Piauí"
"40","Barras",17,"2018","Março","Todas","Piauí"
"41","Bertolínia",5,"2018","Março","Todas","Piauí"
"42","Bocaina",5,"2018","Março","Todas","Piauí"
"43","Buriti dos Lopes",11,"2018","Março","Todas","Piauí"
"44","Cabeceiras do Piauí",3,"2018","Março","Todas","Piauí"
"45","Campo Maior",40,"2018","Março","Todas","Piauí"
"46","Canto do Buriti",13,"2018","Março","Todas","Piauí"
"47","Caracol",3,"2018","Março","Todas","Piauí"
"48","Castelo do Piauí",15,"2018","Março","Todas","Piauí"
"49","Cocal",15,"2018","Março","Todas","Piauí"
"50","Conceição do Canindé",7,"2018","Março","Todas","Piauí"
"51","Curimatá",7,"2018","Março","Todas","Piauí"
"52","Demerval Lobão",9,"2018","Março","Todas","Piauí"
"53","Floriano",36,"2018","Março","Todas","Piauí"
"54","Francinópolis",3,"2018","Março","Todas","Piauí"
