"","Cidade","Registros","Ano","Mês","Região","Estado"
"1","Urupá",7,"2018","Março","Todas","Rondônia"
"2","Vale do Anari",2,"2018","Março","Todas","Rondônia"
"3","Vale do Paraíso",1,"2018","Março","Todas","Rondônia"
"4","Vilhena",37,"2018","Março","Todas","Rondônia"
"5","Ji-Paraná",57,"2018","Março","Todas","Rondônia"
"6","Machadinho D'oeste",11,"2018","Março","Todas","Rondônia"
"7","Ministro Andreazza",2,"2018","Março","Todas","Rondônia"
"8","Nova Brasilândia D'oeste",6,"2018","Março","Todas","Rondônia"
"9","Nova Mamoré",9,"2018","Março","Todas","Rondônia"
"10","Nova União",2,"2018","Março","Todas","Rondônia"
"11","Novo Horizonte do Oeste",9,"2018","Março","Todas","Rondônia"
"12","Ouro Preto do Oeste",26,"2018","Março","Todas","Rondônia"
"13","Pimenta Bueno",12,"2018","Março","Todas","Rondônia"
"14","Pimenteiras do Oeste",2,"2018","Março","Todas","Rondônia"
"15","Porto Velho",223,"2018","Março","Todas","Rondônia"
"16","Presidente Médici",12,"2018","Março","Todas","Rondônia"
"17","Rio Crespo",3,"2018","Março","Todas","Rondônia"
"18","Santa Luzia D'oeste",1,"2018","Março","Todas","Rondônia"
"19","Seringueiras",5,"2018","Março","Todas","Rondônia"
"20","São Felipe D'oeste",4,"2018","Março","Todas","Rondônia"
"21","São Francisco do Guaporé",5,"2018","Março","Todas","Rondônia"
"22","São Miguel do Guaporé",7,"2018","Março","Todas","Rondônia"
"23","Teixeirópolis",2,"2018","Março","Todas","Rondônia"
"24","Theobroma",2,"2018","Março","Todas","Rondônia"
"25","Alta Floresta D'oeste",10,"2018","Março","Todas","Rondônia"
"26","Alto Paraíso",4,"2018","Março","Todas","Rondônia"
"27","Alvorada D'oeste",7,"2018","Março","Todas","Rondônia"
"28","Ariquemes",55,"2018","Março","Todas","Rondônia"
"29","Buritis",8,"2018","Março","Todas","Rondônia"
"30","Cabixi",2,"2018","Março","Todas","Rondônia"
"31","Cacaulândia",2,"2018","Março","Todas","Rondônia"
"32","Cacoal",39,"2018","Março","Todas","Rondônia"
"33","Campo Novo de Rondônia",1,"2018","Março","Todas","Rondônia"
"34","Candeias do Jamari",8,"2018","Março","Todas","Rondônia"
"35","Cerejeiras",8,"2018","Março","Todas","Rondônia"
"36","Chupinguaia",2,"2018","Março","Todas","Rondônia"
"37","Colorado do Oeste",6,"2018","Março","Todas","Rondônia"
"38","Corumbiara",1,"2018","Março","Todas","Rondônia"
"39","Costa Marques",6,"2018","Março","Todas","Rondônia"
"40","Cujubim",4,"2018","Março","Todas","Rondônia"
"41","Espigão do Oeste",15,"2018","Março","Todas","Rondônia"
"42","Governador Jorge Teixeira",8,"2018","Março","Todas","Rondônia"
"43","Guajara-Mirim",22,"2018","Março","Todas","Rondônia"
"44","Jaru",27,"2018","Março","Todas","Rondônia"
