"","Cidade","Registros","Ano","Mês","Região","Estado"
"1","Brasília",317,"2018","Setembro","Todas","Distrito Federal"
"2","Brazlândia",21,"2018","Setembro","Todas","Distrito Federal"
"3","Ceilandia",194,"2018","Setembro","Todas","Distrito Federal"
"4","Gama",116,"2018","Setembro","Todas","Distrito Federal"
"5","Guará",154,"2018","Setembro","Todas","Distrito Federal"
"6","Núcleo Bandeirantes",39,"2018","Setembro","Todas","Distrito Federal"
"7","Paranoá",40,"2018","Setembro","Todas","Distrito Federal"
"8","Planaltina",37,"2018","Setembro","Todas","Distrito Federal"
"9","Samambaia",21,"2018","Setembro","Todas","Distrito Federal"
"10","Sobradinho",38,"2018","Setembro","Todas","Distrito Federal"
"11","Taguatinga",121,"2018","Setembro","Todas","Distrito Federal"
