"","Cidade","Registros","Ano","Mês","Região","Estado"
"1","São Salvador do Tocantins",1,"2018","Setembro","Todas","Tocantins"
"2","Taguatinga",9,"2018","Setembro","Todas","Tocantins"
"3","Talismã",1,"2018","Setembro","Todas","Tocantins"
"4","Tocantinópolis",14,"2018","Setembro","Todas","Tocantins"
"5","Tocantínia",9,"2018","Setembro","Todas","Tocantins"
"6","Tupiratins",2,"2018","Setembro","Todas","Tocantins"
"7","Xambioá",8,"2018","Setembro","Todas","Tocantins"
"8","Palmeirante",1,"2018","Setembro","Todas","Tocantins"
"9","Palmeirópolis",2,"2018","Setembro","Todas","Tocantins"
"10","Paraiso do Tocantins",18,"2018","Setembro","Todas","Tocantins"
"11","Paranã",4,"2018","Setembro","Todas","Tocantins"
"12","Pau D'arco",1,"2018","Setembro","Todas","Tocantins"
"13","Pedro Afonso",6,"2018","Setembro","Todas","Tocantins"
"14","Peixe",5,"2018","Setembro","Todas","Tocantins"
"15","Pequizeiro",5,"2018","Setembro","Todas","Tocantins"
"16","Pindorama do Tocantins",2,"2018","Setembro","Todas","Tocantins"
"17","Pium",2,"2018","Setembro","Todas","Tocantins"
"18","Ponte Alta do Tocantins",1,"2018","Setembro","Todas","Tocantins"
"19","Porto Nacional",28,"2018","Setembro","Todas","Tocantins"
"20","Praia Norte",5,"2018","Setembro","Todas","Tocantins"
"21","Pugmil",1,"2018","Setembro","Todas","Tocantins"
"22","Recursolândia",3,"2018","Setembro","Todas","Tocantins"
"23","Sampaio",1,"2018","Setembro","Todas","Tocantins"
"24","Santa Fé do Araguaia",4,"2018","Setembro","Todas","Tocantins"
"25","Santa Maria do Tocantins",1,"2018","Setembro","Todas","Tocantins"
"26","Silvanópolis",2,"2018","Setembro","Todas","Tocantins"
"27","São Bento do Tocantins",1,"2018","Setembro","Todas","Tocantins"
"28","Fátima",3,"2018","Setembro","Todas","Tocantins"
"29","Goianorte",3,"2018","Setembro","Todas","Tocantins"
"30","Goiatins",1,"2018","Setembro","Todas","Tocantins"
"31","Guaraí",10,"2018","Setembro","Todas","Tocantins"
"32","Gurupi",35,"2018","Setembro","Todas","Tocantins"
"33","Itapiratins",2,"2018","Setembro","Todas","Tocantins"
"34","Jaú do Tocantins",1,"2018","Setembro","Todas","Tocantins"
"35","Juarina",1,"2018","Setembro","Todas","Tocantins"
"36","Lagoa da Confusão",5,"2018","Setembro","Todas","Tocantins"
"37","Lizarda",1,"2018","Setembro","Todas","Tocantins"
"38","Mateiros",1,"2018","Setembro","Todas","Tocantins"
"39","Maurilândia do Tocantins",2,"2018","Setembro","Todas","Tocantins"
"40","Miracema do Tocantins",8,"2018","Setembro","Todas","Tocantins"
"41","Natividade",3,"2018","Setembro","Todas","Tocantins"
"42","Nazaré",1,"2018","Setembro","Todas","Tocantins"
"43","Nova Olinda",7,"2018","Setembro","Todas","Tocantins"
"44","Nova Rosalândia",3,"2018","Setembro","Todas","Tocantins"
"45","Novo Acordo",1,"2018","Setembro","Todas","Tocantins"
"46","Novo Alegre",2,"2018","Setembro","Todas","Tocantins"
"47","Palmas",94,"2018","Setembro","Todas","Tocantins"
"48","Cachoeirinha",1,"2018","Setembro","Todas","Tocantins"
"49","Campos Lindos",7,"2018","Setembro","Todas","Tocantins"
"50","Cariri do Tocantins",2,"2018","Setembro","Todas","Tocantins"
"51","Carrasco Bonito",1,"2018","Setembro","Todas","Tocantins"
"52","Caseara",2,"2018","Setembro","Todas","Tocantins"
"53","Centenário",1,"2018","Setembro","Todas","Tocantins"
"54","Colinas do Tocantins",14,"2018","Setembro","Todas","Tocantins"
"55","Colméia",1,"2018","Setembro","Todas","Tocantins"
"56","Combinado",3,"2018","Setembro","Todas","Tocantins"
"57","Couto de Magalhães",1,"2018","Setembro","Todas","Tocantins"
"58","Cristalândia",2,"2018","Setembro","Todas","Tocantins"
"59","Darcinópolis",4,"2018","Setembro","Todas","Tocantins"
"60","Dianópolis",7,"2018","Setembro","Todas","Tocantins"
"61","Divinópolis do Tocantins",2,"2018","Setembro","Todas","Tocantins"
"62","Dois Irmãos do Tocantins",2,"2018","Setembro","Todas","Tocantins"
"63","Dueré",1,"2018","Setembro","Todas","Tocantins"
"64","Esperantina",4,"2018","Setembro","Todas","Tocantins"
"65","Figueirópolis",1,"2018","Setembro","Todas","Tocantins"
"66","Formoso do Araguaia",6,"2018","Setembro","Todas","Tocantins"
"67","Fortaleza do Tabocão",4,"2018","Setembro","Todas","Tocantins"
"68","Abreulândia",4,"2018","Setembro","Todas","Tocantins"
"69","Aguiarnópolis",4,"2018","Setembro","Todas","Tocantins"
"70","Alvorada",3,"2018","Setembro","Todas","Tocantins"
"71","Ananás",5,"2018","Setembro","Todas","Tocantins"
"72","Aparecida do Rio Negro",2,"2018","Setembro","Todas","Tocantins"
"73","Aragominas",4,"2018","Setembro","Todas","Tocantins"
"74","Araguacema",1,"2018","Setembro","Todas","Tocantins"
"75","Araguana",2,"2018","Setembro","Todas","Tocantins"
"76","Araguatins",12,"2018","Setembro","Todas","Tocantins"
"77","Arapoema",4,"2018","Setembro","Todas","Tocantins"
"78","Arraias",4,"2018","Setembro","Todas","Tocantins"
"79","Augustinópolis",10,"2018","Setembro","Todas","Tocantins"
"80","Aurora do Tocantins",3,"2018","Setembro","Todas","Tocantins"
"81","Babaçulândia",3,"2018","Setembro","Todas","Tocantins"
"82","Barra do Ouro",3,"2018","Setembro","Todas","Tocantins"
"83","Barrolândia",2,"2018","Setembro","Todas","Tocantins"
"84","Bernardo Sayão",3,"2018","Setembro","Todas","Tocantins"
"85","Bom Jesus do Tocantins",1,"2018","Setembro","Todas","Tocantins"
"86","Brejinho de Nazaré",2,"2018","Setembro","Todas","Tocantins"
"87","Buriti do Tocantins",2,"2018","Setembro","Todas","Tocantins"
