"","Cidade","Registros","Ano","Mês","Região","Estado"
"1","Uruçuca",13,"2019","Janeiro","Todas","Bahia"
"2","Valença",50,"2019","Janeiro","Todas","Bahia"
"3","Vera Cruz",8,"2019","Janeiro","Todas","Bahia"
"4","Vitoria da Conquista",200,"2019","Janeiro","Todas","Bahia"
"5","Wenceslau Guimarães",15,"2019","Janeiro","Todas","Bahia"
"6","Xique-Xique",34,"2019","Janeiro","Todas","Bahia"
"7","Água Fria",6,"2019","Janeiro","Todas","Bahia"
"8","Souto Soares",11,"2019","Janeiro","Todas","Bahia"
"9","Sátiro Dias",12,"2019","Janeiro","Todas","Bahia"
"10","São Desidério",8,"2019","Janeiro","Todas","Bahia"
"11","São Felipe",9,"2019","Janeiro","Todas","Bahia"
"12","São Félix",12,"2019","Janeiro","Todas","Bahia"
"13","São Félix do Coribe",10,"2019","Janeiro","Todas","Bahia"
"14","São Gabriel",15,"2019","Janeiro","Todas","Bahia"
"15","São Gonçalo dos Campos",2,"2019","Janeiro","Todas","Bahia"
"16","São Sebastião do Passé",18,"2019","Janeiro","Todas","Bahia"
"17","Tanquinho",3,"2019","Janeiro","Todas","Bahia"
"18","Taperoá",4,"2019","Janeiro","Todas","Bahia"
"19","Teixeira de Freitas",91,"2019","Janeiro","Todas","Bahia"
"20","Teodoro Sampaio",6,"2019","Janeiro","Todas","Bahia"
"21","Teofilândia",5,"2019","Janeiro","Todas","Bahia"
"22","Terra Nova",1,"2019","Janeiro","Todas","Bahia"
"23","Tremedal",1,"2019","Janeiro","Todas","Bahia"
"24","Tucano",16,"2019","Janeiro","Todas","Bahia"
"25","Ubaitaba",19,"2019","Janeiro","Todas","Bahia"
"26","Una",10,"2019","Janeiro","Todas","Bahia"
"27","Urandi",6,"2019","Janeiro","Todas","Bahia"
"28","Santa Luzia",8,"2019","Janeiro","Todas","Bahia"
"29","Santa Maria da Vitória",16,"2019","Janeiro","Todas","Bahia"
"30","Santa Rita de Cássia",15,"2019","Janeiro","Todas","Bahia"
"31","Santana",17,"2019","Janeiro","Todas","Bahia"
"32","Santanópolis",6,"2019","Janeiro","Todas","Bahia"
"33","Santo Amaro",20,"2019","Janeiro","Todas","Bahia"
"34","Santo Estêvão",44,"2019","Janeiro","Todas","Bahia"
"35","Sapeaçu",4,"2019","Janeiro","Todas","Bahia"
"36","Saúde",18,"2019","Janeiro","Todas","Bahia"
"37","Seabra",24,"2019","Janeiro","Todas","Bahia"
