"","Cidade","Registros","Ano","Mês","Região","Estado"
"1","São Domingos",6,"2019","Janeiro","Todas","Sergipe"
"2","São Miguel do Aleixo",1,"2019","Janeiro","Todas","Sergipe"
"3","Telha",3,"2019","Janeiro","Todas","Sergipe"
"4","Tobias Barreto",31,"2019","Janeiro","Todas","Sergipe"
"5","Umbaúba",12,"2019","Janeiro","Todas","Sergipe"
"6","Pacatuba",11,"2019","Janeiro","Todas","Sergipe"
"7","Pedra Mole",3,"2019","Janeiro","Todas","Sergipe"
"8","Pedrinhas",4,"2019","Janeiro","Todas","Sergipe"
"9","Pinhão",4,"2019","Janeiro","Todas","Sergipe"
"10","Pirambu",5,"2019","Janeiro","Todas","Sergipe"
"11","Porto da Folha",16,"2019","Janeiro","Todas","Sergipe"
"12","Poço Redondo",11,"2019","Janeiro","Todas","Sergipe"
"13","Propriá",17,"2019","Janeiro","Todas","Sergipe"
"14","Riachuelo",5,"2019","Janeiro","Todas","Sergipe"
"15","Riachão do Dantas",8,"2019","Janeiro","Todas","Sergipe"
"16","Ribeirópolis",8,"2019","Janeiro","Todas","Sergipe"
"17","Rosario do Catete",5,"2019","Janeiro","Todas","Sergipe"
"18","Salgado",9,"2019","Janeiro","Todas","Sergipe"
"19","Santa Luzia do Itanhy",3,"2019","Janeiro","Todas","Sergipe"
"20","Santa Rosa de Lima",3,"2019","Janeiro","Todas","Sergipe"
"21","Santana do São Francisco",6,"2019","Janeiro","Todas","Sergipe"
"22","Santo Amaro das Brotas",3,"2019","Janeiro","Todas","Sergipe"
"23","Simão Dias",17,"2019","Janeiro","Todas","Sergipe"
"24","Siriri",4,"2019","Janeiro","Todas","Sergipe"
"25","São Cristóvão",22,"2019","Janeiro","Todas","Sergipe"
"26","Indiaroba",5,"2019","Janeiro","Todas","Sergipe"
"27","Itabaiana",54,"2019","Janeiro","Todas","Sergipe"
"28","Itabaianinha",13,"2019","Janeiro","Todas","Sergipe"
"29","Itaporanga D'ajuda",19,"2019","Janeiro","Todas","Sergipe"
"30","Japaratuba",8,"2019","Janeiro","Todas","Sergipe"
"31","Japoatã",4,"2019","Janeiro","Todas","Sergipe"
"32","Lagarto",52,"2019","Janeiro","Todas","Sergipe"
"33","Laranjeiras",16,"2019","Janeiro","Todas","Sergipe"
"34","Macambira",1,"2019","Janeiro","Todas","Sergipe"
"35","Malhada dos Bois",5,"2019","Janeiro","Todas","Sergipe"
"36","Malhador",3,"2019","Janeiro","Todas","Sergipe"
"37","Maruim",6,"2019","Janeiro","Todas","Sergipe"
"38","Moita Bonita",5,"2019","Janeiro","Todas","Sergipe"
"39","Monte Alegre de Sergipe",4,"2019","Janeiro","Todas","Sergipe"
"40","Muribeca",6,"2019","Janeiro","Todas","Sergipe"
"41","Neópolis",16,"2019","Janeiro","Todas","Sergipe"
"42","Nossa Senhora Aparecida",5,"2019","Janeiro","Todas","Sergipe"
"43","Nossa Senhora da Glória",12,"2019","Janeiro","Todas","Sergipe"
"44","Nossa Senhora das Dores",8,"2019","Janeiro","Todas","Sergipe"
"45","Nossa Senhora do Socorro",32,"2019","Janeiro","Todas","Sergipe"
"46","Aquidabã",12,"2019","Janeiro","Todas","Sergipe"
"47","Aracaju",402,"2019","Janeiro","Todas","Sergipe"
"48","Arauá",2,"2019","Janeiro","Todas","Sergipe"
"49","Areia Branca",5,"2019","Janeiro","Todas","Sergipe"
"50","Barra dos Coqueiros",13,"2019","Janeiro","Todas","Sergipe"
"51","Boquim",9,"2019","Janeiro","Todas","Sergipe"
"52","Brejo Grande",3,"2019","Janeiro","Todas","Sergipe"
"53","Campo do Brito",7,"2019","Janeiro","Todas","Sergipe"
"54","Canhoba",1,"2019","Janeiro","Todas","Sergipe"
"55","Canindé de São Francisco",10,"2019","Janeiro","Todas","Sergipe"
"56","Capela",17,"2019","Janeiro","Todas","Sergipe"
"57","Carira",15,"2019","Janeiro","Todas","Sergipe"
"58","Carmopolis",7,"2019","Janeiro","Todas","Sergipe"
"59","Cedro de São João",12,"2019","Janeiro","Todas","Sergipe"
"60","Cumbe",4,"2019","Janeiro","Todas","Sergipe"
"61","Divina Pastora",1,"2019","Janeiro","Todas","Sergipe"
"62","Estância",52,"2019","Janeiro","Todas","Sergipe"
"63","Feira Nova",1,"2019","Janeiro","Todas","Sergipe"
"64","Gararu",3,"2019","Janeiro","Todas","Sergipe"
"65","Ilha das Flores",2,"2019","Janeiro","Todas","Sergipe"
