"","Cidade","Registros","Ano","Mês","Região","Estado"
"1","Volta Grande",5,"2019","Julho","Todas","Minas Gerais"
"2","Wenceslau Braz",1,"2019","Julho","Todas","Minas Gerais"
"3","Água Boa",4,"2019","Julho","Todas","Minas Gerais"
"4","Águas Formosas",2,"2019","Julho","Todas","Minas Gerais"
"5","Águas Vermelhas",5,"2019","Julho","Todas","Minas Gerais"
"6","Uruana de Minas",2,"2019","Julho","Todas","Minas Gerais"
"7","Urucania",5,"2019","Julho","Todas","Minas Gerais"
"8","Urucuia",4,"2019","Julho","Todas","Minas Gerais"
"9","Vargem Grande do Rio Pardo",2,"2019","Julho","Todas","Minas Gerais"
"10","Varginha",79,"2019","Julho","Todas","Minas Gerais"
"11","Varjão de Minas",2,"2019","Julho","Todas","Minas Gerais"
"12","Varzea da Palma",11,"2019","Julho","Todas","Minas Gerais"
"13","Varzelândia",9,"2019","Julho","Todas","Minas Gerais"
"14","Vazante",9,"2019","Julho","Todas","Minas Gerais"
"15","Verdelândia",5,"2019","Julho","Todas","Minas Gerais"
"16","Veredinha",2,"2019","Julho","Todas","Minas Gerais"
"17","Vermelho Novo",1,"2019","Julho","Todas","Minas Gerais"
"18","Veríssimo",1,"2019","Julho","Todas","Minas Gerais"
"19","Vespasiano",48,"2019","Julho","Todas","Minas Gerais"
"20","Vieiras",3,"2019","Julho","Todas","Minas Gerais"
"21","Virginópolis",8,"2019","Julho","Todas","Minas Gerais"
"22","Virgolândia",3,"2019","Julho","Todas","Minas Gerais"
"23","Virgínia",6,"2019","Julho","Todas","Minas Gerais"
"24","Visconde do Rio Branco",13,"2019","Julho","Todas","Minas Gerais"
"25","Viçosa",58,"2019","Julho","Todas","Minas Gerais"
"26","Tiros",4,"2019","Julho","Todas","Minas Gerais"
"27","Tocantins",12,"2019","Julho","Todas","Minas Gerais"
"28","Tocos do Moji",1,"2019","Julho","Todas","Minas Gerais"
"29","Toledo",5,"2019","Julho","Todas","Minas Gerais"
"30","Tombos",8,"2019","Julho","Todas","Minas Gerais"
"31","Três Corações",56,"2019","Julho","Todas","Minas Gerais"
"32","Três Marias",23,"2019","Julho","Todas","Minas Gerais"
"33","Três Pontas",34,"2019","Julho","Todas","Minas Gerais"
"34","Tumiritinga",3,"2019","Julho","Todas","Minas Gerais"
"35","Tupaciguara",22,"2019","Julho","Todas","Minas Gerais"
"36","Turmalina",13,"2019","Julho","Todas","Minas Gerais"
"37","Turvolândia",8,"2019","Julho","Todas","Minas Gerais"
"38","Ubaporanga",8,"2019","Julho","Todas","Minas Gerais"
"39","Ubaí",8,"2019","Julho","Todas","Minas Gerais"
"40","Uberaba",268,"2019","Julho","Todas","Minas Gerais"
"41","Uberlandia",345,"2019","Julho","Todas","Minas Gerais"
"42","Ubá",86,"2019","Julho","Todas","Minas Gerais"
"43","Umburatiba",1,"2019","Julho","Todas","Minas Gerais"
"44","Unaí",40,"2019","Julho","Todas","Minas Gerais"
"45","União de Minas",8,"2019","Julho","Todas","Minas Gerais"
"46","São Sebastião da Vargem Alegre",3,"2019","Julho","Todas","Minas Gerais"
"47","São Sebastião do Anta",4,"2019","Julho","Todas","Minas Gerais"
"48","São Sebastião do Maranhão",5,"2019","Julho","Todas","Minas Gerais"
"49","São Sebastião do Oeste",4,"2019","Julho","Todas","Minas Gerais"
"50","São Sebastião do Paraíso",65,"2019","Julho","Todas","Minas Gerais"
"51","São Sebastião do Rio Verde",4,"2019","Julho","Todas","Minas Gerais"
"52","São Thomé das Letras",3,"2019","Julho","Todas","Minas Gerais"
"53","São Tiago",9,"2019","Julho","Todas","Minas Gerais"
"54","São Vicente de Minas",2,"2019","Julho","Todas","Minas Gerais"
"55","Tabuleiro",3,"2019","Julho","Todas","Minas Gerais"
"56","Taiobeiras",20,"2019","Julho","Todas","Minas Gerais"
"57","Taparuba",2,"2019","Julho","Todas","Minas Gerais"
"58","Tapira",2,"2019","Julho","Todas","Minas Gerais"
"59","Tapiraí",1,"2019","Julho","Todas","Minas Gerais"
"60","Taquaraçu de Minas",2,"2019","Julho","Todas","Minas Gerais"
"61","Tarumirim",16,"2019","Julho","Todas","Minas Gerais"
"62","Teixeiras",11,"2019","Julho","Todas","Minas Gerais"
"63","Teófilo Otoni",87,"2019","Julho","Todas","Minas Gerais"
"64","Timoteo",44,"2019","Julho","Todas","Minas Gerais"
"65","Tiradentes",3,"2019","Julho","Todas","Minas Gerais"
"66","São José do Mantimento",4,"2019","Julho","Todas","Minas Gerais"
"67","São João Del Rei",72,"2019","Julho","Todas","Minas Gerais"
"68","São João Evangelista",7,"2019","Julho","Todas","Minas Gerais"
"69","São João Nepomuceno",19,"2019","Julho","Todas","Minas Gerais"
"70","São João da Lagoa",4,"2019","Julho","Todas","Minas Gerais"
"71","São João da Mata",2,"2019","Julho","Todas","Minas Gerais"
"72","São João da Ponte",6,"2019","Julho","Todas","Minas Gerais"
"73","São João das Missões",1,"2019","Julho","Todas","Minas Gerais"
"74","São João do Manhuaçu",8,"2019","Julho","Todas","Minas Gerais"
"75","São João do Manteninha",3,"2019","Julho","Todas","Minas Gerais"
"76","São João do Oriente",2,"2019","Julho","Todas","Minas Gerais"
"77","São João do Pacuí",1,"2019","Julho","Todas","Minas Gerais"
"78","São Lourenço",46,"2019","Julho","Todas","Minas Gerais"
"79","São Miguel do Anta",8,"2019","Julho","Todas","Minas Gerais"
"80","São Pedro da União",6,"2019","Julho","Todas","Minas Gerais"
"81","São Pedro do Suaçuí",3,"2019","Julho","Todas","Minas Gerais"
"82","São Pedro dos Ferros",6,"2019","Julho","Todas","Minas Gerais"
"83","São Romão",9,"2019","Julho","Todas","Minas Gerais"
"84","São Roque de Minas",5,"2019","Julho","Todas","Minas Gerais"
"85","São Sebastião da Bela Vista",3,"2019","Julho","Todas","Minas Gerais"
"86","São Francisco de Paula",2,"2019","Julho","Todas","Minas Gerais"
"87","São Francisco de Sales",7,"2019","Julho","Todas","Minas Gerais"
"88","São Francisco do Glória",3,"2019","Julho","Todas","Minas Gerais"
"89","São Félix de Minas",2,"2019","Julho","Todas","Minas Gerais"
"90","São Geraldo",4,"2019","Julho","Todas","Minas Gerais"
"91","São Geraldo da Piedade",3,"2019","Julho","Todas","Minas Gerais"
"92","São Gonçalo do Abaeté",1,"2019","Julho","Todas","Minas Gerais"
"93","São Gonçalo do Pará",7,"2019","Julho","Todas","Minas Gerais"
