"","Cidade","Registros","Ano","Mês","Região","Estado"
"1","Brasília",234,"2019","Maio","Todas","Distrito Federal"
"2","Brazlândia",22,"2019","Maio","Todas","Distrito Federal"
"3","Ceilandia",237,"2019","Maio","Todas","Distrito Federal"
"4","Gama",132,"2019","Maio","Todas","Distrito Federal"
"5","Guará",188,"2019","Maio","Todas","Distrito Federal"
"6","Núcleo Bandeirantes",177,"2019","Maio","Todas","Distrito Federal"
"7","Paranoá",57,"2019","Maio","Todas","Distrito Federal"
"8","Planaltina",39,"2019","Maio","Todas","Distrito Federal"
"9","Samambaia",49,"2019","Maio","Todas","Distrito Federal"
"10","Sobradinho",46,"2019","Maio","Todas","Distrito Federal"
"11","Taguatinga",113,"2019","Maio","Todas","Distrito Federal"
