"","Cidade","Registros","Ano","Mês","Região","Estado"
"1","Xaxim",19,"2019","Setembro","Todas","Santa Catarina"
"2","Água Doce",2,"2019","Setembro","Todas","Santa Catarina"
"3","Águas Frias",3,"2019","Setembro","Todas","Santa Catarina"
"4","Águas Mornas",1,"2019","Setembro","Todas","Santa Catarina"
"5","Timbó Grande",5,"2019","Setembro","Todas","Santa Catarina"
"6","Treviso",1,"2019","Setembro","Todas","Santa Catarina"
"7","Treze Tilias",3,"2019","Setembro","Todas","Santa Catarina"
"8","Treze de Maio",4,"2019","Setembro","Todas","Santa Catarina"
"9","Trombudo Central",6,"2019","Setembro","Todas","Santa Catarina"
"10","Três Barras",16,"2019","Setembro","Todas","Santa Catarina"
"11","Tubarao",75,"2019","Setembro","Todas","Santa Catarina"
"12","Tunápolis",5,"2019","Setembro","Todas","Santa Catarina"
"13","Turvo",9,"2019","Setembro","Todas","Santa Catarina"
"14","Urubici",9,"2019","Setembro","Todas","Santa Catarina"
"15","Urupema",1,"2019","Setembro","Todas","Santa Catarina"
"16","Urussanga",14,"2019","Setembro","Todas","Santa Catarina"
"17","Vargem",5,"2019","Setembro","Todas","Santa Catarina"
"18","Vargem Bonita",3,"2019","Setembro","Todas","Santa Catarina"
"19","Vargeão",1,"2019","Setembro","Todas","Santa Catarina"
"20","Vidal Ramos",3,"2019","Setembro","Todas","Santa Catarina"
"21","Videira",37,"2019","Setembro","Todas","Santa Catarina"
"22","Vitor Meireles",4,"2019","Setembro","Todas","Santa Catarina"
"23","Witmarsum",2,"2019","Setembro","Todas","Santa Catarina"
"24","Xanxere",21,"2019","Setembro","Todas","Santa Catarina"
"25","São Francisco do Sul",30,"2019","Setembro","Todas","Santa Catarina"
"26","São Joaquim",26,"2019","Setembro","Todas","Santa Catarina"
"27","São José",97,"2019","Setembro","Todas","Santa Catarina"
"28","São José do Cedro",10,"2019","Setembro","Todas","Santa Catarina"
"29","São João Batista",12,"2019","Setembro","Todas","Santa Catarina"
"30","São João do Itaperiú",2,"2019","Setembro","Todas","Santa Catarina"
"31","São João do Oeste",6,"2019","Setembro","Todas","Santa Catarina"
"32","São João do Sul",8,"2019","Setembro","Todas","Santa Catarina"
"33","São Lourenço do Oeste",12,"2019","Setembro","Todas","Santa Catarina"
"34","São Ludgero",5,"2019","Setembro","Todas","Santa Catarina"
"35","São Martinho",1,"2019","Setembro","Todas","Santa Catarina"
"36","São Miguel da Boa Vista",2,"2019","Setembro","Todas","Santa Catarina"
"37","São Miguel do Oeste",24,"2019","Setembro","Todas","Santa Catarina"
"38","São Pedro de Alcântara",4,"2019","Setembro","Todas","Santa Catarina"
"39","Taió",14,"2019","Setembro","Todas","Santa Catarina"
"40","Tangará",6,"2019","Setembro","Todas","Santa Catarina"
"41","Tigrinhos",1,"2019","Setembro","Todas","Santa Catarina"
"42","Tijucas",24,"2019","Setembro","Todas","Santa Catarina"
"43","Timbo",19,"2019","Setembro","Todas","Santa Catarina"
"44","Timbé do Sul",6,"2019","Setembro","Todas","Santa Catarina"
"45","Salete",4,"2019","Setembro","Todas","Santa Catarina"
"46","Saltinho",1,"2019","Setembro","Todas","Santa Catarina"
"47","Sangão",3,"2019","Setembro","Todas","Santa Catarina"
"48","Santa Cecília",18,"2019","Setembro","Todas","Santa Catarina"
"49","Santa Helena",4,"2019","Setembro","Todas","Santa Catarina"
"50","Santa Rosa de Lima",1,"2019","Setembro","Todas","Santa Catarina"
"51","Santa Rosa do Sul",6,"2019","Setembro","Todas","Santa Catarina"
"52","Santa Terezinha",3,"2019","Setembro","Todas","Santa Catarina"
"53","Santo Amaro da Imperatriz",13,"2019","Setembro","Todas","Santa Catarina"
"54","Sao Bento do Sul",46,"2019","Setembro","Todas","Santa Catarina"
"55","Saudades",4,"2019","Setembro","Todas","Santa Catarina"
"56","Schroeder",6,"2019","Setembro","Todas","Santa Catarina"
"57","Seara",11,"2019","Setembro","Todas","Santa Catarina"
"58","Serra Alta",2,"2019","Setembro","Todas","Santa Catarina"
"59","Siderópolis",8,"2019","Setembro","Todas","Santa Catarina"
"60","Sombrio",13,"2019","Setembro","Todas","Santa Catarina"
"61","São Bonifácio",5,"2019","Setembro","Todas","Santa Catarina"
"62","São Carlos",4,"2019","Setembro","Todas","Santa Catarina"
"63","São Cristovão do Sul",8,"2019","Setembro","Todas","Santa Catarina"
"64","São Domingos",3,"2019","Setembro","Todas","Santa Catarina"
"65","Ponte Alta do Norte",3,"2019","Setembro","Todas","Santa Catarina"
"66","Ponte Serrada",8,"2019","Setembro","Todas","Santa Catarina"
"67","Porto Belo",7,"2019","Setembro","Todas","Santa Catarina"
"68","Porto União",25,"2019","Setembro","Todas","Santa Catarina"
"69","Pouso Redondo",4,"2019","Setembro","Todas","Santa Catarina"
"70","Praia Grande",4,"2019","Setembro","Todas","Santa Catarina"
"71","Presidente Getúlio",12,"2019","Setembro","Todas","Santa Catarina"
"72","Princesa",6,"2019","Setembro","Todas","Santa Catarina"
"73","Quilombo",6,"2019","Setembro","Todas","Santa Catarina"
"74","Rancho Queimado",1,"2019","Setembro","Todas","Santa Catarina"
"75","Rio Fortuna",1,"2019","Setembro","Todas","Santa Catarina"
"76","Rio Negrinho",19,"2019","Setembro","Todas","Santa Catarina"
"77","Rio das Antas",1,"2019","Setembro","Todas","Santa Catarina"
"78","Rio do Campo",3,"2019","Setembro","Todas","Santa Catarina"
"79","Rio do Oeste",10,"2019","Setembro","Todas","Santa Catarina"
"80","Rio do Sul",46,"2019","Setembro","Todas","Santa Catarina"
"81","Rio dos Cedros",12,"2019","Setembro","Todas","Santa Catarina"
"82","Riqueza",4,"2019","Setembro","Todas","Santa Catarina"
"83","Rodeio",8,"2019","Setembro","Todas","Santa Catarina"
"84","Romelândia",2,"2019","Setembro","Todas","Santa Catarina"
"85","Ouro",3,"2019","Setembro","Todas","Santa Catarina"
"86","Palhoça",75,"2019","Setembro","Todas","Santa Catarina"
"87","Palma Sola",3,"2019","Setembro","Todas","Santa Catarina"
"88","Palmeira",2,"2019","Setembro","Todas","Santa Catarina"
"89","Palmitos",10,"2019","Setembro","Todas","Santa Catarina"
"90","Papanduva",7,"2019","Setembro","Todas","Santa Catarina"
"91","Paraíso",3,"2019","Setembro","Todas","Santa Catarina"
