"","Cidade","Registros","Ano","Mês","Região","Estado"
"1","Rondonópolis",20,"2020","Junho","Todas","Mato Grosso"
"2","Rosário Oeste",1,"2020","Junho","Todas","Mato Grosso"
"3","Santa Rita do Trivelato",1,"2020","Junho","Todas","Mato Grosso"
"4","Santo Afonso",1,"2020","Junho","Todas","Mato Grosso"
"5","Sapezal",2,"2020","Junho","Todas","Mato Grosso"
"6","Sinop",16,"2020","Junho","Todas","Mato Grosso"
"7","Sorriso",4,"2020","Junho","Todas","Mato Grosso"
"8","São José do Povo",1,"2020","Junho","Todas","Mato Grosso"
"9","Tapurah",2,"2020","Junho","Todas","Mato Grosso"
"10","Terra Nova do Norte",4,"2020","Junho","Todas","Mato Grosso"
"11","Torixoréu",2,"2020","Junho","Todas","Mato Grosso"
"12","União do Sul",1,"2020","Junho","Todas","Mato Grosso"
"13","Varzea Grande",18,"2020","Junho","Todas","Mato Grosso"
"14","Vila Rica",1,"2020","Junho","Todas","Mato Grosso"
"15","Água Boa",3,"2020","Junho","Todas","Mato Grosso"
"16","Guarantã do Norte",8,"2020","Junho","Todas","Mato Grosso"
"17","Guiratinga",4,"2020","Junho","Todas","Mato Grosso"
"18","Itanhangá",1,"2020","Junho","Todas","Mato Grosso"
"19","Itiquira",2,"2020","Junho","Todas","Mato Grosso"
"20","Jaciara",2,"2020","Junho","Todas","Mato Grosso"
"21","Juara",3,"2020","Junho","Todas","Mato Grosso"
"22","Juruena",2,"2020","Junho","Todas","Mato Grosso"
"23","Juscimeira",2,"2020","Junho","Todas","Mato Grosso"
"24","Lucas do Rio Verde",9,"2020","Junho","Todas","Mato Grosso"
"25","Mirassol D'oeste",7,"2020","Junho","Todas","Mato Grosso"
"26","Nobres",2,"2020","Junho","Todas","Mato Grosso"
"27","Nortelândia",2,"2020","Junho","Todas","Mato Grosso"
"28","Nova Bandeirantes",1,"2020","Junho","Todas","Mato Grosso"
"29","Nova Mutum",1,"2020","Junho","Todas","Mato Grosso"
"30","Nova Xavantina",4,"2020","Junho","Todas","Mato Grosso"
"31","Novo São Joaquim",1,"2020","Junho","Todas","Mato Grosso"
"32","Paranatinga",4,"2020","Junho","Todas","Mato Grosso"
"33","Querência",3,"2020","Junho","Todas","Mato Grosso"
"34","Ribeirão Cascalheira",2,"2020","Junho","Todas","Mato Grosso"
"35","Rio Branco",1,"2020","Junho","Todas","Mato Grosso"
"36","Acorizal",1,"2020","Junho","Todas","Mato Grosso"
"37","Alta Floresta",13,"2020","Junho","Todas","Mato Grosso"
"38","Alto Garças",1,"2020","Junho","Todas","Mato Grosso"
"39","Alto Paraguai",1,"2020","Junho","Todas","Mato Grosso"
"40","Apiacás",1,"2020","Junho","Todas","Mato Grosso"
"41","Araputanga",1,"2020","Junho","Todas","Mato Grosso"
"42","Aripuanã",2,"2020","Junho","Todas","Mato Grosso"
"43","Barra do Bugres",5,"2020","Junho","Todas","Mato Grosso"
"44","Brasnorte",1,"2020","Junho","Todas","Mato Grosso"
"45","Campo Novo do Parecis",3,"2020","Junho","Todas","Mato Grosso"
"46","Canarana",1,"2020","Junho","Todas","Mato Grosso"
"47","Castanheira",1,"2020","Junho","Todas","Mato Grosso"
"48","Cláudia",1,"2020","Junho","Todas","Mato Grosso"
"49","Colíder",2,"2020","Junho","Todas","Mato Grosso"
"50","Comodoro",1,"2020","Junho","Todas","Mato Grosso"
"51","Confresa",1,"2020","Junho","Todas","Mato Grosso"
"52","Cotriguaçu",1,"2020","Junho","Todas","Mato Grosso"
"53","Cuiaba",109,"2020","Junho","Todas","Mato Grosso"
"54","Cáceres",17,"2020","Junho","Todas","Mato Grosso"
"55","Dom Aquino",1,"2020","Junho","Todas","Mato Grosso"
