"","Cidade","Registros","Ano","Mês","Região","Estado"
"1","Viadutos",2,"2020","Junho","Todas","Rio Grande do Sul"
"2","Viamao",48,"2020","Junho","Todas","Rio Grande do Sul"
"3","Vicente Dutra",3,"2020","Junho","Todas","Rio Grande do Sul"
"4","Victor Graeff",2,"2020","Junho","Todas","Rio Grande do Sul"
"5","Vila Maria",2,"2020","Junho","Todas","Rio Grande do Sul"
"6","Xangri-Lá",1,"2020","Junho","Todas","Rio Grande do Sul"
"7","Torres",11,"2020","Junho","Todas","Rio Grande do Sul"
"8","Tramandaí",20,"2020","Junho","Todas","Rio Grande do Sul"
"9","Trindade do Sul",2,"2020","Junho","Todas","Rio Grande do Sul"
"10","Triunfo",4,"2020","Junho","Todas","Rio Grande do Sul"
"11","Três Arroios",3,"2020","Junho","Todas","Rio Grande do Sul"
"12","Três Cachoeiras",1,"2020","Junho","Todas","Rio Grande do Sul"
"13","Três Coroas",6,"2020","Junho","Todas","Rio Grande do Sul"
"14","Três Forquilhas",1,"2020","Junho","Todas","Rio Grande do Sul"
"15","Três Passos",13,"2020","Junho","Todas","Rio Grande do Sul"
"16","Três de Maio",9,"2020","Junho","Todas","Rio Grande do Sul"
"17","Tucunduva",2,"2020","Junho","Todas","Rio Grande do Sul"
"18","Tupanciretã",8,"2020","Junho","Todas","Rio Grande do Sul"
"19","Tupandi",2,"2020","Junho","Todas","Rio Grande do Sul"
"20","Tuparendi",3,"2020","Junho","Todas","Rio Grande do Sul"
"21","Uruguaiana",4,"2020","Junho","Todas","Rio Grande do Sul"
"22","Vacaria",1,"2020","Junho","Todas","Rio Grande do Sul"
"23","Vale do Sol",3,"2020","Junho","Todas","Rio Grande do Sul"
"24","Venâncio Aires",22,"2020","Junho","Todas","Rio Grande do Sul"
"25","Vera Cruz",13,"2020","Junho","Todas","Rio Grande do Sul"
"26","Veranopolis",8,"2020","Junho","Todas","Rio Grande do Sul"
"27","São Paulo das Missões",1,"2020","Junho","Todas","Rio Grande do Sul"
"28","São Pedro do Butiá",1,"2020","Junho","Todas","Rio Grande do Sul"
"29","São Pedro do Sul",11,"2020","Junho","Todas","Rio Grande do Sul"
"30","São Sebastião do Caí",5,"2020","Junho","Todas","Rio Grande do Sul"
"31","São Sepé",8,"2020","Junho","Todas","Rio Grande do Sul"
"32","São Valentim",2,"2020","Junho","Todas","Rio Grande do Sul"
"33","São Vicente do Sul",5,"2020","Junho","Todas","Rio Grande do Sul"
"34","Sério",2,"2020","Junho","Todas","Rio Grande do Sul"
"35","Tabaí",1,"2020","Junho","Todas","Rio Grande do Sul"
"36","Tapejara",9,"2020","Junho","Todas","Rio Grande do Sul"
"37","Tapera",3,"2020","Junho","Todas","Rio Grande do Sul"
"38","Tapes",6,"2020","Junho","Todas","Rio Grande do Sul"
"39","Taquara",10,"2020","Junho","Todas","Rio Grande do Sul"
"40","Taquari",7,"2020","Junho","Todas","Rio Grande do Sul"
"41","Tavares",4,"2020","Junho","Todas","Rio Grande do Sul"
"42","Tenente Portela",13,"2020","Junho","Todas","Rio Grande do Sul"
"43","Terra de Areia",2,"2020","Junho","Todas","Rio Grande do Sul"
"44","Teutônia",6,"2020","Junho","Todas","Rio Grande do Sul"
"45","Tio Hugo",1,"2020","Junho","Todas","Rio Grande do Sul"
"46","Tiradentes do Sul",1,"2020","Junho","Todas","Rio Grande do Sul"
"47","Silveira Martins",1,"2020","Junho","Todas","Rio Grande do Sul"
"48","Sinimbu",4,"2020","Junho","Todas","Rio Grande do Sul"
"49","Sobradinho",3,"2020","Junho","Todas","Rio Grande do Sul"
"50","Soledade",14,"2020","Junho","Todas","Rio Grande do Sul"
"51","São Borja",14,"2020","Junho","Todas","Rio Grande do Sul"
"52","São Domingos do Sul",1,"2020","Junho","Todas","Rio Grande do Sul"
"53","São Francisco de Assis",6,"2020","Junho","Todas","Rio Grande do Sul"
"54","São Francisco de Paula",8,"2020","Junho","Todas","Rio Grande do Sul"
"55","São Gabriel",22,"2020","Junho","Todas","Rio Grande do Sul"
"56","São Jorge",1,"2020","Junho","Todas","Rio Grande do Sul"
"57","São José do Herval",1,"2020","Junho","Todas","Rio Grande do Sul"
"58","São José do Norte",6,"2020","Junho","Todas","Rio Grande do Sul"
"59","São José do Ouro",1,"2020","Junho","Todas","Rio Grande do Sul"
"60","São José dos Ausentes",2,"2020","Junho","Todas","Rio Grande do Sul"
"61","São Leopoldo",49,"2020","Junho","Todas","Rio Grande do Sul"
"62","São Lourenço do Sul",21,"2020","Junho","Todas","Rio Grande do Sul"
"63","São Luiz Gonzaga",17,"2020","Junho","Todas","Rio Grande do Sul"
"64","São Martinho",2,"2020","Junho","Todas","Rio Grande do Sul"
"65","São Miguel das Missões",4,"2020","Junho","Todas","Rio Grande do Sul"
"66","São Nicolau",3,"2020","Junho","Todas","Rio Grande do Sul"
"67","Santiago",19,"2020","Junho","Todas","Rio Grande do Sul"
"68","Santo Angelo",17,"2020","Junho","Todas","Rio Grande do Sul"
"69","Santo Antônio da Patrulha",5,"2020","Junho","Todas","Rio Grande do Sul"
"70","Santo Antônio das Missões",6,"2020","Junho","Todas","Rio Grande do Sul"
"71","Santo Augusto",10,"2020","Junho","Todas","Rio Grande do Sul"
"72","Santo Cristo",1,"2020","Junho","Todas","Rio Grande do Sul"
"73","Santo Expedito do Sul",2,"2020","Junho","Todas","Rio Grande do Sul"
"74","Sao Jeronimo",4,"2020","Junho","Todas","Rio Grande do Sul"
"75","Sao Marcos",2,"2020","Junho","Todas","Rio Grande do Sul"
"76","Sapiranga",27,"2020","Junho","Todas","Rio Grande do Sul"
"77","Sapucaia do Sul",19,"2020","Junho","Todas","Rio Grande do Sul"
"78","Sarandi",3,"2020","Junho","Todas","Rio Grande do Sul"
"79","Seberi",7,"2020","Junho","Todas","Rio Grande do Sul"
"80","Segredo",2,"2020","Junho","Todas","Rio Grande do Sul"
"81","Selbach",1,"2020","Junho","Todas","Rio Grande do Sul"
"82","Sentinela do Sul",1,"2020","Junho","Todas","Rio Grande do Sul"
"83","Serafina Correa",3,"2020","Junho","Todas","Rio Grande do Sul"
"84","Sertão",3,"2020","Junho","Todas","Rio Grande do Sul"
"85","Sertão Santana",1,"2020","Junho","Todas","Rio Grande do Sul"
"86","Severiano de Almeida",1,"2020","Junho","Todas","Rio Grande do Sul"
"87","Restinga Seca",2,"2020","Junho","Todas","Rio Grande do Sul"
"88","Rio Grande",67,"2020","Junho","Todas","Rio Grande do Sul"
"89","Rio Pardo",12,"2020","Junho","Todas","Rio Grande do Sul"
"90","Roca Sales",1,"2020","Junho","Todas","Rio Grande do Sul"
"91","Rodeio Bonito",5,"2020","Junho","Todas","Rio Grande do Sul"
"92","Rolante",10,"2020","Junho","Todas","Rio Grande do Sul"
"93","Ronda Alta",3,"2020","Junho","Todas","Rio Grande do Sul"
"94","Rondinha",1,"2020","Junho","Todas","Rio Grande do Sul"
"95","Roque Gonzales",2,"2020","Junho","Todas","Rio Grande do Sul"
"96","Rosário do Sul",19,"2020","Junho","Todas","Rio Grande do Sul"
"97","Salvador do Sul",2,"2020","Junho","Todas","Rio Grande do Sul"
"98","Sananduva",4,"2020","Junho","Todas","Rio Grande do Sul"
"99","Santa Bárbara do Sul",1,"2020","Junho","Todas","Rio Grande do Sul"
"100","Santa Clara do Sul",1,"2020","Junho","Todas","Rio Grande do Sul"
"101","Santa Cruz do Sul",39,"2020","Junho","Todas","Rio Grande do Sul"
"102","Santa Maria",96,"2020","Junho","Todas","Rio Grande do Sul"
"103","Santa Rosa",16,"2020","Junho","Todas","Rio Grande do Sul"
"104","Santa Vitória do Palmar",13,"2020","Junho","Todas","Rio Grande do Sul"
"105","Santana da Boa Vista",4,"2020","Junho","Todas","Rio Grande do Sul"
"106","Santana do Livramento",24,"2020","Junho","Todas","Rio Grande do Sul"
"107","Passo Fundo",82,"2020","Junho","Todas","Rio Grande do Sul"
"108","Passo do Sobrado",3,"2020","Junho","Todas","Rio Grande do Sul"
"109","Paverama",3,"2020","Junho","Todas","Rio Grande do Sul"
"110","Pedro Osório",5,"2020","Junho","Todas","Rio Grande do Sul"
"111","Pejuçara",1,"2020","Junho","Todas","Rio Grande do Sul"
"112","Pelotas",123,"2020","Junho","Todas","Rio Grande do Sul"
"113","Picada Cafe",1,"2020","Junho","Todas","Rio Grande do Sul"
"114","Pinhal Grande",1,"2020","Junho","Todas","Rio Grande do Sul"
