"","Cidade","Registros","Ano","Mês","Região","Estado"
"1","São Gonçalo do Amarante",13,"2020","Maio","Todas","Ceará"
"2","São João do Jaguaribe",8,"2020","Maio","Todas","Ceará"
"3","Tabuleiro do Norte",17,"2020","Maio","Todas","Ceará"
"4","Tamboril",14,"2020","Maio","Todas","Ceará"
"5","Tarrafas",4,"2020","Maio","Todas","Ceará"
"6","Tauá",26,"2020","Maio","Todas","Ceará"
"7","Tejuçuoca",8,"2020","Maio","Todas","Ceará"
"8","Tianguá",41,"2020","Maio","Todas","Ceará"
"9","Trairi",15,"2020","Maio","Todas","Ceará"
"10","Tururu",15,"2020","Maio","Todas","Ceará"
"11","Ubajara",13,"2020","Maio","Todas","Ceará"
"12","Umirim",16,"2020","Maio","Todas","Ceará"
"13","Uruburetama",15,"2020","Maio","Todas","Ceará"
"14","Uruoca",3,"2020","Maio","Todas","Ceará"
"15","Varjota",13,"2020","Maio","Todas","Ceará"
"16","Viçosa do Ceará",11,"2020","Maio","Todas","Ceará"
"17","Várzea Alegre",23,"2020","Maio","Todas","Ceará"
"18","Penaforte",5,"2020","Maio","Todas","Ceará"
"19","Pereiro",7,"2020","Maio","Todas","Ceará"
"20","Pindoretama",22,"2020","Maio","Todas","Ceará"
"21","Piquet Carneiro",12,"2020","Maio","Todas","Ceará"
"22","Potiretama",4,"2020","Maio","Todas","Ceará"
"23","Quixadá",43,"2020","Maio","Todas","Ceará"
"24","Quixeramobim",57,"2020","Maio","Todas","Ceará"
"25","Quixere",10,"2020","Maio","Todas","Ceará"
"26","Reriutaba",8,"2020","Maio","Todas","Ceará"
"27","Russas",30,"2020","Maio","Todas","Ceará"
"28","Saboeiro",5,"2020","Maio","Todas","Ceará"
"29","Salitre",1,"2020","Maio","Todas","Ceará"
"30","Santa Quitéria",32,"2020","Maio","Todas","Ceará"
"31","Santana do Acaraú",11,"2020","Maio","Todas","Ceará"
"32","Santana do Cariri",5,"2020","Maio","Todas","Ceará"
"33","Senador Pompeu",18,"2020","Maio","Todas","Ceará"
"34","Senador Sá",4,"2020","Maio","Todas","Ceará"
"35","Sobral",6,"2020","Maio","Todas","Ceará"
"36","Solonópole",4,"2020","Maio","Todas","Ceará"
"37","São Benedito",24,"2020","Maio","Todas","Ceará"
"38","Missão Velha",6,"2020","Maio","Todas","Ceará"
"39","Morada Nova",28,"2020","Maio","Todas","Ceará"
"40","Moraújo",3,"2020","Maio","Todas","Ceará"
"41","Morrinhos",13,"2020","Maio","Todas","Ceará"
"42","Mulungu",5,"2020","Maio","Todas","Ceará"
"43","Nova Russas",22,"2020","Maio","Todas","Ceará"
"44","Novo Oriente",22,"2020","Maio","Todas","Ceará"
"45","Ocara",17,"2020","Maio","Todas","Ceará"
"46","Orós",6,"2020","Maio","Todas","Ceará"
"47","Pacajus",49,"2020","Maio","Todas","Ceará"
"48","Pacatuba",49,"2020","Maio","Todas","Ceará"
"49","Pacoti",3,"2020","Maio","Todas","Ceará"
"50","Pacujá",4,"2020","Maio","Todas","Ceará"
"51","Palhano",5,"2020","Maio","Todas","Ceará"
"52","Palmácia",1,"2020","Maio","Todas","Ceará"
"53","Paracuru",19,"2020","Maio","Todas","Ceará"
"54","Paraipaba",17,"2020","Maio","Todas","Ceará"
"55","Parambu",19,"2020","Maio","Todas","Ceará"
"56","Paramoti",5,"2020","Maio","Todas","Ceará"
"57","Pedra Branca",23,"2020","Maio","Todas","Ceará"
"58","Itapiúna",2,"2020","Maio","Todas","Ceará"
"59","Itarema",2,"2020","Maio","Todas","Ceará"
"60","Jaguaretama",18,"2020","Maio","Todas","Ceará"
"61","Jaguaribe",24,"2020","Maio","Todas","Ceará"
"62","Jaguaruana",13,"2020","Maio","Todas","Ceará"
"63","Jardim",14,"2020","Maio","Todas","Ceará"
"64","Jati",8,"2020","Maio","Todas","Ceará"
