"","Cidade","Registros","Ano","Mês","Região","Estado"
"1","Varzea Grande",9,"2020","Março","Todas","Mato Grosso"
"2","Vera",8,"2020","Março","Todas","Mato Grosso"
"3","Vila Rica",4,"2020","Março","Todas","Mato Grosso"
"4","Água Boa",7,"2020","Março","Todas","Mato Grosso"
"5","Primavera do Leste",28,"2020","Março","Todas","Mato Grosso"
"6","Querência",6,"2020","Março","Todas","Mato Grosso"
"7","Ribeirão Cascalheira",4,"2020","Março","Todas","Mato Grosso"
"8","Rio Branco",2,"2020","Março","Todas","Mato Grosso"
"9","Rondonópolis",65,"2020","Março","Todas","Mato Grosso"
"10","Rosário Oeste",4,"2020","Março","Todas","Mato Grosso"
"11","Salto do Céu",1,"2020","Março","Todas","Mato Grosso"
"12","Santa Rita do Trivelato",1,"2020","Março","Todas","Mato Grosso"
"13","Santa Terezinha",1,"2020","Março","Todas","Mato Grosso"
"14","Santo Antônio do Leverger",1,"2020","Março","Todas","Mato Grosso"
"15","Sinop",47,"2020","Março","Todas","Mato Grosso"
"16","Sorriso",15,"2020","Março","Todas","Mato Grosso"
"17","São José do Povo",5,"2020","Março","Todas","Mato Grosso"
"18","São José dos Quatro Marcos",10,"2020","Março","Todas","Mato Grosso"
"19","Tabaporã",3,"2020","Março","Todas","Mato Grosso"
"20","Tangará da Serra",2,"2020","Março","Todas","Mato Grosso"
"21","Tapurah",2,"2020","Março","Todas","Mato Grosso"
"22","Terra Nova do Norte",6,"2020","Março","Todas","Mato Grosso"
"23","Torixoréu",1,"2020","Março","Todas","Mato Grosso"
"24","União do Sul",2,"2020","Março","Todas","Mato Grosso"
"25","Juruena",3,"2020","Março","Todas","Mato Grosso"
"26","Juscimeira",5,"2020","Março","Todas","Mato Grosso"
"27","Juína",17,"2020","Março","Todas","Mato Grosso"
"28","Lucas do Rio Verde",30,"2020","Março","Todas","Mato Grosso"
"29","Matupá",6,"2020","Março","Todas","Mato Grosso"
"30","Mirassol D'oeste",19,"2020","Março","Todas","Mato Grosso"
"31","Nobres",9,"2020","Março","Todas","Mato Grosso"
"32","Nossa Senhora do Livramento",2,"2020","Março","Todas","Mato Grosso"
"33","Nova Bandeirantes",1,"2020","Março","Todas","Mato Grosso"
"34","Nova Canaã do Norte",9,"2020","Março","Todas","Mato Grosso"
"35","Nova Mutum",10,"2020","Março","Todas","Mato Grosso"
"36","Nova Xavantina",12,"2020","Março","Todas","Mato Grosso"
"37","Novo Horizonte do Norte",2,"2020","Março","Todas","Mato Grosso"
"38","Novo Mundo",1,"2020","Março","Todas","Mato Grosso"
"39","Novo São Joaquim",3,"2020","Março","Todas","Mato Grosso"
"40","Paranatinga",10,"2020","Março","Todas","Mato Grosso"
"41","Paranaíta",1,"2020","Março","Todas","Mato Grosso"
"42","Pedra Preta",13,"2020","Março","Todas","Mato Grosso"
"43","Porto Alegre do Norte",1,"2020","Março","Todas","Mato Grosso"
"44","Poxoréo",10,"2020","Março","Todas","Mato Grosso"
"45","Cláudia",2,"2020","Março","Todas","Mato Grosso"
"46","Colniza",10,"2020","Março","Todas","Mato Grosso"
"47","Colíder",21,"2020","Março","Todas","Mato Grosso"
"48","Comodoro",6,"2020","Março","Todas","Mato Grosso"
"49","Confresa",11,"2020","Março","Todas","Mato Grosso"
"50","Cotriguaçu",5,"2020","Março","Todas","Mato Grosso"
"51","Cuiaba",498,"2020","Março","Todas","Mato Grosso"
"52","Cáceres",69,"2020","Março","Todas","Mato Grosso"
"53","Dom Aquino",1,"2020","Março","Todas","Mato Grosso"
"54","Feliz Natal",2,"2020","Março","Todas","Mato Grosso"
"55","General Carneiro",2,"2020","Março","Todas","Mato Grosso"
"56","Glória D'oeste",8,"2020","Março","Todas","Mato Grosso"
"57","Guarantã do Norte",9,"2020","Março","Todas","Mato Grosso"
"58","Guiratinga",4,"2020","Março","Todas","Mato Grosso"
"59","Itanhangá",3,"2020","Março","Todas","Mato Grosso"
"60","Itaúba",1,"2020","Março","Todas","Mato Grosso"
"61","Itiquira",7,"2020","Março","Todas","Mato Grosso"
"62","Jaciara",15,"2020","Março","Todas","Mato Grosso"
"63","Jauru",6,"2020","Março","Todas","Mato Grosso"
"64","Juara",6,"2020","Março","Todas","Mato Grosso"
"65","Alta Floresta",26,"2020","Março","Todas","Mato Grosso"
"66","Alto Garças",2,"2020","Março","Todas","Mato Grosso"
"67","Alto Paraguai",2,"2020","Março","Todas","Mato Grosso"
"68","Alto Taquari",2,"2020","Março","Todas","Mato Grosso"
"69","Apiacás",3,"2020","Março","Todas","Mato Grosso"
"70","Araguaiana",4,"2020","Março","Todas","Mato Grosso"
"71","Araputanga",9,"2020","Março","Todas","Mato Grosso"
"72","Arenápolis",7,"2020","Março","Todas","Mato Grosso"
"73","Aripuanã",5,"2020","Março","Todas","Mato Grosso"
"74","Barra do Bugres",11,"2020","Março","Todas","Mato Grosso"
"75","Barra do Garças",24,"2020","Março","Todas","Mato Grosso"
"76","Brasnorte",5,"2020","Março","Todas","Mato Grosso"
"77","Campinápolis",5,"2020","Março","Todas","Mato Grosso"
"78","Campo Novo do Parecis",10,"2020","Março","Todas","Mato Grosso"
"79","Campo Verde",14,"2020","Março","Todas","Mato Grosso"
"80","Campos de Júlio",1,"2020","Março","Todas","Mato Grosso"
"81","Canabrava do Norte",2,"2020","Março","Todas","Mato Grosso"
"82","Canarana",11,"2020","Março","Todas","Mato Grosso"
"83","Carlinda",5,"2020","Março","Todas","Mato Grosso"
"84","Castanheira",4,"2020","Março","Todas","Mato Grosso"
