"","Cidade","Registros","Ano","Mês","Região","Estado"
"1","Virmond",2,"2020","Março","Todas","Paraná"
"2","Vitorino",2,"2020","Março","Todas","Paraná"
"3","Wenceslau Braz",18,"2020","Março","Todas","Paraná"
"4","Xambrê",3,"2020","Março","Todas","Paraná"
"5","Ângulo",3,"2020","Março","Todas","Paraná"
"6","Teixeira Soares",4,"2020","Março","Todas","Paraná"
"7","Telemaco Borba",50,"2020","Março","Todas","Paraná"
"8","Terra Boa",16,"2020","Março","Todas","Paraná"
"9","Terra Rica",11,"2020","Março","Todas","Paraná"
"10","Terra Roxa",8,"2020","Março","Todas","Paraná"
"11","Tibagi",5,"2020","Março","Todas","Paraná"
"12","Tijucas do Sul",8,"2020","Março","Todas","Paraná"
"13","Toledo",80,"2020","Março","Todas","Paraná"
"14","Tomazina",10,"2020","Março","Todas","Paraná"
"15","Três Barras do Paraná",7,"2020","Março","Todas","Paraná"
"16","Tuneiras do Oeste",8,"2020","Março","Todas","Paraná"
"17","Tupãssi",3,"2020","Março","Todas","Paraná"
"18","Turvo",11,"2020","Março","Todas","Paraná"
"19","Ubiratã",23,"2020","Março","Todas","Paraná"
"20","Umuarama",83,"2020","Março","Todas","Paraná"
"21","Uniflor",1,"2020","Março","Todas","Paraná"
"22","União da Vitória",25,"2020","Março","Todas","Paraná"
"23","Uraí",5,"2020","Março","Todas","Paraná"
"24","Vera Cruz do Oeste",6,"2020","Março","Todas","Paraná"
"25","Verê",4,"2020","Março","Todas","Paraná"
"26","Siqueira Campos",16,"2020","Março","Todas","Paraná"
"27","Sulina",2,"2020","Março","Todas","Paraná"
"28","São Jerônimo da Serra",3,"2020","Março","Todas","Paraná"
"29","São Jorge D'oeste",3,"2020","Março","Todas","Paraná"
"30","São Jorge do Ivaí",5,"2020","Março","Todas","Paraná"
"31","São Jorge do Patrocínio",4,"2020","Março","Todas","Paraná"
"32","São José da Boa Vista",1,"2020","Março","Todas","Paraná"
"33","São José das Palmeiras",3,"2020","Março","Todas","Paraná"
"34","São José dos Pinhais",135,"2020","Março","Todas","Paraná"
"35","São João",3,"2020","Março","Todas","Paraná"
"36","São João do Ivaí",11,"2020","Março","Todas","Paraná"
"37","São João do Triunfo",4,"2020","Março","Todas","Paraná"
"38","São Manoel do Paraná",1,"2020","Março","Todas","Paraná"
"39","São Pedro do Ivaí",5,"2020","Março","Todas","Paraná"
"40","São Sebastião da Amoreira",7,"2020","Março","Todas","Paraná"
"41","São Tomé",3,"2020","Março","Todas","Paraná"
"42","Tamarana",1,"2020","Março","Todas","Paraná"
"43","Tamboara",1,"2020","Março","Todas","Paraná"
"44","Tapejara",14,"2020","Março","Todas","Paraná"
"45","Tapira",7,"2020","Março","Todas","Paraná"
"46","Salto do Lontra",10,"2020","Março","Todas","Paraná"
"47","Santa Cruz de Monte Castelo",8,"2020","Março","Todas","Paraná"
"48","Santa Fé",8,"2020","Março","Todas","Paraná"
"49","Santa Helena",15,"2020","Março","Todas","Paraná"
"50","Santa Isabel do Ivaí",11,"2020","Março","Todas","Paraná"
"51","Santa Izabel do Oeste",8,"2020","Março","Todas","Paraná"
"52","Santa Lúcia",2,"2020","Março","Todas","Paraná"
"53","Santa Mônica",4,"2020","Março","Todas","Paraná"
"54","Santa Tereza do Oeste",2,"2020","Março","Todas","Paraná"
"55","Santa Terezinha de Itaipu",14,"2020","Março","Todas","Paraná"
"56","Santo Antônio da Platina",29,"2020","Março","Todas","Paraná"
"57","Santo Antônio do Caiuá",3,"2020","Março","Todas","Paraná"
"58","Santo Antônio do Paraíso",4,"2020","Março","Todas","Paraná"
