"","Cidade","Registros","Ano","Mês","Região","Estado"
"1","Tenente Laurentino Cruz",2,"2020","Março","Todas","Rio Grande do Norte"
"2","Tibau",3,"2020","Março","Todas","Rio Grande do Norte"
"3","Tibau do Sul",6,"2020","Março","Todas","Rio Grande do Norte"
"4","Touros",11,"2020","Março","Todas","Rio Grande do Norte"
"5","Upanema",7,"2020","Março","Todas","Rio Grande do Norte"
"6","Vila Flor",1,"2020","Março","Todas","Rio Grande do Norte"
"7","Santa Maria",4,"2020","Março","Todas","Rio Grande do Norte"
"8","Santana do Matos",8,"2020","Março","Todas","Rio Grande do Norte"
"9","Santana do Seridó",2,"2020","Março","Todas","Rio Grande do Norte"
"10","Senador Elói de Souza",3,"2020","Março","Todas","Rio Grande do Norte"
"11","Serra Caiada",5,"2020","Março","Todas","Rio Grande do Norte"
"12","Serra Negra do Norte",5,"2020","Março","Todas","Rio Grande do Norte"
"13","Serra de São Bento",4,"2020","Março","Todas","Rio Grande do Norte"
"14","Serra do Mel",1,"2020","Março","Todas","Rio Grande do Norte"
"15","São Bento do Norte",4,"2020","Março","Todas","Rio Grande do Norte"
"16","São Francisco do Oeste",1,"2020","Março","Todas","Rio Grande do Norte"
"17","São Gonçalo do Amarante",35,"2020","Março","Todas","Rio Grande do Norte"
"18","São José do Campestre",9,"2020","Março","Todas","Rio Grande do Norte"
"19","São José do Seridó",4,"2020","Março","Todas","Rio Grande do Norte"
"20","São Miguel do Gostoso",6,"2020","Março","Todas","Rio Grande do Norte"
"21","São Paulo do Potengi",11,"2020","Março","Todas","Rio Grande do Norte"
"22","São Rafael",7,"2020","Março","Todas","Rio Grande do Norte"
"23","São Tomé",5,"2020","Março","Todas","Rio Grande do Norte"
"24","Sítio Novo",5,"2020","Março","Todas","Rio Grande do Norte"
"25","Taipu",5,"2020","Março","Todas","Rio Grande do Norte"
"26","Tangará",3,"2020","Março","Todas","Rio Grande do Norte"
"27","Marcelino Vieira",4,"2020","Março","Todas","Rio Grande do Norte"
"28","Maxaranguape",5,"2020","Março","Todas","Rio Grande do Norte"
"29","Monte Alegre",8,"2020","Março","Todas","Rio Grande do Norte"
"30","Mossoró",144,"2020","Março","Todas","Rio Grande do Norte"
"31","Natal",440,"2020","Março","Todas","Rio Grande do Norte"
"32","Nova Cruz",10,"2020","Março","Todas","Rio Grande do Norte"
"33","Parazinho",4,"2020","Março","Todas","Rio Grande do Norte"
"34","Parelhas",15,"2020","Março","Todas","Rio Grande do Norte"
"35","Parnamirim",72,"2020","Março","Todas","Rio Grande do Norte"
"36","Passa e Fica",5,"2020","Março","Todas","Rio Grande do Norte"
"37","Pedra Grande",2,"2020","Março","Todas","Rio Grande do Norte"
"38","Pedra Preta",2,"2020","Março","Todas","Rio Grande do Norte"
"39","Pedro Velho",12,"2020","Março","Todas","Rio Grande do Norte"
"40","Pendências",12,"2020","Março","Todas","Rio Grande do Norte"
"41","Portalegre",3,"2020","Março","Todas","Rio Grande do Norte"
"42","Rafael Godeiro",2,"2020","Março","Todas","Rio Grande do Norte"
"43","Riachuelo",3,"2020","Março","Todas","Rio Grande do Norte"
"44","Rio do Fogo",5,"2020","Março","Todas","Rio Grande do Norte"
"45","Ruy Barbosa",2,"2020","Março","Todas","Rio Grande do Norte"
"46","Santa Cruz",22,"2020","Março","Todas","Rio Grande do Norte"
"47","Extremoz",12,"2020","Março","Todas","Rio Grande do Norte"
"48","Florânia",6,"2020","Março","Todas","Rio Grande do Norte"
"49","Frutuoso Gomes",3,"2020","Março","Todas","Rio Grande do Norte"
"50","Goianinha",8,"2020","Março","Todas","Rio Grande do Norte"
"51","Governador Dix-Sept Rosado",7,"2020","Março","Todas","Rio Grande do Norte"
"52","Grossos",10,"2020","Março","Todas","Rio Grande do Norte"
"53","Ielmo Marinho",5,"2020","Março","Todas","Rio Grande do Norte"
"54","Itajá",3,"2020","Março","Todas","Rio Grande do Norte"
"55","Jandaíra",4,"2020","Março","Todas","Rio Grande do Norte"
"56","Jardim de Piranhas",10,"2020","Março","Todas","Rio Grande do Norte"
"57","Jardim do Seridó",7,"2020","Março","Todas","Rio Grande do Norte"
"58","Jaçanã",4,"2020","Março","Todas","Rio Grande do Norte"
"59","José da Penha",7,"2020","Março","Todas","Rio Grande do Norte"
"60","João Câmara",21,"2020","Março","Todas","Rio Grande do Norte"
"61","João Dias",1,"2020","Março","Todas","Rio Grande do Norte"
"62","Jucurutu",14,"2020","Março","Todas","Rio Grande do Norte"
"63","Lagoa Nova",7,"2020","Março","Todas","Rio Grande do Norte"
"64","Lagoa de Pedras",4,"2020","Março","Todas","Rio Grande do Norte"
"65","Lucrécia",2,"2020","Março","Todas","Rio Grande do Norte"
"66","Macaíba",42,"2020","Março","Todas","Rio Grande do Norte"
"67","Acari",9,"2020","Março","Todas","Rio Grande do Norte"
"68","Angicos",1,"2020","Março","Todas","Rio Grande do Norte"
"69","Antônio Martins",3,"2020","Março","Todas","Rio Grande do Norte"
"70","Apodi",19,"2020","Março","Todas","Rio Grande do Norte"
"71","Areia Branca",18,"2020","Março","Todas","Rio Grande do Norte"
"72","Arez",9,"2020","Março","Todas","Rio Grande do Norte"
"73","Açu",34,"2020","Março","Todas","Rio Grande do Norte"
"74","Baraúna",19,"2020","Março","Todas","Rio Grande do Norte"
"75","Baía Formosa",4,"2020","Março","Todas","Rio Grande do Norte"
"76","Bento Fernandes",5,"2020","Março","Todas","Rio Grande do Norte"
"77","Bom Jesus",3,"2020","Março","Todas","Rio Grande do Norte"
"78","Caiçara do Rio do Vento",1,"2020","Março","Todas","Rio Grande do Norte"
"79","Campo Grande",4,"2020","Março","Todas","Rio Grande do Norte"
"80","Canguaretama",11,"2020","Março","Todas","Rio Grande do Norte"
"81","Caraúbas",19,"2020","Março","Todas","Rio Grande do Norte"
"82","Carnaubais",4,"2020","Março","Todas","Rio Grande do Norte"
"83","Ceará-Mirim",35,"2020","Março","Todas","Rio Grande do Norte"
"84","Cruzeta",6,"2020","Março","Todas","Rio Grande do Norte"
"85","Currais Novos",38,"2020","Março","Todas","Rio Grande do Norte"
"86","Equador",3,"2020","Março","Todas","Rio Grande do Norte"
