"","Cidade","Registros","Ano","Mês","Região","Estado"
"1","Palmeiras de Goiás",12,"2015","Abril","Todas","Goiás"
"2","Planaltina",2,"2015","Abril","Todas","Goiás"
"3","Pontalina",16,"2015","Abril","Todas","Goiás"
"4","Porangatu",22,"2015","Abril","Todas","Goiás"
"5","Rianápolis",2,"2015","Abril","Todas","Goiás"
"6","Santa Rita do Novo Destino",1,"2015","Abril","Todas","Goiás"
"7","Santo Antônio de Goiás",1,"2015","Abril","Todas","Goiás"
"8","Santo Antônio do Descoberto",5,"2015","Abril","Todas","Goiás"
"9","Serranópolis",4,"2015","Abril","Todas","Goiás"
"10","São Francisco de Goiás",3,"2015","Abril","Todas","Goiás"
"11","São João da Paraúna",1,"2015","Abril","Todas","Goiás"
"12","Terezópolis de Goiás",2,"2015","Abril","Todas","Goiás"
"13","Trombas",3,"2015","Abril","Todas","Goiás"
"14","Turvânia",1,"2015","Abril","Todas","Goiás"
"15","Uruaçu",18,"2015","Abril","Todas","Goiás"
"16","Valparaíso de Goiás",26,"2015","Abril","Todas","Goiás"
"17","Vianópolis",3,"2015","Abril","Todas","Goiás"
"18","Vicentinópolis",4,"2015","Abril","Todas","Goiás"
"19","Vila Propício",8,"2015","Abril","Todas","Goiás"
"20","Águas Lindas de Goiás",30,"2015","Abril","Todas","Goiás"
"21","Cristalina",25,"2015","Abril","Todas","Goiás"
"22","Cromínia",2,"2015","Abril","Todas","Goiás"
"23","Fazenda Nova",3,"2015","Abril","Todas","Goiás"
"24","Formosa",49,"2015","Abril","Todas","Goiás"
"25","Formoso",2,"2015","Abril","Todas","Goiás"
"26","Goianira",11,"2015","Abril","Todas","Goiás"
"27","Goianésia",33,"2015","Abril","Todas","Goiás"
"28","Goiânia",1188,"2015","Abril","Todas","Goiás"
"29","Inaciolândia",1,"2015","Abril","Todas","Goiás"
"30","Inhumas",29,"2015","Abril","Todas","Goiás"
"31","Iporá",1,"2015","Abril","Todas","Goiás"
"32","Itumbiara",14,"2015","Abril","Todas","Goiás"
"33","Jaraguá",19,"2015","Abril","Todas","Goiás"
"34","Mara Rosa",3,"2015","Abril","Todas","Goiás"
"35","Matrinchã",3,"2015","Abril","Todas","Goiás"
"36","Maurilândia",5,"2015","Abril","Todas","Goiás"
"37","Mineiros",1,"2015","Abril","Todas","Goiás"
"38","Nazário",5,"2015","Abril","Todas","Goiás"
"39","Niquelandia",14,"2015","Abril","Todas","Goiás"
"40","Novo Gama",14,"2015","Abril","Todas","Goiás"
"41","Abadia de Goiás",4,"2015","Abril","Todas","Goiás"
"42","Alexania",11,"2015","Abril","Todas","Goiás"
"43","Alto Paraíso de Goiás",2,"2015","Abril","Todas","Goiás"
"44","Anapolis",242,"2015","Abril","Todas","Goiás"
"45","Anhanguera",2,"2015","Abril","Todas","Goiás"
"46","Aparecida de Goiania",101,"2015","Abril","Todas","Goiás"
"47","Aporé",1,"2015","Abril","Todas","Goiás"
"48","Aragoiânia",3,"2015","Abril","Todas","Goiás"
"49","Bonópolis",1,"2015","Abril","Todas","Goiás"
"50","Cachoeira Dourada",3,"2015","Abril","Todas","Goiás"
"51","Caldas Novas",38,"2015","Abril","Todas","Goiás"
"52","Campinaçu",1,"2015","Abril","Todas","Goiás"
"53","Campo Alegre de Goiás",3,"2015","Abril","Todas","Goiás"
"54","Campo Limpo de Goiás",1,"2015","Abril","Todas","Goiás"
"55","Castelândia",3,"2015","Abril","Todas","Goiás"
"56","Catalao",54,"2015","Abril","Todas","Goiás"
"57","Cezarina",2,"2015","Abril","Todas","Goiás"
"58","Cidade Ocidental",18,"2015","Abril","Todas","Goiás"
"59","Cocalzinho de Goias",4,"2015","Abril","Todas","Goiás"
"60","Corumbá de Goiás",1,"2015","Abril","Todas","Goiás"
