"","Cidade","Registros","Ano","Mês","Região","Estado"
"1","São João do Rio do Peixe",11,"2015","Abril","Todas","Paraíba"
"2","São Mamede",2,"2015","Abril","Todas","Paraíba"
"3","São Miguel de Taipu",2,"2015","Abril","Todas","Paraíba"
"4","São Sebastião de Lagoa de Roça",4,"2015","Abril","Todas","Paraíba"
"5","Taperoá",5,"2015","Abril","Todas","Paraíba"
"6","Tavares",2,"2015","Abril","Todas","Paraíba"
"7","Uiraúna",6,"2015","Abril","Todas","Paraíba"
"8","Umbuzeiro",2,"2015","Abril","Todas","Paraíba"
"9","Água Branca",4,"2015","Abril","Todas","Paraíba"
"10","Serra Branca",6,"2015","Abril","Todas","Paraíba"
"11","Serra da Raiz",2,"2015","Abril","Todas","Paraíba"
"12","Serraria",3,"2015","Abril","Todas","Paraíba"
"13","Sertãozinho",5,"2015","Abril","Todas","Paraíba"
"14","Sobrado",1,"2015","Abril","Todas","Paraíba"
"15","Soledade",10,"2015","Abril","Todas","Paraíba"
"16","Sossêgo",1,"2015","Abril","Todas","Paraíba"
"17","Sousa",37,"2015","Abril","Todas","Paraíba"
"18","São Bento",13,"2015","Abril","Todas","Paraíba"
"19","São Domingos do Cariri",1,"2015","Abril","Todas","Paraíba"
"20","São Francisco",1,"2015","Abril","Todas","Paraíba"
"21","São José da Lagoa Tapada",6,"2015","Abril","Todas","Paraíba"
"22","São José de Caiana",3,"2015","Abril","Todas","Paraíba"
"23","São José de Piranhas",13,"2015","Abril","Todas","Paraíba"
"24","São José de Princesa",1,"2015","Abril","Todas","Paraíba"
"25","São José do Bonfim",2,"2015","Abril","Todas","Paraíba"
"26","São José do Sabugi",1,"2015","Abril","Todas","Paraíba"
"27","São José dos Cordeiros",3,"2015","Abril","Todas","Paraíba"
"28","São José dos Ramos",2,"2015","Abril","Todas","Paraíba"
"29","São João do Cariri",3,"2015","Abril","Todas","Paraíba"
"30","Pedro Régis",3,"2015","Abril","Todas","Paraíba"
"31","Piancó",15,"2015","Abril","Todas","Paraíba"
"32","Picuí",13,"2015","Abril","Todas","Paraíba"
"33","Pilõezinhos",2,"2015","Abril","Todas","Paraíba"
"34","Pirpirituba",2,"2015","Abril","Todas","Paraíba"
"35","Pitimbu",4,"2015","Abril","Todas","Paraíba"
"36","Pombal",20,"2015","Abril","Todas","Paraíba"
"37","Poço Dantas",2,"2015","Abril","Todas","Paraíba"
"38","Poço de José de Moura",4,"2015","Abril","Todas","Paraíba"
"39","Prata",1,"2015","Abril","Todas","Paraíba"
"40","Remígio",10,"2015","Abril","Todas","Paraíba"
"41","Rio Tinto",1,"2015","Abril","Todas","Paraíba"
"42","Salgado de São Félix",3,"2015","Abril","Todas","Paraíba"
"43","Santa Cecília",4,"2015","Abril","Todas","Paraíba"
"44","Santa Helena",6,"2015","Abril","Todas","Paraíba"
"45","Santa Luzia",3,"2015","Abril","Todas","Paraíba"
"46","Santa Rita",81,"2015","Abril","Todas","Paraíba"
"47","Santana dos Garrotes",2,"2015","Abril","Todas","Paraíba"
"48","Santarém",1,"2015","Abril","Todas","Paraíba"
"49","Santo André",1,"2015","Abril","Todas","Paraíba"
"50","Logradouro",3,"2015","Abril","Todas","Paraíba"
"51","Malta",1,"2015","Abril","Todas","Paraíba"
"52","Mamanguape",39,"2015","Abril","Todas","Paraíba"
"53","Manaíra",1,"2015","Abril","Todas","Paraíba"
"54","Marcação",3,"2015","Abril","Todas","Paraíba"
"55","Mari",6,"2015","Abril","Todas","Paraíba"
"56","Massaranduba",3,"2015","Abril","Todas","Paraíba"
"57","Maturéia",3,"2015","Abril","Todas","Paraíba"
"58","Montadas",2,"2015","Abril","Todas","Paraíba"
"59","Monteiro",19,"2015","Abril","Todas","Paraíba"
"60","Mãe D'água",2,"2015","Abril","Todas","Paraíba"
"61","Natuba",2,"2015","Abril","Todas","Paraíba"
"62","Nova Olinda",2,"2015","Abril","Todas","Paraíba"
"63","Nova Palmeira",1,"2015","Abril","Todas","Paraíba"
"64","Olivedos",1,"2015","Abril","Todas","Paraíba"
"65","Ouro Velho",2,"2015","Abril","Todas","Paraíba"
"66","Passagem",2,"2015","Abril","Todas","Paraíba"
"67","Patos",20,"2015","Abril","Todas","Paraíba"
"68","Paulista",4,"2015","Abril","Todas","Paraíba"
"69","Pedra Lavrada",1,"2015","Abril","Todas","Paraíba"
"70","Emas",1,"2015","Abril","Todas","Paraíba"
"71","Esperança",15,"2015","Abril","Todas","Paraíba"
"72","Gado Bravo",2,"2015","Abril","Todas","Paraíba"
"73","Guarabira",35,"2015","Abril","Todas","Paraíba"
"74","Ibiara",4,"2015","Abril","Todas","Paraíba"
"75","Igaracy",1,"2015","Abril","Todas","Paraíba"
"76","Ingá",11,"2015","Abril","Todas","Paraíba"
"77","Itaporanga",16,"2015","Abril","Todas","Paraíba"
"78","Itatuba",3,"2015","Abril","Todas","Paraíba"
"79","Jacaraú",2,"2015","Abril","Todas","Paraíba"
"80","Jericó",1,"2015","Abril","Todas","Paraíba"
