"","Cidade","Registros","Ano","Mês","Região","Estado"
"1","Pimenteiras do Oeste",1,"2015","Agosto","Todas","Rondônia"
"2","Porto Velho",117,"2015","Agosto","Todas","Rondônia"
"3","Presidente Médici",14,"2015","Agosto","Todas","Rondônia"
"4","Santa Luzia D'oeste",1,"2015","Agosto","Todas","Rondônia"
"5","Seringueiras",1,"2015","Agosto","Todas","Rondônia"
"6","São Francisco do Guaporé",5,"2015","Agosto","Todas","Rondônia"
"7","São Miguel do Guaporé",8,"2015","Agosto","Todas","Rondônia"
"8","Theobroma",2,"2015","Agosto","Todas","Rondônia"
"9","Urupá",4,"2015","Agosto","Todas","Rondônia"
"10","Vale do Anari",2,"2015","Agosto","Todas","Rondônia"
"11","Vale do Paraíso",1,"2015","Agosto","Todas","Rondônia"
"12","Vilhena",43,"2015","Agosto","Todas","Rondônia"
"13","Alta Floresta D'oeste",10,"2015","Agosto","Todas","Rondônia"
"14","Alto Alegre dos Parecis",1,"2015","Agosto","Todas","Rondônia"
"15","Ariquemes",33,"2015","Agosto","Todas","Rondônia"
"16","Buritis",8,"2015","Agosto","Todas","Rondônia"
"17","Cacaulândia",1,"2015","Agosto","Todas","Rondônia"
"18","Cacoal",76,"2015","Agosto","Todas","Rondônia"
"19","Candeias do Jamari",3,"2015","Agosto","Todas","Rondônia"
"20","Cerejeiras",4,"2015","Agosto","Todas","Rondônia"
"21","Colorado do Oeste",2,"2015","Agosto","Todas","Rondônia"
"22","Corumbiara",2,"2015","Agosto","Todas","Rondônia"
"23","Espigão do Oeste",7,"2015","Agosto","Todas","Rondônia"
"24","Guajara-Mirim",14,"2015","Agosto","Todas","Rondônia"
"25","Jaru",8,"2015","Agosto","Todas","Rondônia"
"26","Ji-Paraná",45,"2015","Agosto","Todas","Rondônia"
"27","Ministro Andreazza",2,"2015","Agosto","Todas","Rondônia"
"28","Mirante da Serra",6,"2015","Agosto","Todas","Rondônia"
"29","Nova União",1,"2015","Agosto","Todas","Rondônia"
"30","Ouro Preto do Oeste",17,"2015","Agosto","Todas","Rondônia"
"31","Parecis",1,"2015","Agosto","Todas","Rondônia"
"32","Pimenta Bueno",10,"2015","Agosto","Todas","Rondônia"
