"","Cidade","Registros","Ano","Mês","Região","Estado"
"1","Vargem Grande do Sul",28,"2015","Agosto","Todas","São Paulo"
"2","Varzea Paulista",21,"2015","Agosto","Todas","São Paulo"
"3","Vera Cruz",3,"2015","Agosto","Todas","São Paulo"
"4","Vinhedo",7,"2015","Agosto","Todas","São Paulo"
"5","Viradouro",3,"2015","Agosto","Todas","São Paulo"
"6","Vista Alegre do Alto",1,"2015","Agosto","Todas","São Paulo"
"7","Vitória Brasil",1,"2015","Agosto","Todas","São Paulo"
"8","Votorantim",50,"2015","Agosto","Todas","São Paulo"
"9","Votuporanga",88,"2015","Agosto","Todas","São Paulo"
"10","Águas da Prata",4,"2015","Agosto","Todas","São Paulo"
"11","Águas de Lindóia",10,"2015","Agosto","Todas","São Paulo"
"12","Álvares Florence",1,"2015","Agosto","Todas","São Paulo"
"13","Álvares Machado",3,"2015","Agosto","Todas","São Paulo"
"14","Álvaro de Carvalho",3,"2015","Agosto","Todas","São Paulo"
"15","Terra Roxa",2,"2015","Agosto","Todas","São Paulo"
"16","Tiete",23,"2015","Agosto","Todas","São Paulo"
"17","Timburi",1,"2015","Agosto","Todas","São Paulo"
"18","Torre de Pedra",1,"2015","Agosto","Todas","São Paulo"
"19","Torrinha",9,"2015","Agosto","Todas","São Paulo"
"20","Trabiju",1,"2015","Agosto","Todas","São Paulo"
"21","Tremembé",14,"2015","Agosto","Todas","São Paulo"
"22","Três Fronteiras",2,"2015","Agosto","Todas","São Paulo"
"23","Tuiuti",3,"2015","Agosto","Todas","São Paulo"
"24","Tupa",47,"2015","Agosto","Todas","São Paulo"
"25","Tupi Paulista",13,"2015","Agosto","Todas","São Paulo"
"26","Turmalina",2,"2015","Agosto","Todas","São Paulo"
"27","Ubarana",1,"2015","Agosto","Todas","São Paulo"
"28","Ubatuba",31,"2015","Agosto","Todas","São Paulo"
"29","Urupês",6,"2015","Agosto","Todas","São Paulo"
"30","Valentim Gentil",2,"2015","Agosto","Todas","São Paulo"
"31","Valinhos",81,"2015","Agosto","Todas","São Paulo"
"32","Valparaíso",7,"2015","Agosto","Todas","São Paulo"
"33","Vargem",3,"2015","Agosto","Todas","São Paulo"
"34","Vargem Grande Paulista",6,"2015","Agosto","Todas","São Paulo"
"35","São Vicente",101,"2015","Agosto","Todas","São Paulo"
"36","Tabapuã",5,"2015","Agosto","Todas","São Paulo"
"37","Tabatinga",9,"2015","Agosto","Todas","São Paulo"
"38","Taboão da Serra",127,"2015","Agosto","Todas","São Paulo"
"39","Taguaí",4,"2015","Agosto","Todas","São Paulo"
"40","Taiaçu",1,"2015","Agosto","Todas","São Paulo"
"41","Taiúva",1,"2015","Agosto","Todas","São Paulo"
"42","Tambaú",13,"2015","Agosto","Todas","São Paulo"
"43","Tanabi",5,"2015","Agosto","Todas","São Paulo"
"44","Tapiratiba",10,"2015","Agosto","Todas","São Paulo"
"45","Tapiraí",4,"2015","Agosto","Todas","São Paulo"
"46","Taquaral",1,"2015","Agosto","Todas","São Paulo"
"47","Taquaritinga",25,"2015","Agosto","Todas","São Paulo"
"48","Taquarituba",13,"2015","Agosto","Todas","São Paulo"
"49","Tarabai",3,"2015","Agosto","Todas","São Paulo"
"50","Tarumã",1,"2015","Agosto","Todas","São Paulo"
"51","Tatui",62,"2015","Agosto","Todas","São Paulo"
"52","Taubate",193,"2015","Agosto","Todas","São Paulo"
"53","Tejupá",1,"2015","Agosto","Todas","São Paulo"
"54","Teodoro Sampaio",6,"2015","Agosto","Todas","São Paulo"
"55","São Bernardo do Campo",251,"2015","Agosto","Todas","São Paulo"
"56","São Caetano do Sul",69,"2015","Agosto","Todas","São Paulo"
"57","São Carlos",154,"2015","Agosto","Todas","São Paulo"
"58","São Joaquim da Barra",32,"2015","Agosto","Todas","São Paulo"
"59","São José da Bela Vista",1,"2015","Agosto","Todas","São Paulo"
"60","São José do Rio Pardo",46,"2015","Agosto","Todas","São Paulo"
"61","São José do Rio Preto",425,"2015","Agosto","Todas","São Paulo"
"62","São José dos Campos",356,"2015","Agosto","Todas","São Paulo"
"63","São João da Boa Vista",25,"2015","Agosto","Todas","São Paulo"
"64","São Lourenço da Serra",2,"2015","Agosto","Todas","São Paulo"
"65","São Luiz do Paraitinga",8,"2015","Agosto","Todas","São Paulo"
"66","São Manuel",14,"2015","Agosto","Todas","São Paulo"
"67","São Miguel Arcanjo",12,"2015","Agosto","Todas","São Paulo"
"68","São Paulo",6671,"2015","Agosto","Todas","São Paulo"
"69","São Pedro",9,"2015","Agosto","Todas","São Paulo"
"70","São Pedro do Turvo",2,"2015","Agosto","Todas","São Paulo"
"71","São Roque",44,"2015","Agosto","Todas","São Paulo"
"72","São Sebastião",36,"2015","Agosto","Todas","São Paulo"
"73","São Sebastião da Grama",1,"2015","Agosto","Todas","São Paulo"
"74","São Simão",9,"2015","Agosto","Todas","São Paulo"
"75","Santo Antônio do Aracanguá",3,"2015","Agosto","Todas","São Paulo"
"76","Santo Antônio do Pinhal",7,"2015","Agosto","Todas","São Paulo"
"77","Santo Expedito",1,"2015","Agosto","Todas","São Paulo"
"78","Santos",456,"2015","Agosto","Todas","São Paulo"
"79","Sarapuí",5,"2015","Agosto","Todas","São Paulo"
"80","Sarutaiá",1,"2015","Agosto","Todas","São Paulo"
"81","Serra Azul",3,"2015","Agosto","Todas","São Paulo"
"82","Serra Negra",11,"2015","Agosto","Todas","São Paulo"
"83","Serrana",5,"2015","Agosto","Todas","São Paulo"
"84","Sertãozinho",86,"2015","Agosto","Todas","São Paulo"
"85","Sete Barras",4,"2015","Agosto","Todas","São Paulo"
"86","Severínia",1,"2015","Agosto","Todas","São Paulo"
"87","Silveiras",1,"2015","Agosto","Todas","São Paulo"
"88","Socorro",24,"2015","Agosto","Todas","São Paulo"
"89","Sorocaba",439,"2015","Agosto","Todas","São Paulo"
"90","Sud Mennucci",1,"2015","Agosto","Todas","São Paulo"
"91","Sumare",99,"2015","Agosto","Todas","São Paulo"
"92","Suzano",78,"2015","Agosto","Todas","São Paulo"
"93","Suzanápolis",1,"2015","Agosto","Todas","São Paulo"
"94","São Bento do Sapucaí",6,"2015","Agosto","Todas","São Paulo"
"95","Santa Branca",3,"2015","Agosto","Todas","São Paulo"
"96","Santa Clara D'oeste",1,"2015","Agosto","Todas","São Paulo"
"97","Santa Cruz das Palmeiras",7,"2015","Agosto","Todas","São Paulo"
"98","Santa Cruz do Rio Pardo",36,"2015","Agosto","Todas","São Paulo"
"99","Santa Ernestina",2,"2015","Agosto","Todas","São Paulo"
"100","Santa Fé do Sul",25,"2015","Agosto","Todas","São Paulo"
"101","Santa Gertrudes",11,"2015","Agosto","Todas","São Paulo"
"102","Santa Isabel",25,"2015","Agosto","Todas","São Paulo"
"103","Santa Lúcia",2,"2015","Agosto","Todas","São Paulo"
"104","Santa Maria da Serra",2,"2015","Agosto","Todas","São Paulo"
"105","Santa Mercedes",1,"2015","Agosto","Todas","São Paulo"
"106","Santa Rita D'oeste",1,"2015","Agosto","Todas","São Paulo"
"107","Santa Rita do Passa Quatro",18,"2015","Agosto","Todas","São Paulo"
"108","Santa Rosa de Viterbo",5,"2015","Agosto","Todas","São Paulo"
"109","Santana da Ponte Pensa",1,"2015","Agosto","Todas","São Paulo"
"110","Santana de Parnaíba",33,"2015","Agosto","Todas","São Paulo"
"111","Santo Anastácio",10,"2015","Agosto","Todas","São Paulo"
"112","Santo Andre",388,"2015","Agosto","Todas","São Paulo"
"113","Santo Antonio de Posse",5,"2015","Agosto","Todas","São Paulo"
"114","Santo Antônio da Alegria",2,"2015","Agosto","Todas","São Paulo"
"115","Rio Claro",110,"2015","Agosto","Todas","São Paulo"
"116","Rio Grande da Serra",7,"2015","Agosto","Todas","São Paulo"
"117","Rio das Pedras",9,"2015","Agosto","Todas","São Paulo"
