"","Cidade","Registros","Ano","Mês","Região","Estado"
"1","Miracema do Tocantins",1,"2015","Agosto","Todas","Tocantins"
"2","Monte Santo do Tocantins",2,"2015","Agosto","Todas","Tocantins"
"3","Novo Acordo",1,"2015","Agosto","Todas","Tocantins"
"4","Palmas",123,"2015","Agosto","Todas","Tocantins"
"5","Palmeirante",3,"2015","Agosto","Todas","Tocantins"
"6","Palmeirópolis",5,"2015","Agosto","Todas","Tocantins"
"7","Paraiso do Tocantins",16,"2015","Agosto","Todas","Tocantins"
"8","Paranã",2,"2015","Agosto","Todas","Tocantins"
"9","Pau D'arco",2,"2015","Agosto","Todas","Tocantins"
"10","Pindorama do Tocantins",2,"2015","Agosto","Todas","Tocantins"
"11","Pium",2,"2015","Agosto","Todas","Tocantins"
"12","Ponte Alta do Tocantins",3,"2015","Agosto","Todas","Tocantins"
"13","Silvanópolis",2,"2015","Agosto","Todas","Tocantins"
"14","São Félix do Tocantins",4,"2015","Agosto","Todas","Tocantins"
"15","São Valério da Natividade",4,"2015","Agosto","Todas","Tocantins"
"16","Talismã",2,"2015","Agosto","Todas","Tocantins"
"17","Tocantinópolis",1,"2015","Agosto","Todas","Tocantins"
"18","Aguiarnópolis",4,"2015","Agosto","Todas","Tocantins"
"19","Almas",3,"2015","Agosto","Todas","Tocantins"
"20","Aparecida do Rio Negro",1,"2015","Agosto","Todas","Tocantins"
"21","Araguacema",1,"2015","Agosto","Todas","Tocantins"
"22","Aurora do Tocantins",2,"2015","Agosto","Todas","Tocantins"
"23","Babaçulândia",1,"2015","Agosto","Todas","Tocantins"
"24","Barra do Ouro",1,"2015","Agosto","Todas","Tocantins"
"25","Barrolândia",2,"2015","Agosto","Todas","Tocantins"
"26","Brasilândia do Tocantins",1,"2015","Agosto","Todas","Tocantins"
"27","Brejinho de Nazaré",2,"2015","Agosto","Todas","Tocantins"
"28","Campos Lindos",2,"2015","Agosto","Todas","Tocantins"
"29","Colméia",1,"2015","Agosto","Todas","Tocantins"
"30","Dois Irmãos do Tocantins",2,"2015","Agosto","Todas","Tocantins"
"31","Figueirópolis",3,"2015","Agosto","Todas","Tocantins"
"32","Fortaleza do Tabocão",1,"2015","Agosto","Todas","Tocantins"
"33","Goianorte",1,"2015","Agosto","Todas","Tocantins"
"34","Itapiratins",1,"2015","Agosto","Todas","Tocantins"
"35","Lagoa da Confusão",4,"2015","Agosto","Todas","Tocantins"
"36","Lajeado",1,"2015","Agosto","Todas","Tocantins"
"37","Maurilândia do Tocantins",2,"2015","Agosto","Todas","Tocantins"
