"","Cidade","Registros","Ano","Mês","Região","Estado"
"1","São Roque do Canaã",3,"2015","Dezembro","Todas","Espírito Santo"
"2","Vargem Alta",2,"2015","Dezembro","Todas","Espírito Santo"
"3","Venda Nova do Imigrante",10,"2015","Dezembro","Todas","Espírito Santo"
"4","Vila Pavão",1,"2015","Dezembro","Todas","Espírito Santo"
"5","Vila Valério",5,"2015","Dezembro","Todas","Espírito Santo"
"6","Vila Velha",241,"2015","Dezembro","Todas","Espírito Santo"
"7","Vitória",347,"2015","Dezembro","Todas","Espírito Santo"
"8","Água Doce do Norte",1,"2015","Dezembro","Todas","Espírito Santo"
"9","Águia Branca",6,"2015","Dezembro","Todas","Espírito Santo"
"10","Marilândia",3,"2015","Dezembro","Todas","Espírito Santo"
"11","Mimoso do Sul",12,"2015","Dezembro","Todas","Espírito Santo"
"12","Montanha",3,"2015","Dezembro","Todas","Espírito Santo"
"13","Muniz Freire",10,"2015","Dezembro","Todas","Espírito Santo"
"14","Muqui",6,"2015","Dezembro","Todas","Espírito Santo"
"15","Nova Venécia",16,"2015","Dezembro","Todas","Espírito Santo"
"16","Pancas",5,"2015","Dezembro","Todas","Espírito Santo"
"17","Pedro Canário",7,"2015","Dezembro","Todas","Espírito Santo"
"18","Pinheiros",6,"2015","Dezembro","Todas","Espírito Santo"
"19","Piuma",8,"2015","Dezembro","Todas","Espírito Santo"
"20","Rio Bananal",1,"2015","Dezembro","Todas","Espírito Santo"
"21","Rio Novo do Sul",2,"2015","Dezembro","Todas","Espírito Santo"
"22","Santa Leopoldina",4,"2015","Dezembro","Todas","Espírito Santo"
"23","Santa Maria de Jetiba",10,"2015","Dezembro","Todas","Espírito Santo"
"24","Santa Teresa",14,"2015","Dezembro","Todas","Espírito Santo"
"25","Serra",226,"2015","Dezembro","Todas","Espírito Santo"
"26","Sooretama",1,"2015","Dezembro","Todas","Espírito Santo"
"27","São Domingos do Norte",5,"2015","Dezembro","Todas","Espírito Santo"
"28","São Gabriel da Palha",15,"2015","Dezembro","Todas","Espírito Santo"
"29","São Mateus",92,"2015","Dezembro","Todas","Espírito Santo"
"30","Fundão",5,"2015","Dezembro","Todas","Espírito Santo"
"31","Governador Lindenberg",3,"2015","Dezembro","Todas","Espírito Santo"
"32","Guarapari",27,"2015","Dezembro","Todas","Espírito Santo"
"33","Guaçuí",30,"2015","Dezembro","Todas","Espírito Santo"
"34","Ibatiba",11,"2015","Dezembro","Todas","Espírito Santo"
"35","Ibiraçu",2,"2015","Dezembro","Todas","Espírito Santo"
"36","Iconha",2,"2015","Dezembro","Todas","Espírito Santo"
"37","Irupi",4,"2015","Dezembro","Todas","Espírito Santo"
"38","Itaguaçu",3,"2015","Dezembro","Todas","Espírito Santo"
"39","Itapemirim",23,"2015","Dezembro","Todas","Espírito Santo"
"40","Itarana",1,"2015","Dezembro","Todas","Espírito Santo"
"41","Iúna",5,"2015","Dezembro","Todas","Espírito Santo"
"42","Jaguaré",4,"2015","Dezembro","Todas","Espírito Santo"
"43","Jerônimo Monteiro",6,"2015","Dezembro","Todas","Espírito Santo"
"44","João Neiva",9,"2015","Dezembro","Todas","Espírito Santo"
"45","Laranja da Terra",3,"2015","Dezembro","Todas","Espírito Santo"
"46","Linhares",76,"2015","Dezembro","Todas","Espírito Santo"
"47","Mantenópolis",5,"2015","Dezembro","Todas","Espírito Santo"
"48","Marataízes",3,"2015","Dezembro","Todas","Espírito Santo"
"49","Marechal Floriano",5,"2015","Dezembro","Todas","Espírito Santo"
"50","Afonso Claudio",3,"2015","Dezembro","Todas","Espírito Santo"
"51","Alegre",16,"2015","Dezembro","Todas","Espírito Santo"
"52","Alfredo Chaves",3,"2015","Dezembro","Todas","Espírito Santo"
"53","Alto Rio Novo",3,"2015","Dezembro","Todas","Espírito Santo"
"54","Anchieta",10,"2015","Dezembro","Todas","Espírito Santo"
"55","Apiacá",2,"2015","Dezembro","Todas","Espírito Santo"
"56","Aracruz",24,"2015","Dezembro","Todas","Espírito Santo"
"57","Atilio Vivacqua",5,"2015","Dezembro","Todas","Espírito Santo"
"58","Baixo Guandu",10,"2015","Dezembro","Todas","Espírito Santo"
"59","Barra de São Francisco",30,"2015","Dezembro","Todas","Espírito Santo"
"60","Boa Esperança",4,"2015","Dezembro","Todas","Espírito Santo"
"61","Bom Jesus do Norte",2,"2015","Dezembro","Todas","Espírito Santo"
"62","Brejetuba",4,"2015","Dezembro","Todas","Espírito Santo"
"63","Cachoeiro de Itapemirim",147,"2015","Dezembro","Todas","Espírito Santo"
"64","Cariacica",96,"2015","Dezembro","Todas","Espírito Santo"
"65","Castelo",10,"2015","Dezembro","Todas","Espírito Santo"
"66","Colatina",112,"2015","Dezembro","Todas","Espírito Santo"
"67","Conceição do Castelo",3,"2015","Dezembro","Todas","Espírito Santo"
"68","Domingos Martins",15,"2015","Dezembro","Todas","Espírito Santo"
"69","Ecoporanga",8,"2015","Dezembro","Todas","Espírito Santo"
