"","Cidade","Registros","Ano","Mês","Região","Estado"
"1","Varzea Grande",53,"2015","Dezembro","Todas","Mato Grosso"
"2","Vera",1,"2015","Dezembro","Todas","Mato Grosso"
"3","Vila Bela da Santíssima Trindade",6,"2015","Dezembro","Todas","Mato Grosso"
"4","Vila Rica",9,"2015","Dezembro","Todas","Mato Grosso"
"5","Água Boa",8,"2015","Dezembro","Todas","Mato Grosso"
"6","Pedra Preta",6,"2015","Dezembro","Todas","Mato Grosso"
"7","Peixoto de Azevedo",12,"2015","Dezembro","Todas","Mato Grosso"
"8","Pontal do Araguaia",2,"2015","Dezembro","Todas","Mato Grosso"
"9","Pontes e Lacerda",10,"2015","Dezembro","Todas","Mato Grosso"
"10","Primavera do Leste",19,"2015","Dezembro","Todas","Mato Grosso"
"11","Ribeirão Cascalheira",4,"2015","Dezembro","Todas","Mato Grosso"
"12","Rondonópolis",123,"2015","Dezembro","Todas","Mato Grosso"
"13","Rosário Oeste",7,"2015","Dezembro","Todas","Mato Grosso"
"14","Santa Rita do Trivelato",1,"2015","Dezembro","Todas","Mato Grosso"
"15","Santa Terezinha",1,"2015","Dezembro","Todas","Mato Grosso"
"16","Santo Afonso",1,"2015","Dezembro","Todas","Mato Grosso"
"17","Sinop",63,"2015","Dezembro","Todas","Mato Grosso"
"18","Sorriso",38,"2015","Dezembro","Todas","Mato Grosso"
"19","São José do Povo",1,"2015","Dezembro","Todas","Mato Grosso"
"20","São José dos Quatro Marcos",2,"2015","Dezembro","Todas","Mato Grosso"
"21","Tabaporã",2,"2015","Dezembro","Todas","Mato Grosso"
"22","Tangará da Serra",52,"2015","Dezembro","Todas","Mato Grosso"
"23","Terra Nova do Norte",1,"2015","Dezembro","Todas","Mato Grosso"
"24","Tesouro",1,"2015","Dezembro","Todas","Mato Grosso"
"25","Torixoréu",1,"2015","Dezembro","Todas","Mato Grosso"
"26","Juína",24,"2015","Dezembro","Todas","Mato Grosso"
"27","Lucas do Rio Verde",15,"2015","Dezembro","Todas","Mato Grosso"
"28","Marcelândia",3,"2015","Dezembro","Todas","Mato Grosso"
"29","Matupá",4,"2015","Dezembro","Todas","Mato Grosso"
"30","Mirassol D'oeste",13,"2015","Dezembro","Todas","Mato Grosso"
"31","Nobres",4,"2015","Dezembro","Todas","Mato Grosso"
"32","Nortelândia",3,"2015","Dezembro","Todas","Mato Grosso"
"33","Nossa Senhora do Livramento",1,"2015","Dezembro","Todas","Mato Grosso"
"34","Nova Bandeirantes",5,"2015","Dezembro","Todas","Mato Grosso"
"35","Nova Canaã do Norte",2,"2015","Dezembro","Todas","Mato Grosso"
"36","Nova Guarita",3,"2015","Dezembro","Todas","Mato Grosso"
"37","Nova Lacerda",1,"2015","Dezembro","Todas","Mato Grosso"
"38","Nova Marilândia",1,"2015","Dezembro","Todas","Mato Grosso"
"39","Nova Maringá",2,"2015","Dezembro","Todas","Mato Grosso"
"40","Nova Monte Verde",2,"2015","Dezembro","Todas","Mato Grosso"
"41","Nova Mutum",7,"2015","Dezembro","Todas","Mato Grosso"
