"","Cidade","Registros","Ano","Mês","Região","Estado"
"1","Maurilândia do Tocantins",2,"2015","Dezembro","Todas","Tocantins"
"2","Miracema do Tocantins",2,"2015","Dezembro","Todas","Tocantins"
"3","Monte Santo do Tocantins",1,"2015","Dezembro","Todas","Tocantins"
"4","Novo Acordo",3,"2015","Dezembro","Todas","Tocantins"
"5","Novo Alegre",1,"2015","Dezembro","Todas","Tocantins"
"6","Palmas",171,"2015","Dezembro","Todas","Tocantins"
"7","Palmeirante",3,"2015","Dezembro","Todas","Tocantins"
"8","Palmeirópolis",2,"2015","Dezembro","Todas","Tocantins"
"9","Paraiso do Tocantins",1,"2015","Dezembro","Todas","Tocantins"
"10","Paranã",3,"2015","Dezembro","Todas","Tocantins"
"11","Pau D'arco",1,"2015","Dezembro","Todas","Tocantins"
"12","Pequizeiro",2,"2015","Dezembro","Todas","Tocantins"
"13","Pindorama do Tocantins",1,"2015","Dezembro","Todas","Tocantins"
"14","Pium",1,"2015","Dezembro","Todas","Tocantins"
"15","Ponte Alta do Tocantins",1,"2015","Dezembro","Todas","Tocantins"
"16","Rio Sono",1,"2015","Dezembro","Todas","Tocantins"
"17","Santa Maria do Tocantins",1,"2015","Dezembro","Todas","Tocantins"
"18","São Félix do Tocantins",1,"2015","Dezembro","Todas","Tocantins"
"19","São Valério da Natividade",2,"2015","Dezembro","Todas","Tocantins"
"20","Aguiarnópolis",1,"2015","Dezembro","Todas","Tocantins"
"21","Almas",2,"2015","Dezembro","Todas","Tocantins"
"22","Ananás",1,"2015","Dezembro","Todas","Tocantins"
"23","Aparecida do Rio Negro",2,"2015","Dezembro","Todas","Tocantins"
"24","Araguacema",2,"2015","Dezembro","Todas","Tocantins"
"25","Babaçulândia",7,"2015","Dezembro","Todas","Tocantins"
"26","Barra do Ouro",1,"2015","Dezembro","Todas","Tocantins"
"27","Barrolândia",1,"2015","Dezembro","Todas","Tocantins"
"28","Brejinho de Nazaré",3,"2015","Dezembro","Todas","Tocantins"
"29","Carrasco Bonito",1,"2015","Dezembro","Todas","Tocantins"
"30","Caseara",1,"2015","Dezembro","Todas","Tocantins"
"31","Centenário",1,"2015","Dezembro","Todas","Tocantins"
"32","Colméia",5,"2015","Dezembro","Todas","Tocantins"
"33","Cristalândia",2,"2015","Dezembro","Todas","Tocantins"
"34","Dois Irmãos do Tocantins",2,"2015","Dezembro","Todas","Tocantins"
"35","Figueirópolis",4,"2015","Dezembro","Todas","Tocantins"
"36","Goianorte",1,"2015","Dezembro","Todas","Tocantins"
"37","Lagoa da Confusão",1,"2015","Dezembro","Todas","Tocantins"
"38","Lajeado",2,"2015","Dezembro","Todas","Tocantins"
"39","Lizarda",1,"2015","Dezembro","Todas","Tocantins"
