"","Cidade","Registros","Ano","Mês","Região","Estado"
"1","Brasília",359,"2015","Fevereiro","Todas","Distrito Federal"
"2","Brazlândia",17,"2015","Fevereiro","Todas","Distrito Federal"
"3","Ceilandia",108,"2015","Fevereiro","Todas","Distrito Federal"
"4","Gama",124,"2015","Fevereiro","Todas","Distrito Federal"
"5","Guará",238,"2015","Fevereiro","Todas","Distrito Federal"
"6","Núcleo Bandeirantes",2,"2015","Fevereiro","Todas","Distrito Federal"
"7","Paranoá",30,"2015","Fevereiro","Todas","Distrito Federal"
"8","Planaltina",31,"2015","Fevereiro","Todas","Distrito Federal"
"9","Samambaia",32,"2015","Fevereiro","Todas","Distrito Federal"
"10","Sobradinho",26,"2015","Fevereiro","Todas","Distrito Federal"
"11","Taguatinga",108,"2015","Fevereiro","Todas","Distrito Federal"
