"","Cidade","Registros","Ano","Mês","Região","Estado"
"1","Venturosa",6,"2015","Fevereiro","Todas","Pernambuco"
"2","Verdejante",1,"2015","Fevereiro","Todas","Pernambuco"
"3","Vertente do Lério",5,"2015","Fevereiro","Todas","Pernambuco"
"4","Vertentes",5,"2015","Fevereiro","Todas","Pernambuco"
"5","Vicência",8,"2015","Fevereiro","Todas","Pernambuco"
"6","Vitória de Santo Antão",54,"2015","Fevereiro","Todas","Pernambuco"
"7","Xexéu",4,"2015","Fevereiro","Todas","Pernambuco"
"8","Água Preta",9,"2015","Fevereiro","Todas","Pernambuco"
"9","São Caitano",13,"2015","Fevereiro","Todas","Pernambuco"
"10","São Joaquim do Monte",6,"2015","Fevereiro","Todas","Pernambuco"
"11","São José da Coroa Grande",10,"2015","Fevereiro","Todas","Pernambuco"
"12","São José do Belmonte",7,"2015","Fevereiro","Todas","Pernambuco"
"13","São José do Egito",14,"2015","Fevereiro","Todas","Pernambuco"
"14","São João",9,"2015","Fevereiro","Todas","Pernambuco"
"15","São Lourenço da Mata",50,"2015","Fevereiro","Todas","Pernambuco"
"16","Tabira",2,"2015","Fevereiro","Todas","Pernambuco"
"17","Tacaimbó",6,"2015","Fevereiro","Todas","Pernambuco"
"18","Tacaratu",11,"2015","Fevereiro","Todas","Pernambuco"
"19","Tamandaré",5,"2015","Fevereiro","Todas","Pernambuco"
"20","Taquaritinga do Norte",7,"2015","Fevereiro","Todas","Pernambuco"
"21","Terezinha",5,"2015","Fevereiro","Todas","Pernambuco"
"22","Terra Nova",1,"2015","Fevereiro","Todas","Pernambuco"
"23","Timbaúba",22,"2015","Fevereiro","Todas","Pernambuco"
"24","Toritama",15,"2015","Fevereiro","Todas","Pernambuco"
"25","Trindade",3,"2015","Fevereiro","Todas","Pernambuco"
"26","Triunfo",4,"2015","Fevereiro","Todas","Pernambuco"
"27","Tupanatinga",8,"2015","Fevereiro","Todas","Pernambuco"
"28","Tuparetama",2,"2015","Fevereiro","Todas","Pernambuco"
"29","Rio Formoso",10,"2015","Fevereiro","Todas","Pernambuco"
"30","Sairé",1,"2015","Fevereiro","Todas","Pernambuco"
"31","Salgueiro",34,"2015","Fevereiro","Todas","Pernambuco"
"32","Saloá",2,"2015","Fevereiro","Todas","Pernambuco"
"33","Sanharó",7,"2015","Fevereiro","Todas","Pernambuco"
"34","Santa Cruz",2,"2015","Fevereiro","Todas","Pernambuco"
"35","Santa Cruz da Baixa Verde",2,"2015","Fevereiro","Todas","Pernambuco"
"36","Santa Cruz do Capibaribe",34,"2015","Fevereiro","Todas","Pernambuco"
"37","Santa Filomena",2,"2015","Fevereiro","Todas","Pernambuco"
"38","Santa Maria da Boa Vista",11,"2015","Fevereiro","Todas","Pernambuco"
"39","Santa Maria do Cambucá",6,"2015","Fevereiro","Todas","Pernambuco"
"40","Santa Terezinha",9,"2015","Fevereiro","Todas","Pernambuco"
"41","Serra Talhada",49,"2015","Fevereiro","Todas","Pernambuco"
"42","Serrita",6,"2015","Fevereiro","Todas","Pernambuco"
"43","Sertania",11,"2015","Fevereiro","Todas","Pernambuco"
"44","Sirinhaém",12,"2015","Fevereiro","Todas","Pernambuco"
"45","Solidão",1,"2015","Fevereiro","Todas","Pernambuco"
"46","Surubim",26,"2015","Fevereiro","Todas","Pernambuco"
"47","São Benedito do Sul",3,"2015","Fevereiro","Todas","Pernambuco"
"48","São Bento do Una",18,"2015","Fevereiro","Todas","Pernambuco"
"49","Olinda",105,"2015","Fevereiro","Todas","Pernambuco"
"50","Orobó",8,"2015","Fevereiro","Todas","Pernambuco"
"51","Orocó",5,"2015","Fevereiro","Todas","Pernambuco"
"52","Ouricuri",49,"2015","Fevereiro","Todas","Pernambuco"
"53","Palmares",65,"2015","Fevereiro","Todas","Pernambuco"
"54","Palmeirina",3,"2015","Fevereiro","Todas","Pernambuco"
"55","Panelas",10,"2015","Fevereiro","Todas","Pernambuco"
"56","Paranatama",2,"2015","Fevereiro","Todas","Pernambuco"
"57","Passira",5,"2015","Fevereiro","Todas","Pernambuco"
"58","Paudalho",13,"2015","Fevereiro","Todas","Pernambuco"
"59","Paulista",190,"2015","Fevereiro","Todas","Pernambuco"
"60","Pedra",7,"2015","Fevereiro","Todas","Pernambuco"
"61","Pesqueira",30,"2015","Fevereiro","Todas","Pernambuco"
"62","Petrolina",147,"2015","Fevereiro","Todas","Pernambuco"
"63","Petrolândia",12,"2015","Fevereiro","Todas","Pernambuco"
"64","Poção",9,"2015","Fevereiro","Todas","Pernambuco"
"65","Quixaba",1,"2015","Fevereiro","Todas","Pernambuco"
"66","Recife",1692,"2015","Fevereiro","Todas","Pernambuco"
"67","Riacho das Almas",8,"2015","Fevereiro","Todas","Pernambuco"
"68","Ribeirão",16,"2015","Fevereiro","Todas","Pernambuco"
"69","Jaboatao dos Guararapes",208,"2015","Fevereiro","Todas","Pernambuco"
"70","Jataúba",7,"2015","Fevereiro","Todas","Pernambuco"
"71","Joaquim Nabuco",5,"2015","Fevereiro","Todas","Pernambuco"
"72","João Alfredo",7,"2015","Fevereiro","Todas","Pernambuco"
"73","Jucati",4,"2015","Fevereiro","Todas","Pernambuco"
"74","Jupi",7,"2015","Fevereiro","Todas","Pernambuco"
"75","Jurema",7,"2015","Fevereiro","Todas","Pernambuco"
"76","Lagoa do Carro",8,"2015","Fevereiro","Todas","Pernambuco"
"77","Lagoa do Itaenga",8,"2015","Fevereiro","Todas","Pernambuco"
"78","Lagoa do Ouro",2,"2015","Fevereiro","Todas","Pernambuco"
"79","Lagoa dos Gatos",5,"2015","Fevereiro","Todas","Pernambuco"
"80","Lajedo",22,"2015","Fevereiro","Todas","Pernambuco"
"81","Macaparana",12,"2015","Fevereiro","Todas","Pernambuco"
"82","Machados",1,"2015","Fevereiro","Todas","Pernambuco"
"83","Manari",3,"2015","Fevereiro","Todas","Pernambuco"
"84","Maraial",3,"2015","Fevereiro","Todas","Pernambuco"
"85","Mirandiba",3,"2015","Fevereiro","Todas","Pernambuco"
"86","Moreilândia",1,"2015","Fevereiro","Todas","Pernambuco"
"87","Moreno",15,"2015","Fevereiro","Todas","Pernambuco"
"88","Nazaré da Mata",11,"2015","Fevereiro","Todas","Pernambuco"
"89","Garanhuns",104,"2015","Fevereiro","Todas","Pernambuco"
"90","Glória do Goitá",5,"2015","Fevereiro","Todas","Pernambuco"
"91","Goiana",30,"2015","Fevereiro","Todas","Pernambuco"
"92","Granito",3,"2015","Fevereiro","Todas","Pernambuco"
"93","Gravatá",29,"2015","Fevereiro","Todas","Pernambuco"
"94","Iati",5,"2015","Fevereiro","Todas","Pernambuco"
"95","Ibimirim",6,"2015","Fevereiro","Todas","Pernambuco"
"96","Ibirajuba",5,"2015","Fevereiro","Todas","Pernambuco"
"97","Igarassu",1,"2015","Fevereiro","Todas","Pernambuco"
"98","Iguaraci",2,"2015","Fevereiro","Todas","Pernambuco"
"99","Ilha de Itamaracá",2,"2015","Fevereiro","Todas","Pernambuco"
"100","Inajá",5,"2015","Fevereiro","Todas","Pernambuco"
"101","Ingazeira",2,"2015","Fevereiro","Todas","Pernambuco"
"102","Ipojuca",15,"2015","Fevereiro","Todas","Pernambuco"
"103","Ipubi",18,"2015","Fevereiro","Todas","Pernambuco"
"104","Itacuruba",3,"2015","Fevereiro","Todas","Pernambuco"
"105","Itambé",8,"2015","Fevereiro","Todas","Pernambuco"
"106","Itapetim",5,"2015","Fevereiro","Todas","Pernambuco"
"107","Itaquitinga",5,"2015","Fevereiro","Todas","Pernambuco"
"108","Itaíba",2,"2015","Fevereiro","Todas","Pernambuco"
"109","Caruaru",273,"2015","Fevereiro","Todas","Pernambuco"
"110","Casinhas",4,"2015","Fevereiro","Todas","Pernambuco"
"111","Catende",2,"2015","Fevereiro","Todas","Pernambuco"
"112","Cedro",1,"2015","Fevereiro","Todas","Pernambuco"
"113","Cha Grande",6,"2015","Fevereiro","Todas","Pernambuco"
"114","Chã de Alegria",3,"2015","Fevereiro","Todas","Pernambuco"
"115","Condado",5,"2015","Fevereiro","Todas","Pernambuco"
"116","Correntes",8,"2015","Fevereiro","Todas","Pernambuco"
"117","Cortês",2,"2015","Fevereiro","Todas","Pernambuco"
"118","Cumaru",6,"2015","Fevereiro","Todas","Pernambuco"
"119","Cupira",23,"2015","Fevereiro","Todas","Pernambuco"
"120","Custódia",13,"2015","Fevereiro","Todas","Pernambuco"
"121","Dormentes",6,"2015","Fevereiro","Todas","Pernambuco"
"122","Escada",24,"2015","Fevereiro","Todas","Pernambuco"
"123","Exu",14,"2015","Fevereiro","Todas","Pernambuco"
"124","Feira Nova",7,"2015","Fevereiro","Todas","Pernambuco"
"125","Ferreiros",4,"2015","Fevereiro","Todas","Pernambuco"
"126","Flores",6,"2015","Fevereiro","Todas","Pernambuco"
"127","Floresta",15,"2015","Fevereiro","Todas","Pernambuco"
"128","Frei Miguelinho",5,"2015","Fevereiro","Todas","Pernambuco"
"129","Bom Jardim",13,"2015","Fevereiro","Todas","Pernambuco"
"130","Bonito",1,"2015","Fevereiro","Todas","Pernambuco"
"131","Brejinho",5,"2015","Fevereiro","Todas","Pernambuco"
"132","Brejo da Madre de Deus",13,"2015","Fevereiro","Todas","Pernambuco"
"133","Brejão",1,"2015","Fevereiro","Todas","Pernambuco"
