"","Cidade","Registros","Ano","Mês","Região","Estado"
"1","Pimenta Bueno",5,"2015","Fevereiro","Todas","Rondônia"
"2","Porto Velho",62,"2015","Fevereiro","Todas","Rondônia"
"3","Presidente Médici",3,"2015","Fevereiro","Todas","Rondônia"
"4","Santa Luzia D'oeste",2,"2015","Fevereiro","Todas","Rondônia"
"5","Seringueiras",2,"2015","Fevereiro","Todas","Rondônia"
"6","São Miguel do Guaporé",4,"2015","Fevereiro","Todas","Rondônia"
"7","Theobroma",2,"2015","Fevereiro","Todas","Rondônia"
"8","Urupá",2,"2015","Fevereiro","Todas","Rondônia"
"9","Vale do Paraíso",2,"2015","Fevereiro","Todas","Rondônia"
"10","Vilhena",40,"2015","Fevereiro","Todas","Rondônia"
"11","Alta Floresta D'oeste",7,"2015","Fevereiro","Todas","Rondônia"
"12","Alto Alegre dos Parecis",2,"2015","Fevereiro","Todas","Rondônia"
"13","Ariquemes",35,"2015","Fevereiro","Todas","Rondônia"
"14","Buritis",8,"2015","Fevereiro","Todas","Rondônia"
"15","Cacaulândia",1,"2015","Fevereiro","Todas","Rondônia"
"16","Cacoal",60,"2015","Fevereiro","Todas","Rondônia"
"17","Campo Novo de Rondônia",1,"2015","Fevereiro","Todas","Rondônia"
"18","Candeias do Jamari",1,"2015","Fevereiro","Todas","Rondônia"
"19","Cerejeiras",5,"2015","Fevereiro","Todas","Rondônia"
"20","Chupinguaia",2,"2015","Fevereiro","Todas","Rondônia"
"21","Colorado do Oeste",3,"2015","Fevereiro","Todas","Rondônia"
"22","Corumbiara",1,"2015","Fevereiro","Todas","Rondônia"
"23","Espigão do Oeste",9,"2015","Fevereiro","Todas","Rondônia"
"24","Governador Jorge Teixeira",1,"2015","Fevereiro","Todas","Rondônia"
"25","Guajara-Mirim",13,"2015","Fevereiro","Todas","Rondônia"
"26","Jaru",7,"2015","Fevereiro","Todas","Rondônia"
"27","Ji-Paraná",46,"2015","Fevereiro","Todas","Rondônia"
"28","Mirante da Serra",4,"2015","Fevereiro","Todas","Rondônia"
"29","Novo Horizonte do Oeste",1,"2015","Fevereiro","Todas","Rondônia"
"30","Ouro Preto do Oeste",4,"2015","Fevereiro","Todas","Rondônia"
