"","Cidade","Registros","Ano","Mês","Região","Estado"
"1","Águas Mornas",2,"2015","Fevereiro","Todas","Santa Catarina"
"2","Águas de Chapecó",1,"2015","Fevereiro","Todas","Santa Catarina"
"3","São Pedro de Alcântara",1,"2015","Fevereiro","Todas","Santa Catarina"
"4","Taió",4,"2015","Fevereiro","Todas","Santa Catarina"
"5","Tijucas",11,"2015","Fevereiro","Todas","Santa Catarina"
"6","Timbo",17,"2015","Fevereiro","Todas","Santa Catarina"
"7","Timbó Grande",4,"2015","Fevereiro","Todas","Santa Catarina"
"8","Treze Tilias",1,"2015","Fevereiro","Todas","Santa Catarina"
"9","Treze de Maio",4,"2015","Fevereiro","Todas","Santa Catarina"
"10","Trombudo Central",1,"2015","Fevereiro","Todas","Santa Catarina"
"11","Três Barras",4,"2015","Fevereiro","Todas","Santa Catarina"
"12","Tubarao",87,"2015","Fevereiro","Todas","Santa Catarina"
"13","Turvo",5,"2015","Fevereiro","Todas","Santa Catarina"
"14","União do Oeste",1,"2015","Fevereiro","Todas","Santa Catarina"
"15","Urubici",2,"2015","Fevereiro","Todas","Santa Catarina"
"16","Urussanga",9,"2015","Fevereiro","Todas","Santa Catarina"
"17","Vargem Bonita",4,"2015","Fevereiro","Todas","Santa Catarina"
"18","Vidal Ramos",1,"2015","Fevereiro","Todas","Santa Catarina"
"19","Videira",23,"2015","Fevereiro","Todas","Santa Catarina"
"20","Witmarsum",1,"2015","Fevereiro","Todas","Santa Catarina"
"21","Xanxere",37,"2015","Fevereiro","Todas","Santa Catarina"
"22","Água Doce",1,"2015","Fevereiro","Todas","Santa Catarina"
"23","Salete",1,"2015","Fevereiro","Todas","Santa Catarina"
"24","Sangão",1,"2015","Fevereiro","Todas","Santa Catarina"
"25","Santa Cecília",8,"2015","Fevereiro","Todas","Santa Catarina"
"26","Santa Terezinha",1,"2015","Fevereiro","Todas","Santa Catarina"
"27","Santo Amaro da Imperatriz",5,"2015","Fevereiro","Todas","Santa Catarina"
"28","Schroeder",1,"2015","Fevereiro","Todas","Santa Catarina"
"29","Seara",4,"2015","Fevereiro","Todas","Santa Catarina"
"30","Serra Alta",1,"2015","Fevereiro","Todas","Santa Catarina"
"31","São Carlos",6,"2015","Fevereiro","Todas","Santa Catarina"
"32","São Cristovão do Sul",1,"2015","Fevereiro","Todas","Santa Catarina"
"33","São Domingos",1,"2015","Fevereiro","Todas","Santa Catarina"
"34","São Francisco do Sul",22,"2015","Fevereiro","Todas","Santa Catarina"
"35","São Joaquim",16,"2015","Fevereiro","Todas","Santa Catarina"
"36","São José",104,"2015","Fevereiro","Todas","Santa Catarina"
"37","São José do Cedro",2,"2015","Fevereiro","Todas","Santa Catarina"
"38","São João Batista",3,"2015","Fevereiro","Todas","Santa Catarina"
"39","São João do Itaperiú",4,"2015","Fevereiro","Todas","Santa Catarina"
