"","Cidade","Registros","Ano","Mês","Região","Estado"
"1","Porto Real do Colégio",1,"2015","Janeiro","Todas","Alagoas"
"2","Porto de Pedras",1,"2015","Janeiro","Todas","Alagoas"
"3","Poço das Trincheiras",1,"2015","Janeiro","Todas","Alagoas"
"4","Pão de Açúcar",2,"2015","Janeiro","Todas","Alagoas"
"5","Roteiro",1,"2015","Janeiro","Todas","Alagoas"
"6","Santana do Ipanema",45,"2015","Janeiro","Todas","Alagoas"
"7","Satuba",3,"2015","Janeiro","Todas","Alagoas"
"8","São José da Laje",5,"2015","Janeiro","Todas","Alagoas"
"9","Teotônio Vilela",1,"2015","Janeiro","Todas","Alagoas"
"10","União dos Palmares",19,"2015","Janeiro","Todas","Alagoas"
"11","Arapiraca",44,"2015","Janeiro","Todas","Alagoas"
"12","Atalaia",13,"2015","Janeiro","Todas","Alagoas"
"13","Barra de São Miguel",1,"2015","Janeiro","Todas","Alagoas"
"14","Belém",1,"2015","Janeiro","Todas","Alagoas"
"15","Canapi",3,"2015","Janeiro","Todas","Alagoas"
"16","Craíbas",5,"2015","Janeiro","Todas","Alagoas"
"17","Jacuípe",1,"2015","Janeiro","Todas","Alagoas"
"18","Jundiá",3,"2015","Janeiro","Todas","Alagoas"
"19","Junqueiro",3,"2015","Janeiro","Todas","Alagoas"
"20","Lagoa da Canoa",7,"2015","Janeiro","Todas","Alagoas"
"21","Maceio",598,"2015","Janeiro","Todas","Alagoas"
"22","Major Isidoro",1,"2015","Janeiro","Todas","Alagoas"
"23","Maragogi",7,"2015","Janeiro","Todas","Alagoas"
"24","Matriz de Camaragibe",12,"2015","Janeiro","Todas","Alagoas"
"25","Olho D'água das Flores",1,"2015","Janeiro","Todas","Alagoas"
"26","Olho D'água do Casado",1,"2015","Janeiro","Todas","Alagoas"
"27","Palmeira dos Índios",45,"2015","Janeiro","Todas","Alagoas"
"28","Penedo",34,"2015","Janeiro","Todas","Alagoas"
"29","Piranhas",7,"2015","Janeiro","Todas","Alagoas"
"30","Porto Calvo",4,"2015","Janeiro","Todas","Alagoas"
