"","Cidade","Registros","Ano","Mês","Região","Estado"
"1","Tianguá",20,"2015","Janeiro","Todas","Ceará"
"2","Trairi",1,"2015","Janeiro","Todas","Ceará"
"3","Viçosa do Ceará",8,"2015","Janeiro","Todas","Ceará"
"4","Jaguaribe",2,"2015","Janeiro","Todas","Ceará"
"5","Lavras da Mangabeira",14,"2015","Janeiro","Todas","Ceará"
"6","Limoeiro do Norte",33,"2015","Janeiro","Todas","Ceará"
"7","Madalena",6,"2015","Janeiro","Todas","Ceará"
"8","Maracanau",55,"2015","Janeiro","Todas","Ceará"
"9","Marco",2,"2015","Janeiro","Todas","Ceará"
"10","Monsenhor Tabosa",7,"2015","Janeiro","Todas","Ceará"
"11","Nova Russas",18,"2015","Janeiro","Todas","Ceará"
"12","Novo Oriente",10,"2015","Janeiro","Todas","Ceará"
"13","Ocara",10,"2015","Janeiro","Todas","Ceará"
"14","Orós",1,"2015","Janeiro","Todas","Ceará"
"15","Pacatuba",10,"2015","Janeiro","Todas","Ceará"
"16","Palmácia",1,"2015","Janeiro","Todas","Ceará"
"17","Paracuru",8,"2015","Janeiro","Todas","Ceará"
"18","Penaforte",7,"2015","Janeiro","Todas","Ceará"
"19","Russas",30,"2015","Janeiro","Todas","Ceará"
"20","Salitre",6,"2015","Janeiro","Todas","Ceará"
"21","Santa Quitéria",12,"2015","Janeiro","Todas","Ceará"
"22","Senador Pompeu",5,"2015","Janeiro","Todas","Ceará"
"23","Tabuleiro do Norte",11,"2015","Janeiro","Todas","Ceará"
"24","Acarapé",2,"2015","Janeiro","Todas","Ceará"
"25","Aracati",2,"2015","Janeiro","Todas","Ceará"
"26","Aratuba",1,"2015","Janeiro","Todas","Ceará"
"27","Barreira",7,"2015","Janeiro","Todas","Ceará"
"28","Beberibe",6,"2015","Janeiro","Todas","Ceará"
"29","Bela Cruz",11,"2015","Janeiro","Todas","Ceará"
"30","Campos Sales",6,"2015","Janeiro","Todas","Ceará"
"31","Carnaubal",7,"2015","Janeiro","Todas","Ceará"
"32","Catarina",6,"2015","Janeiro","Todas","Ceará"
"33","Caucaia",6,"2015","Janeiro","Todas","Ceará"
"34","Coreaú",1,"2015","Janeiro","Todas","Ceará"
"35","Fortaleza",170,"2015","Janeiro","Todas","Ceará"
"36","Fortim",2,"2015","Janeiro","Todas","Ceará"
"37","Granja",1,"2015","Janeiro","Todas","Ceará"
"38","Hidrolândia",1,"2015","Janeiro","Todas","Ceará"
"39","Independência",2,"2015","Janeiro","Todas","Ceará"
"40","Ipaporanga",2,"2015","Janeiro","Todas","Ceará"
"41","Irauçuba",4,"2015","Janeiro","Todas","Ceará"
"42","Itapiúna",4,"2015","Janeiro","Todas","Ceará"
"43","Jaguaretama",7,"2015","Janeiro","Todas","Ceará"
