"","Cidade","Registros","Ano","Mês","Região","Estado"
"1","Rio Negro",5,"2015","Janeiro","Todas","Mato Grosso do Sul"
"2","Sidrolândia",15,"2015","Janeiro","Todas","Mato Grosso do Sul"
"3","Sonora",1,"2015","Janeiro","Todas","Mato Grosso do Sul"
"4","São Gabriel do Oeste",5,"2015","Janeiro","Todas","Mato Grosso do Sul"
"5","Terenos",1,"2015","Janeiro","Todas","Mato Grosso do Sul"
"6","Água Clara",3,"2015","Janeiro","Todas","Mato Grosso do Sul"
"7","Anaurilândia",2,"2015","Janeiro","Todas","Mato Grosso do Sul"
"8","Bandeirantes",3,"2015","Janeiro","Todas","Mato Grosso do Sul"
"9","Bataguassu",4,"2015","Janeiro","Todas","Mato Grosso do Sul"
"10","Batayporã",4,"2015","Janeiro","Todas","Mato Grosso do Sul"
"11","Bela Vista",3,"2015","Janeiro","Todas","Mato Grosso do Sul"
"12","Camapuã",3,"2015","Janeiro","Todas","Mato Grosso do Sul"
"13","Campo Grande",308,"2015","Janeiro","Todas","Mato Grosso do Sul"
"14","Corguinho",1,"2015","Janeiro","Todas","Mato Grosso do Sul"
"15","Coxim",6,"2015","Janeiro","Todas","Mato Grosso do Sul"
"16","Dois Irmãos do Buriti",1,"2015","Janeiro","Todas","Mato Grosso do Sul"
"17","Dourados",180,"2015","Janeiro","Todas","Mato Grosso do Sul"
"18","Fátima do Sul",12,"2015","Janeiro","Todas","Mato Grosso do Sul"
"19","Guia Lopes da Laguna",9,"2015","Janeiro","Todas","Mato Grosso do Sul"
"20","Iguatemi",1,"2015","Janeiro","Todas","Mato Grosso do Sul"
"21","Ivinhema",11,"2015","Janeiro","Todas","Mato Grosso do Sul"
"22","Japorã",1,"2015","Janeiro","Todas","Mato Grosso do Sul"
"23","Juti",3,"2015","Janeiro","Todas","Mato Grosso do Sul"
"24","Mundo Novo",10,"2015","Janeiro","Todas","Mato Grosso do Sul"
"25","Nova Alvorada do Sul",9,"2015","Janeiro","Todas","Mato Grosso do Sul"
"26","Rio Brilhante",12,"2015","Janeiro","Todas","Mato Grosso do Sul"
